arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,regret_geomean,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,2.0316999094712296,1.3027531043233935,5.013686187064348,6.743111757752114,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,1.723299965405021,1.0,4.778754846050361,6.743111757752114,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,1.491878597919229,1.0,4.551979012072089,5.7191856383512185,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,1.2712842224313277,1.0,3.8625113602268137,4.970462850182704,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,1.2712842224313277,1.0,3.8625113602268137,4.970462850182704,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,1.1001706100100113,1.0,1.1913980784917997,3.926056338028169,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,1.1001706100100113,1.0,1.1913980784917997,3.926056338028169,7,0.0875
raw,tuning,threshold_k13,13,True,80,0,1.0045558075212233,1.0,1.0,1.1635593220338982,0,0.0
raw,tuning,threshold_k14,14,False,80,0,1.0045558075212233,1.0,1.0,1.1635593220338982,0,0.0
raw,tuning,threshold_k15,15,False,80,0,1.0045558075212233,1.0,1.0,1.1635593220338982,0,0.0
raw,tuning,threshold_k16,16,False,80,0,1.0045558075212233,1.0,1.0,1.1635593220338982,0,0.0
raw,held_out,threshold_k6,6,False,307,14,2.746136030579889,3.5415250121418165,5.8621182059435455,8.676836543378217,201,0.6547231270358306
raw,held_out,threshold_k7,7,False,307,14,2.290501345532618,2.6870070568700704,5.500510241931943,8.236706689536879,169,0.5504885993485342
raw,held_out,threshold_k8,8,False,307,14,2.290501345532618,2.6870070568700704,5.500510241931943,8.236706689536879,169,0.5504885993485342
raw,held_out,threshold_k9,9,False,307,14,1.5787715281437933,1.0,4.120136641703649,8.236706689536879,96,0.3127035830618892
raw,held_out,threshold_k10,10,False,307,14,1.5409785903504232,1.0,3.997435117492943,8.236706689536879,91,0.2964169381107492
raw,held_out,threshold_k11,11,False,307,14,1.2216024997220234,1.0,2.463376157407849,6.1574452283698475,43,0.14006514657980457
raw,held_out,threshold_k12,12,False,307,14,1.1685752799031193,1.0,2.0833011212015053,4.5274418604651165,32,0.10423452768729642
raw,held_out,threshold_k13,13,True,307,14,1.0270438655984384,1.0,1.0010456273764259,2.1817627325404088,1,0.003257328990228013
raw,held_out,threshold_k14,14,False,307,14,1.0171584431282379,1.0,1.0,1.809648288973384,0,0.0
raw,held_out,threshold_k15,15,False,307,14,1.0157471141866359,1.0,1.0,1.809648288973384,0,0.0
raw,held_out,threshold_k16,16,False,307,14,1.017538942444598,1.0,1.0,1.809648288973384,0,0.0
cm,tuning,threshold_k6,6,False,80,0,1.9223977660905927,1.4496009025523504,4.711357698144387,6.734955185659411,38,0.475
cm,tuning,threshold_k7,7,False,80,0,1.6444133887374957,1.0,4.0311315179906755,6.734955185659411,30,0.375
cm,tuning,threshold_k8,8,False,80,0,1.4256468859296885,1.0,3.6742602424960937,5.007403625223385,22,0.275
cm,tuning,threshold_k9,9,False,80,0,1.2467404220453793,1.0,3.293306798129465,4.096630125862769,14,0.175
cm,tuning,threshold_k10,10,False,80,0,1.2467404220453793,1.0,3.293306798129465,4.096630125862769,14,0.175
cm,tuning,threshold_k11,11,False,80,0,1.0968435712993965,1.0,1.271725389215433,3.9547511312217196,6,0.075
cm,tuning,threshold_k12,12,False,80,0,1.0968435712993965,1.0,1.271725389215433,3.9547511312217196,6,0.075
cm,tuning,threshold_k13,13,True,80,0,1.0052719139726092,1.0,1.0,1.2272565108811988,0,0.0
cm,tuning,threshold_k14,14,False,80,0,1.0052719139726092,1.0,1.0,1.2272565108811988,0,0.0
cm,tuning,threshold_k15,15,False,80,0,1.0052719139726092,1.0,1.0,1.2272565108811988,0,0.0
cm,tuning,threshold_k16,16,False,80,0,1.0052719139726092,1.0,1.0,1.2272565108811988,0,0.0
cm,held_out,threshold_k6,6,False,321,0,2.4031972262970713,3.031089521165857,4.857010643220731,11.976491569390403,193,0.6012461059190031
cm,held_out,threshold_k7,7,False,321,0,2.0206782569169435,2.0045558086560367,4.21359897642113,6.900175842012715,161,0.5015576323987538
cm,held_out,threshold_k8,8,False,321,0,2.0206782569169435,2.0045558086560367,4.21359897642113,6.900175842012715,161,0.5015576323987538
cm,held_out,threshold_k9,9,False,321,0,1.4624084548737013,1.0,3.655513307984791,5.153520742358078,87,0.27102803738317754
cm,held_out,threshold_k10,10,False,321,0,1.4335317322823071,1.0,3.625576267789136,5.153520742358078,82,0.2554517133956386
cm,held_out,threshold_k11,11,False,321,0,1.1742730437140596,1.0,2.0045558086560367,4.501230516817063,33,0.102803738317757
cm,held_out,threshold_k12,12,False,321,0,1.1332466293922145,1.0,1.807205391446747,4.501230516817063,23,0.07165109034267912
cm,held_out,threshold_k13,13,True,321,0,1.0195860533109984,1.0,1.0089786756453423,1.7906707787201233,0,0.0
cm,held_out,threshold_k14,14,False,321,0,1.0129256742254973,1.0,1.0,1.7906707787201233,0,0.0
cm,held_out,threshold_k15,15,False,321,0,1.0110885725665415,1.0,1.0,1.7906707787201233,0,0.0
cm,held_out,threshold_k16,16,False,321,0,1.014901538604687,1.0,1.0,1.8413505918070114,0,0.0
