corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,6,27900.0,16200.0,47300.0,0.08066731522395426
b2,ir_canonicalize_ns,6,24599.969037808478,12549.979146569967,42200.04484523088,0.06871962639344562
b2,ir_rewrite_ns,6,41050.0360885635,19299.957784824073,78700.01718401909,0.11689365395311929
b2,ir_intern_ns,6,75799.99510198832,41000.00660400838,127950.01384802163,0.20792527219893409
b2,ir_live_vars_ns,6,41800.0272475183,20149.993360973895,80000.01253094524,0.11208187252273828
b2,lower_cm_ns_median,6,30450.0,20600.0,44600.0,0.09208723824043766
b2,wrapper_current_ns_median,6,28350.0,17700.0,97800.0,
b2,end_to_end_current_ns_median,6,417500.0,226500.0,705800.0,
bx1,hash_ns_median,10,22450.0,9590.0,47590.0,0.11712672333523563
bx1,ir_canonicalize_ns,10,10550.036677159369,4230.032209306955,26759.933098219335,0.059909552910153166
bx1,ir_rewrite_ns,10,12200.034689158201,4539.979272522032,34139.94854781777,0.067659445735886
bx1,ir_intern_ns,10,38000.01286435872,17370.018758811057,83450.06208401173,0.20435581777187803
bx1,ir_live_vars_ns,10,17899.99078027904,5369.982682168484,46270.04673238843,0.10126224752868543
bx1,lower_cm_ns_median,10,17350.0,14340.0,47299.99999999999,0.1296814020498231
bx1,wrapper_current_ns_median,10,27350.0,17350.0,70640.0,
bx1,end_to_end_current_ns_median,10,321700.0,101040.0,458940.0,
epfl,hash_ns_median,9,140800.0,51240.0,258320.0,0.11536833192209991
epfl,ir_canonicalize_ns,9,88100.03055259585,29740.02272821963,146740.0637920946,0.06299755301013171
epfl,ir_rewrite_ns,9,84500.00314041972,39779.92455475032,161980.06342165172,0.07133759157203776
epfl,ir_intern_ns,9,382700.00368356705,117560.13846024871,578819.8090158403,0.2644512653750567
epfl,ir_live_vars_ns,9,168399.9435044825,49919.99012418091,241919.95034925643,0.11444441042840481
epfl,lower_cm_ns_median,9,136500.0,60580.0,233560.00000000003,0.10445420326223337
epfl,wrapper_current_ns_median,9,64500.0,27480.0,278540.0,
epfl,end_to_end_current_ns_median,9,1270600.0,463520.0,2341260.0,
