corpus,role,id,seed,truth_sha256_expected,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,2700.0,600.0,1,3,2,1,1,3,2,8600.0,8400.0,11300.0,95,59900.0,54900.01058205962,0.0,4599.976819008589,11700.00177808106,4199.973773211241,14600.0,8100.0,ok,1065.0,1215.0,1103.0,1161.0,23400.0,91500.0,1.1408450704225352,1.0525838621940162,21.214868540344515,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,8388608,100,3,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,2000.0,300.0,2,4,3,2,3,4,3,9700.0,10000.0,9800.0,158,79500.0,76500.00043213367,5799.985956400633,4000.0013541430235,18000.020645558834,5499.983672052622,12000.0,8300.0,ok,1219.0,1495.0,1307.0,1369.0,17700.0,102100.0,1.2264150943396226,1.0474368783473604,13.542463657230298,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,8388608,100,3,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k4-1-3d5e8d379589,2912613150875055739,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,,andor_dom,4,9,11,9,3200.0,200.0,5,11,8,4,5,11,8,14400.0,13100.0,24400.0,232,118200.0,114800.00102892518,4700.035788118839,9900.046279653907,23999.979021027684,11600.001016631722,17400.0,11200.0,ok,1849.0,2095.0,2108.0,2220.0,18400.0,140900.0,1.133044889129259,1.0531309297912714,8.72865275142315,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,True,2,0,22,0,0,8388608,100,3,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k5-1-034e0f291fe2,1828508922621870129,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,,andor_dom,5,9,9,9,2800.0,200.0,4,4,4,3,4,4,4,14200.0,12000.0,10900.0,225,114000.0,111200.0027205795,6200.018106028438,6199.989002197981,23400.032659992576,11899.974197149277,15900.0,9800.0,ok,1532.0,1782.0,1936.0,2025.0,14200.0,139600.0,1.1631853785900783,1.0459710743801653,7.3347107438016526,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,True,4,0,36,0,0,8388608,100,3,034e0f291fe2129ff5c840daf6a5e9e9
bx1,tuning,bx1-k6-1-ac26b8df9ebe,51376053804700149,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,,andor_dom,6,12,13,10,2900.0,200.0,4,10,8,3,6,10,8,15500.0,16000.0,12800.0,298,144300.0,140900.0251442194,8500.035619363189,8700.008038431406,33100.019209086895,15400.000847876072,17300.0,12900.0,ok,2244.0,10639.0,3445.0,18364.0,27200.0,328700.0,4.741087344028521,5.330624092888244,7.895500725689405,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,True,8,48,104,24,24,8388608,100,3,ac26b8df9ebe5cfd73a7e131c1fb6168
bx1,tuning,bx1-k7-1-5ff39721fc88,7631648143058458772,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,,andor_dom,7,14,15,9,2800.0,300.0,2,6,6,2,7,7,7,48400.0,21800.0,15700.0,340,232400.0,226100.00451095402,18800.02673715353,14500.023098662496,42900.00651963055,20399.98071268201,17100.0,22400.0,ok,2233.0,11540.0,1777.0,8109.0,34900.0,338000.0,5.167935512763099,4.563308947664603,19.63984243106359,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,True,16,112,240,64,32,8388608,100,3,5ff39721fc88b1a8a5a24f7bc6cbba34
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,1130776419271888585,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,,andor_dom,8,18,20,17,9200.0,600.0,9,11,10,4,10,11,10,41500.0,27200.0,46000.0,434,394000.0,387599.98278692365,24000.037228688598,33999.93875063956,64899.99941550195,30200.055334717035,59900.0,46000.0,ok,2701.0,18205.0,3577.0,13283.0,27500.0,314700.0,6.740096260644206,3.7134470226446745,7.688006709533128,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,True,32,256,640,96,128,8388608,100,3,4e47cb5cd5b69bcfd719d4ac6068c6c8
bx1,tuning,bx1-k10-1-ce8ba79b76b0,7420669341356717624,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,,mixed,10,21,22,20,5800.0,300.0,10,20,15,3,11,20,15,29400.0,32900.0,19400.0,500,319500.0,313900.0036753714,12600.03773495555,23299.973690882325,65499.97488036752,35000.00457279384,33600.0,32400.0,ok,4230.0,16318.0,4506.0,15628.0,82700.0,360400.0,3.8576832151300238,3.46826453617399,18.353306702174876,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,True,128,1280,2816,384,384,8388608,50,3,ce8ba79b76b0ba54ca0b1db699d85b79
bx1,tuning,bx1-k12-1-dcaeee786843,5272243526725519305,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,,andor_dom,12,27,29,23,6600.0,300.0,11,19,16,5,15,19,16,36100.0,33600.0,22500.0,635,405000.0,397600.00072419643,26699.94137249887,25000.044843181968,82500.07522292435,45100.05237534642,37200.0,23300.0,ok,7075.0,19415.0,7535.0,17555.0,35600.0,447100.0,2.7441696113074205,2.329794293297943,4.7246184472461845,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,True,512,6144,14848,2560,2560,8388608,20,3,dcaeee786843d10664d1d9075a3d551d
bx1,tuning,bx1-k16-1-00faa20cf21f,118518869172703822,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,,andor_dom,16,33,34,30,8700.0,300.0,14,22,19,4,17,22,19,47500.0,40100.0,26200.0,777,422500.0,417199.97534528375,27299.85862970352,35400.036722421646,91999.94383379817,56799.99594576657,45900.0,31200.0,ok,41900.0,43780.0,38320.0,44340.0,69300.0,565500.0,1.0448687350835322,1.157098121085595,1.5629228687415426,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,True,8192,131072,278528,32768,32768,8388608,5,3,00faa20cf21f8654c0317cc3490477d5
b2,held_out,b2-k4-xor_dom-tree-1-8b6c553e4c62,111003307701815573,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,,xor_dom,4,10,12,10,3400.0,200.0,6,9,7,4,6,9,7,16300.0,15000.0,15600.0,251,230700.0,225199.99765791,16200.006939470768,20599.953131750226,49700.000090524554,25300.018023699522,22800.0,12600.0,ok,1935.0,2012.0,2797.0,2383.0,16700.0,228100.0,1.0397932816537467,0.8519842688594923,5.970682874508402,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,2,0,24,0,0,8388608,100,3,8b6c553e4c623adeaaf6b1ab12c89fbb
b2,held_out,b2-k6-xor_dom-tree-1-bd603bfcb13b,6148636377328669615,134a2372b7a31f4577e0f1881cee72029d82b9b9f47e40e5367a07212656b59a,,xor_dom,6,12,13,10,3200.0,300.0,4,8,7,3,6,8,7,16100.0,17000.0,13100.0,297,156200.0,152900.000102818,8899.951353669167,17999.96243789792,32300.0131174922,14999.968698248267,18400.0,13900.0,ok,3606.0,17417.0,3583.0,23797.0,18700.0,224900.0,4.830005546311702,6.641641082891431,5.2190901479207366,134a2372b7a31f4577e0f1881cee72029d82b9b9f47e40e5367a07212656b59a,True,8,48,104,24,24,8388608,100,3,bd603bfcb13bb478d5ff8d74c3a97524
b2,held_out,b2-k8-xor_dom-tree-1-e3305253a197,8722644039266008436,46af8650e56cb3d8316990197ae711b02c6005066cac2953e04fc0ca70015a55,,xor_dom,8,19,21,16,4500.0,200.0,8,13,11,3,11,13,11,25200.0,25800.0,20100.0,455,277900.0,272500.0085774809,20499.981474131346,32999.9893438071,55100.012104958296,30600.00017285347,28300.0,18400.0,ok,5176.0,18551.0,4894.0,19782.0,34200.0,498700.0,3.5840417310664607,4.042092357989374,6.988148753575807,46af8650e56cb3d8316990197ae711b02c6005066cac2953e04fc0ca70015a55,True,32,256,672,96,96,8388608,100,3,e3305253a197e6682a020c093232fbcd
b2,held_out,b2-k10-xor_dom-tree-1-77230e81be62,8990915870604129592,f4bd7cb6d894da1941302437ccf55c6d9bd9cb292196c1d561dedb49901754e4,,xor_dom,10,20,21,12,5400.0,400.0,2,12,11,2,10,12,11,30600.0,29200.0,24400.0,482,464700.0,457299.9896481633,33200.01997053623,67099.98706355691,96499.97809901834,53000.05432218313,32600.0,33100.0,ok,3438.0,25882.0,4610.0,21202.0,56600.0,554100.0,7.528214077952298,4.599132321041215,12.27765726681128,f4bd7cb6d894da1941302437ccf55c6d9bd9cb292196c1d561dedb49901754e4,True,128,1280,2688,512,256,8388608,50,3,77230e81be62acee25486748ab10bef6
b2,held_out,b2-k12-xor_dom-tree-1-58b08f43ff42,221395747203947214,b47bd399acce2d9e4a4446b7ddedd667546ab768effebe79232934adf8822fcd,,xor_dom,12,24,25,19,7800.0,400.0,7,16,14,4,12,16,14,47100.0,45600.0,31300.0,575,464000.0,455800.0073302537,28699.95660148561,49100.0828333199,96600.03706812859,58799.952967092395,39600.0,28600.0,ok,9860.0,27465.0,5715.0,15115.0,22500.0,336300.0,2.785496957403651,2.6447944006999125,3.937007874015748,b47bd399acce2d9e4a4446b7ddedd667546ab768effebe79232934adf8822fcd,True,512,6144,12800,2048,2048,8388608,20,3,58b08f43ff4235817eee5e1f0042ed14
b2,held_out,b2-k16-xor_dom-tree-1-2f5ce8a982ff,6810252154136699346,018e0ba07f27a37af3716edbabbd12ddb0b4c19c71b3e0d33f1ffc9c32f618c8,,xor_dom,16,39,45,30,9300.0,400.0,14,29,25,5,23,29,25,47500.0,49300.0,29500.0,934,761700.0,752899.9994974583,51200.06971992552,90300.04730448127,159299.99062791467,101200.07209479809,49600.0,35900.0,ok,56340.0,53660.0,71380.0,69300.0,139000.0,857500.0,0.9524316648917288,0.9708601849257495,2.005772005772006,018e0ba07f27a37af3716edbabbd12ddb0b4c19c71b3e0d33f1ffc9c32f618c8,True,8192,131072,368640,40960,40960,8388608,5,3,2f5ce8a982ffa8fd1f0938431c39c29c
epfl,held_out,epfl-arithmetic-adder-po3-e22ec7119f,,5f85ccec0d99b17c1f1e24b9cc46ce3319945912648ce0a7842f2114eafcb741,60a28c90dc413ab479e07aba13185ae71ab7ffd3fd256c5e631212ee46170bcd,adder.aig,8,42,89,41,10600.0,300.0,33,53,34,6,61,95,61,54500.0,50300.0,30500.0,956,472400.0,464300.01384578645,30400.027753785253,33699.87825863063,119200.15094801784,43600.01184977591,65700.0,65100.0,ok,11647.0,53607.0,9584.0,29947.0,23800.0,464300.0,4.602644457800292,3.124686978297162,2.48330550918197,d37f25665cce1aecebbf013f996122f7faa349f58412e2d981ca965024688b71,True,32,256,2848,192,192,8388608,100,3,e22ec7119ffd1636eadffc9fcfcb4843
epfl,held_out,epfl-arithmetic-adder-po4-ed17ac917c,,7438036983e270a3aae7df9a97a7adb27b08600271f54b1528fb7c79033c2900,60a28c90dc413ab479e07aba13185ae71ab7ffd3fd256c5e631212ee46170bcd,adder.aig,10,54,117,53,13400.0,300.0,43,69,44,8,81,127,81,69000.0,64700.0,37800.0,1222,577800.0,568599.9931301922,36399.9861292541,41299.936128780246,152799.94113370776,57999.91777166724,126700.0,80600.0,ok,18092.0,80354.0,23770.0,75380.0,42100.0,959500.0,4.441410568206942,3.1712242322254944,1.7711400925536391,9a8a466dc0641128100f47db630673764e5e229088ba532115734e5c0b50116e,True,128,1280,14976,896,1024,8388608,50,3,ed17ac917c28511b926f91df0f41f4cd
epfl,held_out,epfl-arithmetic-adder-po5-d8df03f32b,,cc1392ab2872a16263358c49d54f6f6a042ee879c568ff666eff15a4b702977b,60a28c90dc413ab479e07aba13185ae71ab7ffd3fd256c5e631212ee46170bcd,adder.aig,12,66,145,65,24100.0,400.0,53,85,54,10,101,159,101,249200.0,172300.0,95000.0,1490,1753000.0,1727399.998344481,91100.0242922455,84500.00314041972,531800.0039551407,211999.95535425842,136500.0,142500.0,ok,105195.0,185845.0,49375.0,91010.0,64500.0,1270600.0,1.7666714197442843,1.843240506329114,1.3063291139240507,74d4ee5fb9d13f31a6dfc7bac9fa55de70a4b7638a656bf599d73d6e44730939,True,512,6144,74240,4096,5120,8388608,20,3,d8df03f32bb4ff5aac640b5056423024
