arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,10,0,2,2.11917117842429,1.9827105341730422,3.8576832151300238,1.8945191731954765,5.3251515875512085,6.740096260644206,5,0.5
raw,tuning,threshold_k7,7,False,10,0,2,1.8137534148674392,1.6678683340980658,3.8576832151300238,1.022434367541766,5.3251515875512085,6.740096260644206,4,0.4
raw,tuning,threshold_k8,8,False,10,0,2,1.5390280474561764,1.3896464084949869,3.8576832151300238,1.0,4.145924519681441,6.740096260644206,3,0.3
raw,tuning,threshold_k9,9,False,10,0,2,1.2716861009448048,1.1241656175618444,3.8576832151300238,1.0,2.85552097168968,3.8576832151300238,2,0.2
raw,tuning,threshold_k10,10,False,10,0,2,1.2716861009448048,1.1241656175618444,3.8576832151300238,1.0,2.85552097168968,3.8576832151300238,2,0.2
raw,tuning,threshold_k11,11,False,10,0,2,1.111084959001407,1.0,1.1241656175618444,1.0,1.2147988227059203,2.7441696113074205,1,0.1
raw,tuning,threshold_k12,12,False,10,0,2,1.111084959001407,1.0,1.1241656175618444,1.0,1.2147988227059203,2.7441696113074205,1,0.1
raw,tuning,threshold_k13,13,False,10,0,2,1.0043987728402668,1.0,1.0048887182198125,1.0,1.0044868735083532,1.0448687350835322,0,0.0
raw,tuning,threshold_k14,14,False,10,0,2,1.0043987728402668,1.0,1.0048887182198125,1.0,1.0044868735083532,1.0448687350835322,0,0.0
raw,tuning,threshold_k15,15,False,10,0,2,1.0043987728402668,1.0,1.0048887182198125,1.0,1.0044868735083532,1.0448687350835322,0,0.0
raw,tuning,threshold_k16,16,True,10,0,2,1.0043987728402668,1.0,1.0048887182198125,1.0,1.0044868735083532,1.0448687350835322,0,0.0
raw,held_out,threshold_k6,6,False,15,0,6,2.341589556384065,1.7410863216398642,2.941588332126466,2.506968886386034,5.463414632689215,7.528214077952298,8,0.5333333333333333
