corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
b2,held_out,b2-k4-xor_dom-tree-1-8b6c553e4c62,xor_dom,4,10,12,10,5400.0,700.0,6,9,7,4,6,9,7,23000.0,19900.0,36100.0,251,213400.0,207200.0061161816,13899.989426136017,25600.020308047533,45400.02555586398,18699.96776804328,30300.0,19100.0,ok,2355.0,2516.0,2826.0,2932.0,31800.0,191900.0,1.0683651804670913,1.0375088464260438,11.252653927813164,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,2,0,24,0,0,268435456,100,3,8b6c553e4c623adeaaf6b1ab12c89fbb
b2,held_out,b2-k4-xor_dom-tree-2-186a2a5c9bf0,xor_dom,4,7,7,6,2700.0,300.0,2,3,3,2,3,3,3,12800.0,11300.0,12800.0,183,151300.0,146300.00805482268,10199.990356341004,15299.970982596278,27000.001864507794,10899.995686486363,15400.0,13100.0,ok,1957.0,2084.0,1699.0,1795.0,19800.0,144300.0,1.0648952478283087,1.0565038257798705,11.653914067098293,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,2,0,14,0,0,268435456,100,3,186a2a5c9bf05ce9f5cd3f1ba7dcfc20
b2,held_out,b2-k4-xor_dom-tree-3-128078f3da7b,xor_dom,4,12,14,11,4600.0,300.0,7,11,8,3,8,11,8,20800.0,19300.0,15000.0,291,183900.0,179700.00044442713,12200.005585327744,18300.022929906845,42300.031054764986,14699.995517730713,25100.0,15200.0,ok,2769.0,2753.0,3089.0,3111.0,18200.0,216400.0,0.994221740700614,1.0071220459695693,5.891874393007446,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,2,0,28,0,0,268435456,100,3,128078f3da7bb66e7b480d8a5126b627
b2,held_out,b2-k4-xor_dom-tree-4-9a5b24a5b691,xor_dom,4,9,11,6,2400.0,300.0,2,3,3,2,5,5,5,14500.0,14600.0,20800.0,232,161400.0,157899.97996762395,11500.029359012842,19500.002963468432,28099.981136620045,12200.005585327744,13900.0,13300.0,ok,2038.0,2132.0,1774.0,1882.0,16600.0,163000.0,1.0461236506378804,1.060879368658399,9.357384441939121,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,2,0,22,0,0,268435456,100,3,9a5b24a5b691079e8950391d76714c61
b2,held_out,b2-k4-xor_dom-shared-1-b3e4cd19e589,xor_dom,4,14,35,8,3400.0,200.0,4,7,6,3,17,19,18,24600.0,25200.0,16300.0,362,260100.0,255899.9985922128,20999.98528137803,33699.99467395246,50099.94492866099,24199.98054392636,18600.0,37200.0,ok,4218.0,5559.0,2413.0,2889.0,36000.0,364100.0,1.3179231863442389,1.1972648155822627,14.919187733112308,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,2,0,70,0,0,268435456,100,3,b3e4cd19e58938c2d0357fec6b80eb57
b2,held_out,b2-k4-xor_dom-shared-2-d4c0909c8173,xor_dom,4,20,53,11,7100.0,400.0,7,14,12,5,27,29,27,44600.0,51700.0,31900.0,505,538100.0,530999.997863546,47600.04230774939,74500.01430697739,104499.98080730438,48299.93122257292,37700.0,68400.0,ok,6262.0,9437.0,3253.0,3229.0,21300.0,364800.0,1.5070265091025232,0.9926221948970181,6.547802028896403,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,2,0,106,0,0,268435456,100,3,d4c0909c81730352433585d489c6f933
b2,held_out,b2-k4-xor_dom-shared-3-88f8242fa307,xor_dom,4,20,46,8,3400.0,300.0,4,8,7,3,23,24,23,25400.0,35700.0,23300.0,512,333300.0,329000.00223889947,29800.02318508923,46599.97648559511,55099.95389729738,26299.96743053198,19900.0,42600.0,ok,5442.0,5469.0,2384.0,2387.0,31600.0,341600.0,1.0049614112458656,1.001258389261745,13.25503355704698,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,2,0,92,0,0,268435456,100,3,88f8242fa3078a0b324089c8677355b4
b2,held_out,b2-k4-xor_dom-shared-4-28c644b1084a,xor_dom,4,18,43,10,3900.0,300.0,6,9,8,4,21,23,22,28500.0,31900.0,20500.0,466,377700.0,372999.9880306423,30199.880711734295,51500.04290044308,64899.99941550195,35099.947126582265,23400.0,40400.0,ok,5039.0,5168.0,2877.0,3124.0,18100.0,340700.0,1.0256003175233182,1.0858533194299618,6.291275634341328,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,2,0,86,0,0,268435456,100,3,28c644b1084a1cde8e56428c422b610d
b2,held_out,b2-k4-andor_dom-tree-1-ea13a53017b8,andor_dom,4,7,7,6,2600.0,300.0,2,5,4,2,3,5,4,14600.0,14100.0,14100.0,181,128400.0,123899.98300932348,6600.021151825786,8900.00956133008,28100.0102404505,10899.995686486363,19600.0,9900.0,ok,1677.0,1813.0,1749.0,1843.0,18500.0,152100.0,1.081097197376267,1.0537449971412236,10.577472841623784,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,2,0,14,0,0,268435456,100,3,ea13a53017b87e9e0931d2c14563d2c8
b2,held_out,b2-k4-andor_dom-tree-2-e674d60a6337,andor_dom,4,9,10,9,6800.0,700.0,5,6,5,3,5,6,5,23900.0,16200.0,12900.0,225,137700.0,133800.00018514693,8800.008799880743,10999.967344105244,33200.04907436669,11799.97343569994,71900.0,60700.0,ok,3004.0,3046.0,3721.0,4038.0,26800.0,221000.0,1.0139813581890813,1.085192152647138,7.202364955657082,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,2,0,20,0,0,268435456,100,3,e674d60a6337dea4f87502f3a49715b1
b2,held_out,b2-k4-andor_dom-tree-3-269b85d31c4b,andor_dom,4,7,7,7,4200.0,500.0,3,5,4,2,3,5,4,20900.0,18200.0,17000.0,182,149000.0,143999.99054148793,6899.99433234334,6299.989763647318,34300.057450309396,13700.0170070678,24400.0,14500.0,ok,2089.0,1718.0,1862.0,1943.0,19200.0,129700.0,0.8224030636668263,1.043501611170784,10.311493018259936,5eace7caa8a101d3105c0c338da64e3d62dd7d90b1e4f9a2846f43f9e99ab977,True,2,0,14,0,0,268435456,100,3,269b85d31c4b598a18aa024675dbc917
b2,held_out,b2-k4-andor_dom-tree-4-d96f9fff14ea,andor_dom,4,9,11,9,3600.0,200.0,5,5,5,3,5,5,5,18200.0,15200.0,13100.0,231,147200.0,143699.98825713992,10600.051609799266,11800.031643360853,29900.053050369024,14000.01929141581,21100.0,13000.0,ok,1987.0,1964.0,2406.0,2503.0,18900.0,173500.0,0.98842476094615,1.0403158769742311,7.855361596009975,830dcc860e2f53775bdab51b1b2ff210ce23f6366ac76fba9168f62702456c31,True,2,0,22,0,0,268435456,100,3,d96f9fff14eaa8f53817655268fa6ba3
b2,held_out,b2-k4-andor_dom-shared-1-17ce9f3e12c6,andor_dom,4,18,45,11,5400.0,400.0,7,15,14,7,22,26,24,33500.0,34900.0,22800.0,462,358100.0,353399.9843057245,34800.00304989517,34900.003811344504,68300.05440860987,42799.97665435076,35000.0,44400.0,ok,5031.0,6333.0,3289.0,3232.0,21300.0,405300.0,1.2587954680977937,0.9826695044086349,6.4761325630890845,48b576dfc3447c7a0e6b513608937a23d02e6330c5ed01b0fc4ca98b2bca1feb,True,2,0,90,0,0,268435456,100,3,17ce9f3e12c650b4e3da3174950665b6
b2,held_out,b2-k4-andor_dom-shared-2-f7cba4ce652b,andor_dom,4,16,31,10,4400.0,300.0,6,10,10,5,15,15,15,26500.0,27300.0,19100.0,411,292800.0,288200.011709705,25199.95905458927,34899.916499853134,53200.02674125135,29600.050766021013,23900.0,31000.0,ok,3426.0,4261.0,2797.0,3085.0,20400.0,316600.0,1.2437244600116755,1.1029674651412227,7.293528780836611,085edad400785fca7e7e90b1fac4beb776fc2beee5aa24352d5f39b5d57efcad,True,2,0,62,0,0,268435456,100,3,f7cba4ce652beb639b4716f01ea72b8a
b2,held_out,b2-k4-andor_dom-shared-3-44c5bbe1b3b1,andor_dom,4,18,48,11,4000.0,300.0,7,11,9,4,26,31,26,26000.0,28800.0,21600.0,452,298300.0,293899.9969046563,25099.98739697039,30199.93891939521,54500.007536262274,29999.937396496534,24800.0,37800.0,ok,7076.0,5293.0,4361.0,4493.0,27300.0,472800.0,0.7480214810627474,1.030268287090117,6.260032102728732,8509b81230019d2ad970d970f791dfbdc8caf54f5c594fcd327cef9feed206c1,True,2,0,96,0,0,268435456,100,3,44c5bbe1b3b124fc2ca5faf1b50a402a
b2,held_out,b2-k4-andor_dom-shared-4-f79caff75ff2,andor_dom,4,15,39,9,4000.0,300.0,5,8,8,5,19,19,19,22500.0,27400.0,18700.0,387,289700.0,285599.99191202223,24199.9514400959,26999.94365684688,55000.06955116987,31200.004741549492,22500.0,33900.0,ok,3809.0,5730.0,2459.0,2944.0,19400.0,274700.0,1.504331845628774,1.1972346482309881,7.889385929239528,474f2af47544e9c7ce4338cabd43c5ca1c26432b7300ce387406157ea433891f,True,2,0,78,0,0,268435456,100,3,f79caff75ff29481a248e8ff52e9ed81
