corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,35250.0,18550.0,75390.0,0.10909684817086723
b2,ir_canonicalize_ns,192,18800.02673715353,4400.007310323417,48399.98728130013,0.06213685180477767
b2,ir_rewrite_ns,192,31749.994377605617,13400.014722719789,72680.10813277215,0.08728702868769139
b2,ir_intern_ns,192,78949.96087998152,36829.98358272016,148269.99977231026,0.21721297623081837
b2,ir_live_vars_ns,192,44599.91760086268,15950.007946230475,104779.98002897948,0.1232931558082481
b2,lower_cm_ns_median,192,36050.0,19820.0,67590.0,0.10632318024479565
b2,wrapper_current_ns_median,192,35350.0,23410.0,99230.00000000004,
b2,end_to_end_current_ns_median,192,373800.0,187060.0,744340.0000000001,
bx1,hash_ns_median,80,27750.0,9830.0,50310.00000000001,0.11540555186508375
bx1,ir_canonicalize_ns,80,11050.011380575597,2479.989780113101,27350.004529580478,0.05790560917236235
bx1,ir_rewrite_ns,80,17800.01912266016,4679.98324893415,39299.952914007015,0.07705183747531735
bx1,ir_intern_ns,80,55049.9971723184,16460.0380230695,107479.89581432194,0.22430284554736346
bx1,ir_live_vars_ns,80,25799.949071370065,6069.988012313843,63109.930488280974,0.10626204837494829
bx1,lower_cm_ns_median,80,27200.0,12060.0,57990.000000000015,0.13054362163308514
bx1,wrapper_current_ns_median,80,30000.0,18390.0,73440.00000000001,
bx1,end_to_end_current_ns_median,80,261650.0,96700.0,528390.0,
