corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,andor_dom,2,3,3,3,1,3,2,1,1,3,2,7900.0,8600.0,11300.0,95,52100.0,47999.987145885825,0.0,4500.0051613897085,10300.020221620798,3599.9983083456755,15100.0,8600.0,ok,1317.0,1422.0,1367.0,2072.0,30800.0,122200.0,1.0797266514806378,1.5157278712509143,22.531089978054133,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,True,1,0,3,0,0,268435456,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,andor_dom,2,4,5,3,1,1,1,1,2,2,2,15800.0,9400.0,12800.0,119,92000.0,88500.00449456275,5799.985956400633,10399.991879239678,12800.010154023767,4699.977580457926,12100.0,11900.0,ok,1813.0,1976.0,1090.0,1170.0,18500.0,78700.0,1.0899062327633757,1.073394495412844,16.972477064220183,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,True,1,0,5,0,0,268435456,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,andor_dom,2,3,3,3,1,1,1,1,1,1,1,5800.0,4900.0,7500.0,95,43700.0,41299.99433644116,2499.9899324029684,2299.9884095042944,7900.00194683671,2400.018274784088,8000.0,5700.0,ok,967.0,1047.0,1154.0,1172.0,16700.0,76300.0,1.0827300930713548,1.0155979202772965,14.471403812824956,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,True,1,0,3,0,0,268435456,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,mixed,2,3,3,3,1,3,2,1,1,3,2,6300.0,4700.0,7000.0,95,35800.0,33300.02073198557,0.0,1300.009898841381,8500.006515532732,2399.9891709536314,7800.0,5100.0,ok,1071.0,1159.0,1083.0,1166.0,22900.0,93200.0,1.0821661998132586,1.0766389658356417,21.144967682363806,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,True,1,0,3,0,0,268435456,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,impeqv_dom,2,11,31,3,1,1,1,1,15,39,27,17700.0,23100.0,12600.0,295,124900.0,121899.9968841672,3599.9983083456755,13300.013961270452,23500.033421441913,7300.055585801601,7900.0,27100.0,ok,3583.0,3828.0,1077.0,1154.0,37100.0,253100.0,1.0683784538096568,1.0714948932219128,34.44753946146704,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,True,1,0,31,0,0,268435456,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,xor_dom,2,10,25,6,4,6,6,4,12,12,12,23900.0,29200.0,33400.0,270,300700.0,294999.97617676854,27800.00795610249,45399.99645203352,57299.99975301325,25100.016500800848,30100.0,45700.0,ok,3922.0,2734.0,1807.0,1894.0,21900.0,184300.0,0.6970933197348291,1.0481460985058106,12.119535141117876,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,True,1,0,25,0,0,268435456,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,andor_dom,2,5,6,4,2,3,2,2,3,4,3,8300.0,8800.0,8500.0,137,70100.0,67299.98858645558,5300.011252984405,4700.0066842883825,13200.013199821115,4599.976819008589,10600.0,7600.0,ok,1291.0,1381.0,1290.0,1373.0,15600.0,82700.0,1.069713400464756,1.0643410852713178,12.093023255813954,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,6,0,0,268435456,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,xor_dom,2,12,31,8,6,11,8,3,16,24,19,16700.0,18900.0,12800.0,310,181800.0,178299.9897841364,11300.027836114168,22599.968360736966,36999.990697950125,12800.010154023767,16600.0,26200.0,ok,3550.0,3908.0,2142.0,2313.0,23800.0,194600.0,1.1008450704225352,1.0798319327731092,11.11111111111111,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,True,1,0,31,0,0,268435456,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,andor_dom,3,6,6,5,2,4,3,2,3,4,3,9200.0,9500.0,9400.0,158,79100.0,76099.99738633633,6200.018106028438,3999.9722503125668,16700.03985054791,6199.989002197981,11400.0,7200.0,ok,1303.0,1402.0,1339.0,1418.0,18400.0,94900.0,1.0759785111281657,1.0589992531740104,13.741598207617626,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,True,1,0,6,0,0,268435456,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,impeqv_dom,3,16,56,16,13,32,22,6,28,59,43,23100.0,28500.0,15700.0,412,203200.0,199200.00340789557,5300.011252984405,13399.985618889332,49299.997044727206,26300.025638192892,32400.0,40000.0,ok,5888.0,5916.0,4186.0,3718.0,31200.0,251000.0,1.0047554347826086,0.8881987577639752,7.453416149068323,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,True,1,0,56,0,0,268435456,100,5,c073c4cae16c20ea16679fb56d345d47
