corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,6,26250.0,16800.0,39600.0,0.088952821654362
b2,ir_canonicalize_ns,6,21599.93164241314,9100.011084228754,30900.031561031938,0.06651784659435353
b2,ir_rewrite_ns,6,37250.03625731915,15450.015780515969,53649.98651202768,0.11260750279333778
b2,ir_intern_ns,6,66199.95110668242,31749.96527377516,94150.01841261983,0.21114573977138196
b2,ir_live_vars_ns,6,33049.96062070131,13599.987141788006,53800.03130994737,0.10304831538124536
b2,lower_cm_ns_median,6,26700.0,19350.0,44500.0,0.10424768172300329
b2,wrapper_current_ns_median,6,21300.0,17500.0,69350.0,
b2,end_to_end_current_ns_median,6,338850.0,233150.0,624100.0,
bx1,hash_ns_median,10,16000.0,9340.0,37070.0,0.10671118607015796
bx1,ir_canonicalize_ns,10,10299.991117790341,5129.986675456166,23819.948546588417,0.05888010395070982
bx1,ir_rewrite_ns,10,11550.058843567967,5729.988333769143,25879.999157041304,0.07558562691342419
bx1,ir_intern_ns,10,33150.01958981156,16430.008690804243,78429.90744393317,0.21869420632396236
bx1,ir_live_vars_ns,10,15299.970982596278,4679.980338551104,42259.998735971734,0.10008067265370138
bx1,lower_cm_ns_median,10,22150.0,14190.0,40790.0,0.1458018816112478
bx1,wrapper_current_ns_median,10,17550.0,16220.0,25299.999999999985,
bx1,end_to_end_current_ns_median,10,172750.0,106670.0,387569.99999999994,
epfl,hash_ns_median,9,86800.0,66720.0,195060.00000000003,0.11759714916002037
epfl,ir_canonicalize_ns,9,43899.985030293465,32520.06135880947,148240.08103460073,0.06131007138797158
epfl,ir_rewrite_ns,9,58999.983593821526,40779.937990009785,167839.92759883404,0.07302391093185882
epfl,ir_intern_ns,9,185899.96034279466,149860.07590778172,474220.09520232683,0.2620206962011378
epfl,ir_live_vars_ns,9,74799.98748749495,53339.96959961951,236360.1000979543,0.11016644957664841
epfl,lower_cm_ns_median,9,92600.0,64360.0,221260.00000000003,0.12476656291685194
epfl,wrapper_current_ns_median,9,42400.0,29520.0,152420.0,
epfl,end_to_end_current_ns_median,9,809700.0,503000.0,2276280.0,
