corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,2800.0,500.0,1,3,2,1,1,3,2,7900.0,8200.0,11100.0,95,62200.0,59599.98816251755,0.0,5899.98671784997,10399.962775409222,3599.9983083456755,14500.0,8200.0,ok,1069.0,1157.0,1074.0,1170.0,21500.0,65900.0,1.0823199251637043,1.089385474860335,20.018621973929235,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,1900.0,200.0,2,4,3,2,3,4,3,9500.0,9200.0,9200.0,158,77200.0,74300.01278407872,5899.98671784997,4200.0028770416975,17100.0137925148,4799.978341907263,11400.0,7300.0,ok,1225.0,1295.0,1302.0,1373.0,17200.0,111200.0,1.0571428571428572,1.054531490015361,13.210445468509985,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k4-1-3d5e8d379589,2912613150875055739,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,,andor_dom,4,9,11,9,3600.0,300.0,5,11,8,4,5,11,8,14400.0,13200.0,23400.0,232,146600.0,142000.00441633165,5699.985194951296,11600.03012046218,29399.991035461426,12999.982573091984,26100.0,13300.0,ok,1888.0,1967.0,2125.0,2203.0,16500.0,141000.0,1.0418432203389831,1.0367058823529411,7.764705882352941,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,semantic_live_support,True,2,0,22,0,0,8388608,100,5,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k5-1-034e0f291fe2,1828508922621870129,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,,andor_dom,5,9,9,9,2700.0,200.0,4,4,4,3,4,4,4,14700.0,12400.0,10800.0,225,107400.0,104300.00838823617,6200.018106028438,6199.989002197981,24199.9514400959,10099.96049106121,15800.0,8700.0,ok,1519.0,1588.0,1884.0,1971.0,13700.0,120200.0,1.0454246214614877,1.0461783439490446,7.2717622080679405,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,semantic_live_support,True,4,0,36,0,0,8388608,100,5,034e0f291fe2129ff5c840daf6a5e9e9
bx1,tuning,bx1-k6-1-ac26b8df9ebe,51376053804700149,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,,andor_dom,6,12,13,10,2900.0,200.0,4,10,8,3,6,10,8,15300.0,15600.0,12200.0,298,146800.0,143100.01279227436,8300.004992634058,8399.918442592025,32999.9893438071,15099.969459697604,17300.0,11300.0,ok,2020.0,10520.0,2088.0,11216.0,16900.0,170100.0,5.207920792079208,5.371647509578544,8.093869731800766,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,semantic_live_support,True,8,48,104,24,24,8388608,100,5,ac26b8df9ebe5cfd73a7e131c1fb6168
bx1,tuning,bx1-k7-1-5ff39721fc88,7631648143058458772,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,,andor_dom,7,14,15,9,2500.0,200.0,2,6,6,2,7,7,7,16700.0,18400.0,13500.0,340,159300.0,156199.99612681568,12899.981811642647,11500.087566673756,33300.049835816026,15499.972505494952,18200.0,12600.0,ok,1895.0,8855.0,1650.0,6811.0,16700.0,175400.0,4.672823218997362,4.127878787878788,10.121212121212121,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,semantic_live_support,True,16,112,240,64,32,8388608,100,5,5ff39721fc88b1a8a5a24f7bc6cbba34
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,1130776419271888585,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,,andor_dom,8,18,20,17,4300.0,300.0,9,11,10,4,10,11,10,25300.0,26700.0,18400.0,434,218700.0,214700.00501722097,14899.96793679893,18699.996871873736,48799.964133650064,22799.940779805183,31600.0,19300.0,ok,2521.0,11846.0,3156.0,11621.0,17900.0,251500.0,4.698928996429988,3.682192648922687,5.671736375158428,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,semantic_live_support,True,32,256,640,96,128,8388608,100,5,4e47cb5cd5b69bcfd719d4ac6068c6c8
bx1,tuning,bx1-k10-1-ce8ba79b76b0,7420669341356717624,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,,mixed,10,21,22,20,8500.0,300.0,10,20,15,3,11,20,15,28700.0,26200.0,18800.0,500,264300.0,259199.99461621046,12299.977242946625,22600.02656839788,60900.027165189385,32400.013878941536,40100.0,18600.0,ok,3974.0,15138.0,4422.0,14966.0,21300.0,285000.0,3.80926019124308,3.3844414292175484,4.8168249660786975,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,semantic_live_support,True,128,1280,2816,384,384,8388608,50,5,ce8ba79b76b0ba54ca0b1db699d85b79
bx1,tuning,bx1-k12-1-dcaeee786843,5272243526725519305,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,,andor_dom,12,27,29,23,8500.0,300.0,11,19,16,5,15,19,16,36000.0,36300.0,30100.0,635,343700.0,338599.98802654445,22699.940018355846,23800.006601959467,74199.89560730755,38400.00135824084,40200.0,25400.0,ok,6920.0,19755.0,7525.0,17955.0,21400.0,375900.0,2.854768786127168,2.386046511627907,2.8438538205980066,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,semantic_live_support,True,512,6144,14848,2560,2560,8388608,20,5,dcaeee786843d10664d1d9075a3d551d
bx1,tuning,bx1-k16-1-00faa20cf21f,118518869172703822,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,,andor_dom,16,33,34,30,8600.0,200.0,14,22,19,4,17,22,19,46700.0,44000.0,26600.0,777,564700.0,556799.9905906618,33900.02530068159,44599.93215277791,116500.01397356391,76999.9751355499,46100.0,26600.0,ok,33380.0,41540.0,33700.0,39960.0,59500.0,492600.0,1.244457759137208,1.1857566765578635,1.488988988988989,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,semantic_live_support,True,8192,131072,278528,32768,32768,8388608,5,5,00faa20cf21f8654c0317cc3490477d5
