arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,10,0,2,2.084315384857928,1.949242927229759,3.8092601912430806,2.049613272632188,4.749828175994909,5.207920792079208,5,0.5
raw,tuning,threshold_k7,7,False,10,0,2,1.7672459584568334,1.6226938589444464,3.8092601912430806,1.122228879568604,4.6754337967406245,4.698928996429988,4,0.4
raw,tuning,threshold_k8,8,False,10,0,2,1.5147433760770768,1.3672215242609014,3.8092601912430806,1.0,3.8982270717617706,4.698928996429988,3,0.3
raw,tuning,threshold_k9,9,False,10,0,2,1.2975950309042024,1.151257160434194,3.8092601912430806,1.0,2.9502179266387585,3.80926019124308,2,0.2
raw,tuning,threshold_k10,10,False,10,0,2,1.2975950309042024,1.151257160434194,3.8092601912430806,1.0,2.9502179266387585,3.80926019124308,2,0.2
raw,tuning,threshold_k11,11,False,10,0,2,1.135154852383074,1.0,1.151257160434194,1.0,1.4054888618362034,2.854768786127168,1,0.1
raw,tuning,threshold_k12,12,False,10,0,2,1.135154852383074,1.0,1.151257160434194,1.0,1.4054888618362034,2.854768786127168,1,0.1
raw,tuning,threshold_k13,13,False,10,0,2,1.0221108912168353,1.0,1.0245976397236387,1.0,1.0244457759137207,1.244457759137208,0,0.0
raw,tuning,threshold_k14,14,False,10,0,2,1.0221108912168353,1.0,1.0245976397236387,1.0,1.0244457759137207,1.244457759137208,0,0.0
raw,tuning,threshold_k15,15,False,10,0,2,1.0221108912168353,1.0,1.0245976397236387,1.0,1.0244457759137207,1.244457759137208,0,0.0
raw,tuning,threshold_k16,16,True,10,0,2,1.0221108912168353,1.0,1.0245976397236387,1.0,1.0244457759137207,1.244457759137208,0,0.0
raw,validation_reused,threshold_k6,6,False,15,0,6,2.237514635170685,1.6354627339394403,2.843529514884114,2.803162055335968,4.516835716581131,5.138134141430688,8,0.5333333333333333
raw,validation_reused,threshold_k7,7,False,15,0,6,2.02589052009338,1.5793085316071611,2.6747383541046683,1.8816260162601626,4.516835716581131,5.138134141430688,7,0.4666666666666667
raw,validation_reused,threshold_k8,8,False,15,0,6,2.02589052009338,1.550051612340651,2.6747383541046683,1.8816260162601626,4.516835716581131,5.138134141430688,7,0.4666666666666667
raw,validation_reused,threshold_k9,9,False,15,0,6,1.657166474950628,1.3700346961779462,2.5474618931889914,1.0951990151826017,4.160965536958557,5.138134141430688,5,0.3333333333333333
raw,validation_reused,threshold_k10,10,False,15,0,6,1.4858641675523385,1.2395836787867878,1.778156216926134,1.0453310696095077,3.6671947971541266,4.339836375078666,4,0.26666666666666666
raw,validation_reused,threshold_k11,11,False,15,0,6,1.2306402815553457,1.0820596691298674,1.5536337432627043,1.0,2.4345476397056456,3.3289980732177264,2,0.13333333333333333
raw,validation_reused,threshold_k12,12,False,15,0,6,1.1358218616399658,1.0188748032862796,1.1800810655200207,1.0,1.5764672485520839,2.803162055335968,1,0.06666666666666667
raw,validation_reused,threshold_k13,13,False,15,0,6,1.016634372488713,1.004443206727271,1.0502880749975125,1.0,1.0752518369533641,1.1187290969899666,0,0.0
raw,validation_reused,threshold_k14,14,False,15,0,6,1.0090587674502758,1.0,1.013075618773606,1.0,1.0271986417657046,1.0951990151826017,0,0.0
raw,validation_reused,threshold_k15,15,False,15,0,6,1.0060808199622675,1.0,1.013075618773606,1.0,1.0,1.0951990151826017,0,0.0
raw,validation_reused,threshold_k16,16,True,15,0,6,1.053053042662023,1.0,1.256281279954375,1.0,1.057119409109561,1.9827167019027485,0,0.0
cm,tuning,threshold_k6,6,False,10,0,2,1.9467502697833814,1.8307284767533254,3.3844414292175484,1.7859015940928853,4.252255660048763,5.371647509578544,5,0.5
cm,tuning,threshold_k7,7,False,10,0,2,1.6455060861035107,1.5188010221003203,3.3844414292175484,1.0928783382789318,3.7267612628182967,4.127878787878788,4,0.4
cm,tuning,threshold_k8,8,False,10,0,2,1.4279953699704389,1.2974384873004867,3.3844414292175484,1.0,3.4142165511880624,3.682192648922687,3,0.3
