corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
bx1,tuning,bx1-k2-1-54f10b4162e0,bx1:family:unknown:tree,2,11,24800.0,22800.0,0.9193548387096774,23900.0,27700.0,22200.0,26300.0,,,,True,True,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9
bx1,tuning,bx1-k2-2-b518dd4ce7ff,bx1:family:unknown:tree,2,11,37500.0,35400.0,0.944,36900.0,40100.0,34600.0,36300.0,,,,True,True,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6
bx1,tuning,bx1-k2-3-95c6829453f6,bx1:family:unknown:tree,2,11,27200.0,25500.0,0.9375,26700.0,27900.0,24800.0,26100.0,,,,True,True,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a
bx1,tuning,bx1-k2-4-32783dec984f,bx1:family:unknown:tree,2,11,22900.0,20900.0,0.9126637554585153,21600.0,47600.0,20100.0,64100.0,,,,True,True,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6
bx1,tuning,bx1-k2-5-fc111ecef3a9,bx1:family:unknown:shared,2,11,93000.0,89500.0,0.9623655913978495,83900.0,172400.0,80500.0,163900.0,,,,True,True,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47
bx1,tuning,bx1-k2-6-7d06ed9915a2,bx1:family:unknown:shared,2,11,118600.0,115800.0,0.9763912310286678,117000.0,121100.0,114300.0,117800.0,,,,True,True,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,bx1:family:unknown:tree,2,11,43700.0,41900.0,0.9588100686498856,43200.0,45300.0,41100.0,54300.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
bx1,tuning,bx1-k2-8-7cec1b883a82,bx1:family:unknown:shared,2,11,132100.0,136100.0,1.0302800908402725,126800.0,240500.0,125500.0,240000.0,,,,True,True,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879
bx1,tuning,bx1-k3-1-6189f2994067,bx1:family:unknown:tree,3,11,49100.0,47700.0,0.9714867617107943,48800.0,51900.0,46300.0,48300.0,,,,True,True,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731
bx1,tuning,bx1-k3-2-c073c4cae16c,bx1:family:unknown:shared,3,11,145000.0,140600.0,0.9696551724137931,143600.0,149800.0,139400.0,148200.0,,,,True,True,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
bx1,tuning,bx1-k3-3-2cf6fe6bc52c,bx1:family:unknown:tree,3,11,57400.0,54800.0,0.9547038327526133,56700.0,58300.0,54600.0,55100.0,,,,True,True,3973e022e93220f9212c18d0d0c543ae7c309e46640da93a4a0314de999f5112
bx1,tuning,bx1-k3-4-6f4b1568a0b2,bx1:family:unknown:shared,3,11,112800.0,108300.0,0.9601063829787234,104900.0,165400.0,101200.0,123700.0,,,,True,True,50868f20258bbc9cce0da2719e8654c108733dd2f663b8737c574ec0ead93eb3
bx1,tuning,bx1-k3-5-9d6635482dd7,bx1:family:unknown:tree,3,11,38100.0,36100.0,0.94750656167979,37500.0,40400.0,35100.0,37700.0,,,,True,True,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a
bx1,tuning,bx1-k3-6-6e2e20f77614,bx1:family:unknown:tree,3,11,39800.0,37600.0,0.9447236180904522,39300.0,40500.0,37100.0,38300.0,,,,True,True,9e076ceaf246b6003d9c2680a2b4cf0bffd069805902b0b5edeebf49039fe4bd
bx1,tuning,bx1-k3-7-7eea095f4c98,bx1:family:unknown:tree,3,11,38300.0,36200.0,0.9451697127937336,37800.0,38700.0,35600.0,36900.0,,,,True,True,3e151409ace91cb3394fecd59e92b5dc42c0aad29993a1858f2f70a0866a539b
bx1,tuning,bx1-k3-8-a6d677a5a9c6,bx1:family:unknown:shared,3,11,132500.0,125200.0,0.9449056603773585,128200.0,194400.0,124000.0,216500.0,,,,True,True,fe1dcd3abfcd6b1655a026e60a05d03a7f71e4b6070f36e6c7e9c4b6f3d3bf1b
bx1,tuning,bx1-k4-1-3d5e8d379589,bx1:family:unknown:tree,4,11,79000.0,76300.0,0.9658227848101266,77800.0,145600.0,74700.0,167500.0,,,,True,True,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec
bx1,tuning,bx1-k4-2-dc59c9d65758,bx1:family:unknown:tree,4,11,111900.0,106800.0,0.9544235924932976,108100.0,127700.0,104800.0,108100.0,,,,True,True,0c3f8fb85969c5f63bbb8cd980c4089845e43c24d46f2f3d36dac81ec4a6b5e9
bx1,tuning,bx1-k4-3-ab064aa12f01,bx1:family:unknown:tree,4,11,115600.0,111800.0,0.967128027681661,113600.0,118000.0,108900.0,116000.0,,,,True,True,fc5c2283015b212d975b85e56b2a75aac4b50bd5aba30cbe74f62857c380bd47
bx1,tuning,bx1-k4-4-341296acd12a,bx1:family:unknown:tree,4,11,109000.0,105000.0,0.963302752293578,106700.0,110500.0,101100.0,107500.0,,,,True,True,dc957fb3268bfbc0fe10280b72493204a4a93b515bc94d24bd3a535c3f1cec88
bx1,tuning,bx1-k4-5-2c4ebec5300e,bx1:family:unknown:tree,4,11,78300.0,62100.0,0.7931034482758621,62000.0,106500.0,58100.0,147600.0,,,,True,True,a5f6a4547f1b079ee5452d9ca3ddca4e9c67df04289297a3865575f3f14539b3
bx1,tuning,bx1-k4-6-cfc288ac73fb,bx1:family:unknown:shared,4,11,304400.0,300500.0,0.9871879106438897,266800.0,463700.0,268200.0,333300.0,,,,True,True,51cf98f7d7cc561328db7f0f423f71139a220416148bc30dc5fc9c8f495b0a7f
bx1,tuning,bx1-k4-7-3e9177a0a359,bx1:family:unknown:tree,4,11,60400.0,58500.0,0.9685430463576159,56700.0,87400.0,54400.0,111300.0,,,,True,True,576058b879ad23fe9231e3e6bbc2ddb5547e70f54b9311e3ea35b63cda778021
bx1,tuning,bx1-k4-8-9e6b3f348e02,bx1:family:unknown:tree,4,11,50300.0,47900.0,0.952286282306163,49800.0,52800.0,47200.0,48600.0,,,,True,True,86284851da241f87363910fbd25eb577ae625901035874a8b63300e0d42d9350
bx1,tuning,bx1-k5-1-034e0f291fe2,bx1:family:unknown:tree,5,11,115600.0,109700.0,0.948961937716263,110400.0,122200.0,103200.0,111500.0,,,,True,True,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33
bx1,tuning,bx1-k5-2-2c0d115977c9,bx1:family:unknown:tree,5,11,162100.0,156700.0,0.9666872301048736,158300.0,164600.0,153600.0,158000.0,,,,True,True,6143256ea532cef7b52c2b02d1b0cb8c7500d6465e1a93f315999298b376d38e
bx1,tuning,bx1-k5-3-2df622ee85b3,bx1:family:unknown:shared,5,11,207800.0,200000.0,0.9624639076034649,204400.0,212600.0,198100.0,210300.0,,,,True,True,0de99e9d3584c7d8e58d818956422633581f33bfb40079949c52c7cf00ab0886
bx1,tuning,bx1-k5-4-c147eb2ddd37,bx1:family:unknown:tree,5,11,106900.0,103300.0,0.9663236669784846,105700.0,107700.0,102400.0,106700.0,,,,True,True,bca5c616901bd9250b3ff9847df58a80dce917799789900b1f45afa2f67f9ea3
bx1,tuning,bx1-k5-5-a102e1e6ae56,bx1:family:unknown:shared,5,11,164300.0,159900.0,0.9732197200243458,162400.0,175700.0,157400.0,184300.0,,,,True,True,917b0f241a54adf2a7621d1364c6cd65d0810137aa21ecb37539007ea88feae4
bx1,tuning,bx1-k5-6-116409bdc50c,bx1:family:unknown:tree,5,11,95900.0,91800.0,0.9572471324296142,95300.0,97800.0,91100.0,94800.0,,,,True,True,b8c7f44e7b8503569d12a3f3c52a7540395f01a7416a8ae111c683b83b02bfea
bx1,tuning,bx1-k5-7-31414d038c89,bx1:family:unknown:shared,5,11,228700.0,221100.0,0.9667686926104067,224500.0,256600.0,219600.0,235800.0,,,,True,True,c3c0795e66efdb4893dfbea5904c0264813b066194206a9d9dc51fdc29434600
bx1,tuning,bx1-k5-8-0e1e9c457194,bx1:family:unknown:tree,5,11,91900.0,87100.0,0.9477693144722524,89400.0,130800.0,85000.0,113900.0,,,,True,True,e6bef58a11fdfb6803208006b5064a62868e99ef09c185c62776cecbada1e076
bx1,tuning,bx1-k6-1-ac26b8df9ebe,bx1:family:unknown:tree,6,11,106900.0,102300.0,0.9569691300280636,106100.0,109600.0,101900.0,103200.0,,,,True,True,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464
bx1,tuning,bx1-k6-2-ffc059d624c2,bx1:family:unknown:tree,6,11,117400.0,113100.0,0.9633730834752982,116500.0,118200.0,112000.0,114300.0,,,,True,True,fecdd560447fcdd00b65d7b2346f087ae28ba0a7ccad3c5a26996194d2f72e19
bx1,tuning,bx1-k6-3-ce65022b9fb4,bx1:family:unknown:tree,6,11,117200.0,111400.0,0.9505119453924915,96000.0,125200.0,90500.0,139800.0,,,,True,True,965425c496880102a23b9bb3b622c940f98677ee48cf209044732608565c1468
bx1,tuning,bx1-k6-4-5eff59fb232a,bx1:family:unknown:tree,6,11,117800.0,114100.0,0.9685908319185059,114000.0,148100.0,110100.0,163900.0,,,,True,True,6eea92dc369a2dc0b787ee1e430ea8253af8bc2835240652b5a1016d0a24a40b
bx1,tuning,bx1-k6-5-66ebf761dca1,bx1:family:unknown:tree,6,11,98600.0,93500.0,0.9482758620689655,96100.0,100400.0,92700.0,98100.0,,,,True,True,438bbe3675971dbdad9e96dfc2d1874c752fbb27cf06a3f4643eb8f8879dd493
bx1,tuning,bx1-k6-6-2d863b86e83a,bx1:family:unknown:shared,6,11,229900.0,219600.0,0.9551979121357111,222600.0,243700.0,214000.0,250300.0,,,,True,True,65af7220a3badb6d357bd7ad6a22e4e99780c02e975ab5a9cf4eb72e9fac2483
bx1,tuning,bx1-k6-7-fa21ca943885,bx1:family:unknown:tree,6,11,120900.0,116000.0,0.9594706368899917,117800.0,122200.0,113800.0,117200.0,,,,True,True,dfa2795fd2560a0399c10a1341bffb96778104541181e1eb5bcbb1161510f7c8
bx1,tuning,bx1-k6-8-7ebdf5d9f846,bx1:family:unknown:shared,6,11,242300.0,253400.0,1.0458109781262896,233900.0,318900.0,228600.0,304600.0,,,,True,True,e9355ae0ee1835ecb045dae2bc25d4bc454005e743fc0329c2551c4e3dec56fd
bx1,tuning,bx1-k7-1-5ff39721fc88,bx1:family:unknown:tree,7,11,126600.0,126700.0,1.0007898894154819,123000.0,198100.0,118900.0,215000.0,,,,True,True,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48
bx1,tuning,bx1-k7-2-e0fc1bb3261b,bx1:family:unknown:tree,7,11,112400.0,108500.0,0.9653024911032029,111300.0,114300.0,107000.0,109200.0,,,,True,True,b8ee779cb8c5eb0beb1bf480e65e9803111b57412577edae72a1423f383b04f2
bx1,tuning,bx1-k7-3-6c16cb84b240,bx1:family:unknown:shared,7,11,349800.0,328200.0,0.9382504288164666,334700.0,468600.0,322300.0,400600.0,,,,True,True,844cd7fc286c4123bcbc0b95df454c8be52ea115c0aeaf637d2bf177f75a1163
bx1,tuning,bx1-k7-4-8a9246588c00,bx1:family:unknown:tree,7,11,138300.0,135100.0,0.9768618944323934,135300.0,146700.0,130800.0,241100.0,,,,True,True,54995ea77c2b16a8d95d3fc713813ba295f81e4847eb399e7ecec4bc4b7ce8e0
bx1,tuning,bx1-k7-5-c9bc83e08a2e,bx1:family:unknown:shared,7,11,242900.0,232300.0,0.9563606422396048,237400.0,564400.0,229000.0,235100.0,,,,True,True,8f2bf1a497fa86adaf46247de1fc06111c83dd7d5acf9cd434a0de581d5fdfa6
bx1,tuning,bx1-k7-6-f354ff655ae6,bx1:family:unknown:tree,7,11,108000.0,104400.0,0.9666666666666667,106800.0,111200.0,102600.0,106700.0,,,,True,True,02b1b0272cd3edb1600af80596fed6cb2dbbce970e06855c973cc3030a75504a
bx1,tuning,bx1-k7-7-6f54a0caffbb,bx1:family:unknown:tree,7,11,125400.0,121400.0,0.9681020733652312,124600.0,127200.0,120000.0,126400.0,,,,True,True,3745959b8dc7bf972951241a7e492452284dfe12f6dacab712bb34c57f56deff
bx1,tuning,bx1-k7-8-31960f6785ea,bx1:family:unknown:tree,7,11,135800.0,130500.0,0.9609720176730486,135200.0,136600.0,129800.0,132200.0,,,,True,True,fb1d0487129833c3401e3a60402f1d05d7ff1adbb6dd3ba1a3039b0fe62ec7a7
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,bx1:family:unknown:tree,8,11,178200.0,183900.0,1.031986531986532,167000.0,243300.0,158200.0,213300.0,,,,True,True,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30
bx1,tuning,bx1-k8-2-a182f8acff49,bx1:family:unknown:shared,8,11,246900.0,235300.0,0.9530174159578777,239600.0,322000.0,230000.0,244300.0,,,,True,True,8b7875dd32eb966f016e3fd28a016328a763518beeee69e2d6f88c364768d679
bx1,tuning,bx1-k8-3-afe9419ba99d,bx1:family:unknown:tree,8,11,172100.0,164500.0,0.9558396281231842,169000.0,174700.0,163200.0,166800.0,,,,True,True,d18ac77ccd418be3ea78e236f39efa0a39eccfa942edd7a9cf6dd87e694a0ba6
bx1,tuning,bx1-k8-4-f19b51fae83a,bx1:family:unknown:tree,8,11,138400.0,132300.0,0.9559248554913294,137600.0,139500.0,131200.0,134100.0,,,,True,True,6bfda650328bb3de7368ee86ae030866c7c95772f0b4d56a96124e009213ca0d
bx1,tuning,bx1-k8-5-e450c9286a4b,bx1:family:unknown:tree,8,11,130800.0,124200.0,0.9495412844036697,127800.0,194100.0,121500.0,130900.0,,,,True,True,df011df91ca5053f5dd5d482f1005f40217484210d2d70002af80d424af24c47
bx1,tuning,bx1-k8-6-64c2a6d682df,bx1:family:unknown:shared,8,11,209400.0,201600.0,0.9627507163323782,207400.0,218000.0,200200.0,207700.0,,,,True,True,27891780ec8e448b119c5dc9cfc94faba3eca39177fa458804258b4d4324a512
bx1,tuning,bx1-k8-7-09fc993513d7,bx1:family:unknown:tree,8,11,119700.0,115000.0,0.960735171261487,119500.0,121400.0,114000.0,118200.0,,,,True,True,4f158000b47e4689beeec4a55c010155d5f95ffe1e0643fd9eb925e725a0d601
bx1,tuning,bx1-k8-8-21adfede2a12,bx1:family:unknown:tree,8,11,199100.0,188400.0,0.946258161727775,192800.0,220000.0,183000.0,195700.0,,,,True,True,dbf6879a50bc62709899f57bdbc6fa686a2113d9461a924c4daa9d566b4a94e0
