corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
epfl,validation_reused,epfl-random_control-cavlc-po6-6ee697114e,epfl:circuit:cavlc.aig,10,5,4012500.0,3947800.0,0.9838753894080997,3860540.0,4556660.0,3797340.0,4959900.0,,,,True,True,94c7e39f483d33b821222ab1c28ed106a56972cbbfb10cfd7e3712e95e829702
epfl,validation_reused,epfl-random_control-cavlc-po7-01ca37e2be,epfl:circuit:cavlc.aig,10,5,4467400.0,4457300.0,0.9977391771500201,4269800.0,5531200.0,4043200.0,4508520.0,,,,True,True,c7a070a0fcff55cad677a5106cfafc82368d763c0dbca0372661ff6cf90b1191
epfl,validation_reused,epfl-random_control-dec-po0-829c8b783a,epfl:circuit:dec.aig,8,5,424700.0,359600.0,0.8467153284671532,367540.0,704320.0,354700.0,734000.0,,,,True,True,6cc4f0e930b34481d03a4134331852eaed66667e3b3d8605f7cd3777551d2b6f
epfl,validation_reused,epfl-random_control-dec-po1-c4c60ec16a,epfl:circuit:dec.aig,8,5,347700.0,349200.0,1.004314063848145,334960.0,429680.0,333520.0,365460.0,,,,True,True,671eaa12d76be21eb2ced2f61ac1e98df94c1952c2cdfc047895c74f15a7f3fa
epfl,validation_reused,epfl-random_control-dec-po2-f57f2d2e2b,epfl:circuit:dec.aig,8,5,335400.0,327800.0,0.977340488968396,331320.0,373760.0,316400.0,337520.0,,,,True,True,5481b8528ef488d0a4ed259244306aff83145b7d675e159efece21def7561297
epfl,validation_reused,epfl-random_control-dec-po3-4364177137,epfl:circuit:dec.aig,8,5,698900.0,629700.0,0.9009872657032479,553860.0,716700.0,330760.0,659960.0,,,,True,True,59e7addb5e068640de3f8fb015017e7aa7495430d2533f87d4ece9f7ee548fa3
epfl,validation_reused,epfl-random_control-dec-po4-e56e9dcbed,epfl:circuit:dec.aig,8,5,375200.0,386900.0,1.0311833688699361,361500.0,434500.0,339960.0,476940.0,,,,True,True,d140e61d738c3298875886b8d8de576e48ff5c7e9f4d0e66d0149d0bdee19f49
epfl,validation_reused,epfl-random_control-dec-po5-8708527f1a,epfl:circuit:dec.aig,8,5,360500.0,356600.0,0.9891816920943135,338000.0,654460.0,335120.0,506960.0,,,,True,True,650189d78de4cf754ed237a9ddadd9686b58d85d06d82e937df6075f4cc87642
epfl,validation_reused,epfl-random_control-dec-po6-0e1bce9519,epfl:circuit:dec.aig,8,5,344300.0,349000.0,1.0136508858553588,331280.0,455880.0,329020.0,384320.0,,,,True,True,8aa4012b4573828d21c20ac64d18a6ea73da0347b5d1a71442091ca48655db70
epfl,validation_reused,epfl-random_control-dec-po7-07a62f5837,epfl:circuit:dec.aig,8,5,310300.0,304900.0,0.9825974863035772,308000.0,342160.0,302300.0,307280.0,,,,True,True,d504fd065f8d2bcd3d1d3a4b298328e09f1cb44e3106d156477e992aabe9812c
