corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,6,70150.0,42300.0,181050.0,0.12042597574622294
b2,ir_canonicalize_ns,6,49700.02919435501,27999.994927085936,101950.00504609197,0.06785954539757749
b2,ir_rewrite_ns,6,89950.04463940859,46100.00178217888,176449.9902492389,0.1183971976101178
b2,ir_intern_ns,6,134200.00323094428,101800.00390391797,336450.04441495985,0.21891746605736606
b2,ir_live_vars_ns,6,75699.99434053898,43099.993490614,200200.11288579553,0.11716016604711432
b2,lower_cm_ns_median,6,77350.0,42500.0,133650.0,0.0892876612470257
b2,wrapper_current_ns_median,6,53450.0,36850.0,204900.0,
b2,end_to_end_current_ns_median,6,1027550.0,553500.0,1739650.0,
bx1,hash_ns_median,10,54750.0,25920.0,100099.99999999997,0.12298366920429213
bx1,ir_canonicalize_ns,10,32600.02995375544,8909.989264793694,52620.0165040791,0.06139621058498545
bx1,ir_rewrite_ns,10,31149.975256994367,18119.998276233673,62300.00290088355,0.0755656393450608
bx1,ir_intern_ns,10,106799.9837687239,69019.990041852,171859.91746373475,0.22943649549686038
bx1,ir_live_vars_ns,10,49649.97060596943,21309.993462637067,88890.01328498124,0.10348784627468172
bx1,lower_cm_ns_median,10,60000.0,44210.0,96939.99999999999,0.1336580601594402
bx1,wrapper_current_ns_median,10,50900.0,37090.0,114989.99999999997,
bx1,end_to_end_current_ns_median,10,596050.0,259070.0,839769.9999999998,
epfl,hash_ns_median,9,245100.0,148220.0,617560.0000000002,0.10827344538813327
epfl,ir_canonicalize_ns,9,116500.01397356391,90360.00119522214,684219.9712991717,0.061709351099524426
epfl,ir_rewrite_ns,9,132099.92903284729,98619.96513791382,619360.0594997407,0.0716368786087636
epfl,ir_intern_ns,9,475799.92678947747,412179.8789128661,1783099.9568104749,0.274633230548446
epfl,ir_live_vars_ns,9,190800.02675764263,151140.05655050278,1136959.8738383506,0.11332186657815681
epfl,lower_cm_ns_median,9,242800.0,142820.0,726440.0,0.11756992221882916
epfl,wrapper_current_ns_median,9,113900.0,76540.0,544200.0000000002,
epfl,end_to_end_current_ns_median,9,2463800.0,1193220.0,8783860.0,
