corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,8900.0,1800.0,1,3,2,1,1,3,2,26800.0,20800.0,21600.0,95,234400.0,221799.97176863253,0.0,18599.9961104244,53000.025218352675,13299.984857439995,44500.0,28100.0,ok,4030.0,4386.0,3327.0,3032.0,53300.0,219200.0,1.0883374689826302,0.911331529906823,16.02043883378419,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,8300.0,1000.0,2,4,3,2,3,4,3,18000.0,16900.0,18300.0,158,308100.0,296999.9914057553,19300.00144056976,13800.017768517137,71000.04586391151,22199.994418770075,41600.0,25000.0,ok,2489.0,2504.0,2541.0,2826.0,41000.0,263500.0,1.0060265166733628,1.1121605667060213,16.13537977174341,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k4-1-3d5e8d379589,2912613150875055739,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,,andor_dom,4,9,11,9,10100.0,900.0,5,11,8,4,5,11,8,44400.0,35700.0,52300.0,232,304800.0,296399.98683705926,9899.988071992993,30599.971069023013,70799.98613335192,29599.9925583601,57200.0,40000.0,ok,8379.0,7983.0,7296.0,6032.0,36100.0,494400.0,0.9527389903329753,0.8267543859649122,4.947916666666667,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,semantic_live_support,True,2,0,22,0,0,8388608,100,5,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k5-1-034e0f291fe2,1828508922621870129,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,,andor_dom,5,9,9,9,8900.0,800.0,4,4,4,3,4,4,4,51800.0,36200.0,58300.0,225,399900.0,390400.0041075051,22599.968360736966,19600.00372491777,85999.98545832932,39899.98367615044,57800.0,34100.0,ok,5615.0,5989.0,6943.0,7358.0,53900.0,432700.0,1.066607301869991,1.0597724326659945,7.763214748667723,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,semantic_live_support,True,4,0,36,0,0,8388608,100,5,034e0f291fe2129ff5c840daf6a5e9e9
bx1,tuning,bx1-k6-1-ac26b8df9ebe,51376053804700149,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,,andor_dom,6,12,13,10,10400.0,1200.0,4,10,8,3,6,10,8,57700.0,56100.0,48200.0,298,554100.0,542299.9965958297,31600.036891177297,31699.97944496572,130700.00568404794,59399.95753578842,62200.0,42500.0,ok,7918.0,27790.0,8988.0,32835.0,105000.0,656400.0,3.509724677948977,3.653204272363151,11.682242990654206,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,semantic_live_support,True,8,48,104,24,24,8388608,100,5,ac26b8df9ebe5cfd73a7e131c1fb6168
bx1,tuning,bx1-k7-1-5ff39721fc88,7631648143058458772,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,,andor_dom,7,14,15,9,4900.0,400.0,2,6,6,2,7,7,7,46900.0,49400.0,37800.0,340,402800.0,393299.9970857054,35299.977753311396,28599.98494386673,78299.95593056083,38200.028939172626,50300.0,38800.0,ok,7372.0,36384.0,6973.0,24567.0,58600.0,687700.0,4.935431361909929,3.5231607629427795,8.40384339595583,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,semantic_live_support,True,16,112,240,64,32,8388608,100,5,5ff39721fc88b1a8a5a24f7bc6cbba34
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,1130776419271888585,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,,andor_dom,8,18,20,17,14900.0,800.0,9,11,10,4,10,11,10,94700.0,72300.0,54000.0,434,720900.0,707300.0015225261,50700.007705017924,60999.998822808266,166799.90221746266,77500.0371504575,94700.0,57000.0,ok,9799.0,45496.0,7844.0,26887.0,37200.0,573800.0,4.642922747219104,3.427715451300357,4.742478327383988,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,semantic_live_support,True,32,256,640,96,128,8388608,100,5,4e47cb5cd5b69bcfd719d4ac6068c6c8
bx1,tuning,bx1-k10-1-ce8ba79b76b0,7420669341356717624,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,,mixed,10,21,22,20,11600.0,600.0,10,20,15,3,11,20,15,73700.0,103900.0,55700.0,500,558600.0,549400.0215549022,33600.02301633358,48900.08131042123,127599.98207911849,68699.97014291584,73900.0,36000.0,ok,13300.0,56162.0,14648.0,47326.0,48500.0,618300.0,4.222706766917293,3.2308847624249046,3.311032222829055,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,semantic_live_support,True,128,1280,2816,384,384,8388608,50,5,ce8ba79b76b0ba54ca0b1db699d85b79
bx1,tuning,bx1-k12-1-dcaeee786843,5272243526725519305,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,,andor_dom,12,27,29,23,16800.0,800.0,11,19,16,5,15,19,16,66600.0,64400.0,42200.0,635,711900.0,698299.9911997467,51800.01608096063,51100.01075081527,170399.90052580833,86200.01608505845,82200.0,44600.0,ok,12190.0,35660.0,13375.0,33545.0,46500.0,807100.0,2.9253486464315013,2.50803738317757,3.4766355140186915,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,semantic_live_support,True,512,6144,14848,2560,2560,8388608,20,5,dcaeee786843d10664d1d9075a3d551d
bx1,tuning,bx1-k16-1-00faa20cf21f,118518869172703822,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,,andor_dom,16,33,34,30,20700.0,600.0,14,22,19,4,17,22,19,148700.0,126900.0,74700.0,777,844000.0,829500.0006910414,60000.02031214535,74000.03960356116,185000.06990507245,113099.98808428645,117100.0,52200.0,ok,75220.0,117040.0,83340.0,96160.0,204900.0,1133800.0,1.5559691571390588,1.1538276937844973,2.1308236272878536,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,semantic_live_support,True,8192,131072,278528,32768,32768,8388608,5,5,00faa20cf21f8654c0317cc3490477d5
