arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,10,0,2,2.0942017713672376,1.937211973404927,4.222706766917292,2.24065890178528,4.672173608688186,4.935431361909929,5,0.5
raw,tuning,threshold_k7,7,False,10,0,2,1.8471034422680628,1.6849664204285606,4.222706766917292,1.3027872843192476,4.672173608688186,4.935431361909929,4,0.4
raw,tuning,threshold_k8,8,False,10,0,2,1.5745581566063356,1.4110913388822366,4.222706766917292,1.024802705749718,4.264728364947474,4.642922747219104,3,0.3
raw,tuning,threshold_k9,9,False,10,0,2,1.3504532683044008,1.1897814307557173,4.222706766917292,1.0,3.05508445848008,4.222706766917293,2,0.2
raw,tuning,threshold_k10,10,False,10,0,2,1.3504532683044008,1.1897814307557173,4.222706766917292,1.0,3.05508445848008,4.222706766917293,2,0.2
raw,tuning,threshold_k11,11,False,10,0,2,1.1692852407135352,1.0,1.1897814307557173,1.0,1.6929071060683025,2.9253486464315013,1,0.1
raw,tuning,threshold_k12,12,False,10,0,2,1.1692852407135352,1.0,1.1897814307557173,1.0,1.6929071060683025,2.9253486464315013,1,0.1
raw,tuning,threshold_k13,13,False,10,0,2,1.0502742177800948,1.0,1.0560139898727845,1.0,1.1002417860633984,1.5559691571390588,0,0.0
raw,tuning,threshold_k14,14,False,10,0,2,1.0502742177800948,1.0,1.0560139898727845,1.0,1.1002417860633984,1.5559691571390588,0,0.0
raw,tuning,threshold_k15,15,False,10,0,2,1.0502742177800948,1.0,1.0560139898727845,1.0,1.1002417860633984,1.5559691571390588,0,0.0
raw,tuning,threshold_k16,16,True,10,0,2,1.0502742177800948,1.0,1.0560139898727845,1.0,1.1002417860633984,1.5559691571390588,0,0.0
raw,validation_reused,threshold_k6,6,False,15,0,6,2.384894205596118,1.7410323352580213,3.0487708304766388,2.5382018479033404,5.488726010771735,6.220425911472851,9,0.6
raw,validation_reused,threshold_k7,7,False,15,0,6,2.2039361445277685,1.7445547725176302,2.8526738111353778,2.2912412508829383,5.488726010771735,6.220425911472851,8,0.5333333333333333
raw,validation_reused,threshold_k8,8,False,15,0,6,2.2039361445277685,1.706153561129048,2.8538525463132545,2.2912412508829383,5.488726010771735,6.220425911472851,8,0.5333333333333333
raw,validation_reused,threshold_k9,9,False,15,0,6,1.7552800119149157,1.4806524650394515,2.6637439404309933,1.1914992451515503,4.653234916427131,5.705845278004124,6,0.4
raw,validation_reused,threshold_k10,10,False,15,0,6,1.5628779885159625,1.3050623998618884,1.7695461575550702,1.0281455574985428,3.664294186236174,5.163047109923154,5,0.3333333333333333
raw,validation_reused,threshold_k11,11,False,15,0,6,1.2796142606825331,1.1334134394780608,1.6027709725105366,1.0,2.4394176090951794,3.3279605263157896,3,0.2
raw,validation_reused,threshold_k12,12,False,15,0,6,1.202570818407223,1.0894631425721084,1.3050623998618884,1.0,2.056019897543071,3.3279605263157896,2,0.13333333333333333
raw,validation_reused,threshold_k13,13,False,15,0,6,1.0502533173361337,1.0027795307431462,1.2331420007886573,1.0,1.1261577700903471,1.7031878675332714,0,0.0
raw,validation_reused,threshold_k14,14,False,15,0,6,1.0136232376250496,1.0,1.0253462296472002,1.0,1.0168873344991256,1.1914992451515503,0,0.0
raw,validation_reused,threshold_k15,15,False,15,0,6,1.0117493128480317,1.0,1.0253462296472002,1.0,1.0,1.1914992451515503,0,0.0
raw,validation_reused,threshold_k16,16,True,15,0,6,1.0590489124965667,1.0,1.2566533764196224,1.0,1.1148995470909302,1.9844789993114529,0,0.0
cm,tuning,threshold_k6,6,False,10,0,2,1.8786049866879402,1.7687659126870408,3.2308847624249046,1.8587932273978036,3.5361651138848167,3.653204272363151,5,0.5
cm,tuning,threshold_k7,7,False,10,0,2,1.6503196666526765,1.5316200095591446,3.2308847624249046,1.1816883827012672,3.4372599824645995,3.5231607629427795,4,0.4
cm,tuning,threshold_k8,8,False,10,0,2,1.4550396533903802,1.331621375897228,3.2308847624249046,1.1255616041481855,3.2505678313124498,3.427715451300357,3,0.3
cm,tuning,threshold_k9,9,False,10,0,2,1.2863950280611254,1.161276892801434,3.2308847624249046,1.0486477572559367,2.580322121102303,3.2308847624249046,2,0.2
cm,tuning,threshold_k10,10,False,10,0,2,1.2863950280611254,1.161276892801434,3.2308847624249046,1.0486477572559367,2.580322121102303,3.2308847624249046,2,0.2
cm,tuning,threshold_k11,11,False,10,0,2,1.1440426256360048,1.0,1.161276892801434,1.0,1.33939790277399,2.50803738317757,1,0.1
cm,tuning,threshold_k12,12,False,10,0,2,1.1440426256360048,1.0,1.161276892801434,1.0,1.33939790277399,2.50803738317757,1,0.1
cm,tuning,threshold_k13,13,False,10,0,2,1.0435392906814063,1.0,1.0484925270032601,1.0,1.1593998315678513,1.209549071618037,0,0.0
cm,tuning,threshold_k14,14,False,10,0,2,1.0435392906814063,1.0,1.0484925270032601,1.0,1.1593998315678513,1.209549071618037,0,0.0
cm,tuning,threshold_k15,15,False,10,0,2,1.0435392906814063,1.0,1.0484925270032601,1.0,1.1593998315678513,1.209549071618037,0,0.0
cm,tuning,threshold_k16,16,True,10,0,2,1.0435392906814063,1.0,1.0484925270032601,1.0,1.1593998315678513,1.209549071618037,0,0.0
cm,validation_reused,threshold_k6,6,False,15,0,6,2.2645557125305027,1.8025577042649827,2.749210681522707,2.638150289017341,4.604633902456941,5.043867306852903,10,0.6666666666666666
cm,validation_reused,threshold_k7,7,False,15,0,6,2.0329752875403275,1.7563503445944486,2.562502111020563,2.5966671931764336,3.9382851494574966,4.98326359832636,9,0.6
