corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,6,122700.0,78350.0,258800.0,0.13772693061002939
b2,ir_canonicalize_ns,6,54950.01096278429,25650.0206887722,90899.97911360115,0.051364575070560387
b2,ir_rewrite_ns,6,110750.0575017184,49049.995141103864,188499.99469239265,0.10310953192591504
b2,ir_intern_ns,6,170349.95835274458,90550.02010427415,273749.9598879367,0.1675836397147762
b2,ir_live_vars_ns,6,96800.02403911203,44049.95706863701,238249.99516364187,0.09621577692763475
b2,lower_cm_ns_median,6,83500.0,67550.0,156100.0,0.10401953963100707
b2,wrapper_current_ns_median,6,40800.0,36850.0,107050.0,
b2,end_to_end_current_ns_median,6,1075050.0,543200.0,1643100.0,
bx1,hash_ns_median,10,98850.0,35620.0,184699.99999999997,0.14989187262078718
bx1,ir_canonicalize_ns,10,34099.96861591935,11790.0111945346,68369.9909131974,0.049157879170029825
bx1,ir_rewrite_ns,10,44250.04590302706,14629.997895099223,91979.98442687093,0.06892142984072859
bx1,ir_intern_ns,10,121100.00534448773,46599.95902329683,238069.94722690433,0.17543161104535987
bx1,ir_live_vars_ns,10,64599.99713115394,15340.003301389515,139420.01969553527,0.09363932422855993
bx1,lower_cm_ns_median,10,67150.0,49300.0,167110.0,0.13308625081714442
bx1,wrapper_current_ns_median,10,36900.0,32490.0,52149.99999999998,
bx1,end_to_end_current_ns_median,10,634050.0,316060.0,1289459.9999999998,
epfl,hash_ns_median,9,424500.0,241120.0,2614580.000000001,0.14915671117357696
epfl,ir_canonicalize_ns,9,137500.05746260285,88639.99391905963,858860.0612711164,0.04831344253780845
epfl,ir_rewrite_ns,9,245500.00671297312,164939.90551680326,1364459.947217256,0.07880497587357642
epfl,ir_intern_ns,9,536500.0979509205,323740.03203585744,2635320.188710467,0.1880046185116781
epfl,ir_live_vars_ns,9,269400.0431802124,169260.03736443818,1607679.9249276523,0.10056511130942652
epfl,lower_cm_ns_median,9,363200.0,216380.0,1536900.0000000005,0.12761770906535488
epfl,wrapper_current_ns_median,9,81800.0,46100.0,214000.0,
epfl,end_to_end_current_ns_median,9,3790400.0,2477220.0,8783100.000000002,
