corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,9700.0,2500.0,1,3,2,1,1,3,2,21400.0,25200.0,14800.0,95,217800.0,197599.99122470617,0.0,14899.997040629387,36699.988413602114,13000.01167692244,56600.0,22000.0,ok,3536.0,4024.0,3267.0,3880.0,36500.0,168100.0,1.1380090497737556,1.1876339149066422,11.172329354147536,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,3,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,9300.0,1500.0,2,4,3,2,3,4,3,37200.0,40000.0,14000.0,158,248600.0,240399.9969828874,13699.987903237343,12200.005585327744,47699.95575770736,15600.002370774746,34000.0,24300.0,ok,3446.0,4115.0,3585.0,4415.0,32500.0,332500.0,1.19413813116657,1.2315202231520224,9.06555090655509,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,3,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k4-1-3d5e8d379589,2912613150875055739,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,,andor_dom,4,9,11,9,15600.0,1400.0,5,11,8,4,5,11,8,64800.0,66800.0,15800.0,232,426300.0,415899.9945502728,13100.012438371778,31600.00778734684,71300.04814825952,39399.979868903756,60400.0,38800.0,ok,4517.0,4972.0,4588.0,5133.0,32400.0,424500.0,1.1007305733894177,1.1187881429816913,7.061900610287707,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,semantic_live_support,True,2,0,22,0,0,8388608,100,3,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k5-1-034e0f291fe2,1828508922621870129,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,,andor_dom,5,9,9,9,17500.0,2300.0,4,4,4,3,4,4,4,66400.0,58300.0,15400.0,225,388800.0,380399.9861702323,17700.018361210823,22700.027329847217,64799.998654052615,31400.035368278623,69600.0,31800.0,ok,4024.0,4440.0,5246.0,6471.0,47100.0,599700.0,1.10337972166998,1.2335112466641251,8.978269157453298,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,semantic_live_support,True,4,0,36,0,0,8388608,100,3,034e0f291fe2129ff5c840daf6a5e9e9
bx1,tuning,bx1-k6-1-ac26b8df9ebe,51376053804700149,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,,andor_dom,6,12,13,10,16200.0,1600.0,4,10,8,3,6,10,8,103800.0,126000.0,24300.0,298,771700.0,757000.0016130507,36399.9861292541,42700.034100562334,134399.9756500125,73200.00440813601,64700.0,46700.0,ok,4437.0,19219.0,4772.0,19759.0,35000.0,536100.0,4.331530313274735,4.140611902766135,7.334450963956413,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,semantic_live_support,True,8,48,104,24,24,8388608,100,3,ac26b8df9ebe5cfd73a7e131c1fb6168
bx1,tuning,bx1-k7-1-5ff39721fc88,7631648143058458772,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,,andor_dom,7,14,15,9,15100.0,1300.0,2,6,6,2,7,7,7,93900.0,95800.0,18300.0,340,631000.0,621799.990767613,41900.02800896764,45800.05770549178,107800.03503896296,55999.98985417187,51000.0,47500.0,ok,4466.0,19467.0,4384.0,14294.0,34600.0,668400.0,4.358934169278997,3.260492700729927,7.892335766423358,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,semantic_live_support,True,16,112,240,64,32,8388608,100,3,5ff39721fc88b1a8a5a24f7bc6cbba34
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,1130776419271888585,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,,andor_dom,8,18,20,17,40700.0,2200.0,9,11,10,4,10,11,10,156300.0,134700.0,25300.0,434,957800.0,941699.9819222838,51700.015319511294,79699.93748702109,198099.99503195286,92499.97674487531,165500.0,96400.0,ok,5103.0,24318.0,5781.0,23515.0,37300.0,820300.0,4.765432098765432,4.067635357204636,6.452170904687771,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,semantic_live_support,True,32,256,640,96,128,8388608,100,3,4e47cb5cd5b69bcfd719d4ac6068c6c8
bx1,tuning,bx1-k10-1-ce8ba79b76b0,7420669341356717624,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,,mixed,10,21,22,20,31600.0,1500.0,10,20,15,3,11,20,15,141500.0,149400.0,24000.0,500,913400.0,903199.9798025936,31799.9511025846,58300.03647133708,161399.89020302892,106699.96845535934,118200.0,70400.0,ok,6832.0,29352.0,7468.0,29582.0,40400.0,917000.0,4.296252927400468,3.9611676486341723,5.4097482592394215,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,semantic_live_support,True,128,1280,2816,384,384,8388608,50,3,ce8ba79b76b0ba54ca0b1db699d85b79
bx1,tuning,bx1-k12-1-dcaeee786843,5272243526725519305,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,,andor_dom,12,27,29,23,36000.0,1500.0,11,19,16,5,15,19,16,178900.0,200600.0,35100.0,635,1287600.0,1275999.9954141676,66999.98630210757,89399.98224377632,233199.94215853512,133700.02852752805,148600.0,92400.0,ok,10090.0,37335.0,10665.0,33330.0,41500.0,1246100.0,3.7001982160555005,3.1251758087201127,3.891233005157056,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,semantic_live_support,True,512,6144,14848,2560,2560,8388608,20,3,dcaeee786843d10664d1d9075a3d551d
bx1,tuning,bx1-k16-1-00faa20cf21f,118518869172703822,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,,andor_dom,16,33,34,30,44300.0,1600.0,14,22,19,4,17,22,19,236900.0,227200.0,33400.0,777,1577800.0,1564300.007885322,80700.03241300583,115200.00407472253,281899.9928422272,190899.9402076006,181600.0,112900.0,ok,38780.0,64740.0,40900.0,61760.0,97600.0,1679700.0,1.6694172253739041,1.5100244498777506,1.5803108808290156,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,semantic_live_support,True,8192,131072,278528,32768,32768,8388608,5,3,00faa20cf21f8654c0317cc3490477d5
