profile,limit_bytes,model,role,schedule,representation,rows,admitted,refused,false_admissions,false_refusals
permissive-diagnostic,67108864,candidate,calibration,cold,bigint,36,36,0,0,0
permissive-diagnostic,67108864,candidate,calibration,cold,dense,36,36,0,0,0
permissive-diagnostic,67108864,candidate,calibration,cold,words,36,36,0,0,0
permissive-diagnostic,67108864,candidate,calibration,warm,bigint,36,36,0,0,0
permissive-diagnostic,67108864,candidate,calibration,warm,dense,36,36,0,0,0
permissive-diagnostic,67108864,candidate,calibration,warm,words,36,36,0,0,0
permissive-diagnostic,67108864,candidate,heldout-structural,cold,bigint,24,24,0,0,0
permissive-diagnostic,67108864,candidate,heldout-structural,cold,dense,24,24,0,0,0
permissive-diagnostic,67108864,candidate,heldout-structural,cold,words,24,24,0,0,0
permissive-diagnostic,67108864,candidate,heldout-structural,warm,bigint,24,24,0,0,0
permissive-diagnostic,67108864,candidate,heldout-structural,warm,dense,24,24,0,0,0
permissive-diagnostic,67108864,candidate,heldout-structural,warm,words,24,24,0,0,0
permissive-diagnostic,67108864,legacy,calibration,cold,bigint,36,36,0,0,0
permissive-diagnostic,67108864,legacy,calibration,cold,dense,36,36,0,0,0
permissive-diagnostic,67108864,legacy,calibration,cold,words,36,36,0,0,0
permissive-diagnostic,67108864,legacy,calibration,warm,bigint,36,36,0,0,0
permissive-diagnostic,67108864,legacy,calibration,warm,dense,36,36,0,0,0
permissive-diagnostic,67108864,legacy,calibration,warm,words,36,36,0,0,0
permissive-diagnostic,67108864,legacy,heldout-structural,cold,bigint,24,24,0,0,0
permissive-diagnostic,67108864,legacy,heldout-structural,cold,dense,24,24,0,0,0
permissive-diagnostic,67108864,legacy,heldout-structural,cold,words,24,24,0,0,0
permissive-diagnostic,67108864,legacy,heldout-structural,warm,bigint,24,24,0,0,0
permissive-diagnostic,67108864,legacy,heldout-structural,warm,dense,24,24,0,0,0
permissive-diagnostic,67108864,legacy,heldout-structural,warm,words,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,calibration,cold,bigint,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,calibration,cold,dense,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,calibration,cold,words,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,calibration,warm,bigint,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,calibration,warm,dense,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,calibration,warm,words,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,heldout-structural,cold,bigint,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,heldout-structural,cold,dense,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,heldout-structural,cold,words,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,heldout-structural,warm,bigint,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,heldout-structural,warm,dense,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,candidate,heldout-structural,warm,words,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,calibration,cold,bigint,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,calibration,cold,dense,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,calibration,cold,words,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,calibration,warm,bigint,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,calibration,warm,dense,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,calibration,warm,words,36,36,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,heldout-structural,cold,bigint,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,heldout-structural,cold,dense,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,heldout-structural,cold,words,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,heldout-structural,warm,bigint,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,heldout-structural,warm,dense,24,24,0,0,0
production-balanced-v1-benchmark-remote,16777216,legacy,heldout-structural,warm,words,24,24,0,0,0
strict-diagnostic,4194304,candidate,calibration,cold,bigint,36,36,0,0,0
strict-diagnostic,4194304,candidate,calibration,cold,dense,36,30,6,0,6
strict-diagnostic,4194304,candidate,calibration,cold,words,36,36,0,0,0
strict-diagnostic,4194304,candidate,calibration,warm,bigint,36,36,0,0,0
strict-diagnostic,4194304,candidate,calibration,warm,dense,36,30,6,0,6
strict-diagnostic,4194304,candidate,calibration,warm,words,36,36,0,0,0
strict-diagnostic,4194304,candidate,heldout-structural,cold,bigint,24,24,0,0,0
