role,schedule,representation,window,rows,measured_comparable,statuses,legacy,candidate
calibration,cold,dense,preparation_compile_and_lower,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,materialization_dense_whole_call,1,1,"{""ok"": 1}","{""underestimates"": 1, ""max_peak_over_estimate"": 310.765625, ""median_peak_over_estimate"": 310.765625, ""max_estimate_over_peak"": 0.0032178591181054855, ""estimate_over_peak_distribution"": [0.0032178591181054855]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.5157935684647303, ""median_peak_over_estimate"": 0.5157935684647303, ""max_estimate_over_peak"": 1.9387601186585548, ""estimate_over_peak_distribution"": [1.9387601186585548]}"
calibration,cold,dense,evaluation_dense_ir_after_materialization,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,conversion_packed_to_uint8,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,serialization_dense_json,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,bigint,preparation_compile_and_lower,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,bigint,evaluation_packed_whole_call,1,1,"{""ok"": 1}","{""underestimates"": 1, ""max_peak_over_estimate"": 9.458333333333334, ""median_peak_over_estimate"": 9.458333333333334, ""max_estimate_over_peak"": 0.10572687224669602, ""estimate_over_peak_distribution"": [0.10572687224669602]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.03542262678803641, ""median_peak_over_estimate"": 0.03542262678803641, ""max_estimate_over_peak"": 28.230543318649044, ""estimate_over_peak_distribution"": [28.230543318649044]}"
calibration,cold,bigint,conversion_packed_to_uint8,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,bigint,serialization_dense_json,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,words,preparation_compile_and_lower,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,words,evaluation_packed_whole_call,1,1,"{""ok"": 1}","{""underestimates"": 1, ""max_peak_over_estimate"": 35.03819444444444, ""median_peak_over_estimate"": 35.03819444444444, ""max_estimate_over_peak"": 0.028540283420870085, ""estimate_over_peak_distribution"": [0.028540283420870085]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.12685103708359521, ""median_peak_over_estimate"": 0.12685103708359521, ""max_estimate_over_peak"": 7.883262312952136, ""estimate_over_peak_distribution"": [7.883262312952136]}"
calibration,cold,words,conversion_packed_to_uint8,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,words,serialization_dense_json,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
