role,schedule,representation,window,rows,measured_comparable,statuses,legacy,candidate
calibration,cold,dense,preparation_compile_and_lower,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,dense,evaluation_dense_ir,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,dense,materialization_dense_whole_call,1,1,"{""ok"": 1}","{""underestimates"": 1, ""max_peak_over_estimate"": 110.390625, ""median_peak_over_estimate"": 110.390625, ""max_estimate_over_peak"": 0.009058740268931352}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.18322095435684646, ""median_peak_over_estimate"": 0.18322095435684646, ""max_estimate_over_peak"": 5.45789101203114}"
calibration,cold,dense,conversion_packed_to_uint8,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,dense,serialization_dense_json,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,bigint,preparation_compile_and_lower,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,bigint,evaluation_packed_whole_call,1,1,"{""ok"": 1}","{""underestimates"": 1, ""max_peak_over_estimate"": 9.458333333333334, ""median_peak_over_estimate"": 9.458333333333334, ""max_estimate_over_peak"": 0.10572687224669602}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.03542262678803641, ""median_peak_over_estimate"": 0.03542262678803641, ""max_estimate_over_peak"": 28.230543318649044}"
calibration,cold,bigint,conversion_packed_to_uint8,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,bigint,serialization_dense_json,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,words,preparation_compile_and_lower,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,words,evaluation_packed_whole_call,1,1,"{""ok"": 1}","{""underestimates"": 1, ""max_peak_over_estimate"": 35.03819444444444, ""median_peak_over_estimate"": 35.03819444444444, ""max_estimate_over_peak"": 0.028540283420870085}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.12685103708359521, ""median_peak_over_estimate"": 0.12685103708359521, ""max_estimate_over_peak"": 7.883262312952136}"
calibration,cold,words,conversion_packed_to_uint8,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
calibration,cold,words,serialization_dense_json,1,0,"{""ok"": 1}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null}"
