role,schedule,representation,window,rows,measured_comparable,statuses,legacy,candidate
calibration,cold,dense,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,materialization_dense_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 306.609375, ""median_peak_over_estimate"": 206.236328125, ""max_estimate_over_peak"": 0.009437092195967117, ""estimate_over_peak_distribution"": [0.003261478876828212, 0.003262143840154952, 0.003262809074687739, 0.009435005344045996, 0.009435700858796211, 0.009437092195967117]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.5088952282157676, ""median_peak_over_estimate"": 0.4885721255244034, ""max_estimate_over_peak"": 2.1351421093375604, ""estimate_over_peak_distribution"": [1.9650410232889977, 1.9654416636933587, 1.9658424674993629, 2.1346699590904064, 2.1348273193026426, 2.1351421093375604]}"
calibration,cold,dense,evaluation_dense_ir_after_materialization,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,materialization_dense_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 105.953125, ""median_peak_over_estimate"": 71.396484375, ""max_estimate_over_peak"": 0.026904887020493956, ""estimate_over_peak_distribution"": [0.00943813596814629, 0.009454867779583395, 0.009477269361765142, 0.02682594571937546, 0.026859720910712412, 0.026904887020493956]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.17585580912863072, ""median_peak_over_estimate"": 0.16994570419064212, ""max_estimate_over_peak"": 6.087230688386757, ""estimate_over_peak_distribution"": [5.68647692080814, 5.696557837198996, 5.710054790463498, 6.0693702190086976, 6.077011856048683, 6.087230688386757]}"
calibration,warm,dense,evaluation_dense_ir_after_materialization,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,bigint,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,bigint,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 8.458333333333334, ""median_peak_over_estimate"": 5.492916666666667, ""max_estimate_over_peak"": 0.39564787339268054, ""estimate_over_peak_distribution"": [0.11822660098522167, 0.11822660098522167, 0.11822660098522167, 0.39564787339268054, 0.39564787339268054, 0.39564787339268054]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.03800751879699248, ""median_peak_over_estimate"": 0.03484251102398389, ""max_estimate_over_peak"": 31.56814449917898, ""estimate_over_peak_distribution"": [26.310583580613255, 26.310583580613255, 26.310583580613255, 31.56814449917898, 31.56814449917898, 31.56814449917898]}"
calibration,cold,bigint,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,bigint,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,bigint,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,bigint,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 4.222222222222222, ""median_peak_over_estimate"": 2.873611111111111, ""max_estimate_over_peak"": 0.6557377049180328, ""estimate_over_peak_distribution"": [0.23684210526315788, 0.23684210526315788, 0.23684210526315788, 0.6557377049180328, 0.6557377049180328, 0.6557377049180328]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.02293233082706767, ""median_peak_over_estimate"": 0.019372537325107304, ""max_estimate_over_peak"": 63.24013157894737, ""estimate_over_peak_distribution"": [43.60655737704918, 43.60655737704918, 43.60655737704918, 63.24013157894737, 63.24013157894737, 63.24013157894737]}"
calibration,warm,bigint,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,bigint,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,words,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,words,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 33.34375, ""median_peak_over_estimate"": 20.8284375, ""max_estimate_over_peak"": 0.12029170739042178, ""estimate_over_peak_distribution"": [0.02999062792877226, 0.02999062792877226, 0.02999062792877226, 0.12029170739042178, 0.12029170739042178, 0.12029170739042178]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.12229680029422582, ""median_peak_over_estimate"": 0.12150666538909909, ""max_estimate_over_peak"": 8.283869624075809, ""estimate_over_peak_distribution"": [8.17682880986392, 8.17682880986392, 8.17682880986392, 8.283869624075809, 8.283869624075809, 8.283869624075809]}"
calibration,cold,words,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,words,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,words,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,words,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 3, ""max_peak_over_estimate"": 1.8784722222222223, ""median_peak_over_estimate"": 1.1232986111111112, ""max_estimate_over_peak"": 2.716468590831919, ""estimate_over_peak_distribution"": [0.532347504621072, 0.532347504621072, 0.532347504621072, 2.716468590831919, 2.716468590831919, 2.716468590831919]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.006800754242614708, ""median_peak_over_estimate"": 0.006108174105492716, ""max_estimate_over_peak"": 184.65195246179965, ""estimate_over_peak_distribution"": [147.04251386321627, 147.04251386321627, 147.04251386321627, 184.65195246179965, 184.65195246179965, 184.65195246179965]}"
calibration,warm,words,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,words,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,dense,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,dense,materialization_dense_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 132.78125, ""median_peak_over_estimate"": 87.498046875, ""max_estimate_over_peak"": 0.023648960739030025, ""estimate_over_peak_distribution"": [0.007531183807954813, 0.007534730397927949, 0.007536504945831371, 0.023635860031391377, 0.02364022532089759, 0.023648960739030025]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.34942434210526313, ""median_peak_over_estimate"": 0.33889403423607567, ""max_estimate_over_peak"": 3.0448036951501156, ""estimate_over_peak_distribution"": [2.861849847022829, 2.863197551212621, 2.8638718794159206, 3.0431169790416397, 3.043679010065565, 3.0448036951501156]}"
heldout-structural,cold,dense,evaluation_dense_ir_after_materialization,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,dense,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
