role,schedule,representation,window,rows,measured_comparable,statuses,legacy,candidate
calibration,cold,dense,preparation_compile_and_lower,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,materialization_dense_whole_call,36,36,"{""ok"": 36}","{""underestimates"": 36, ""max_peak_over_estimate"": 306.640625, ""median_peak_over_estimate"": 20.387451171875, ""max_estimate_over_peak"": 0.8260562670162348, ""estimate_over_peak_distribution"": [0.0032611464968152868, 0.003261478876828212, 0.003262143840154952, 0.003559906552452998, 0.0035603026257231864, 0.003561887800534283, 0.00943430993182237, 0.009435005344045996, 0.00943778801843318, 0.010079533821560753, 0.01008112152476963, 0.010082709728239464, 0.011564871702204554, 0.011564871702204554, 0.011569052783803326, 0.03673938002296211, 0.03673938002296211, 0.03673938002296211, 0.07376724417390051, 0.07376724417390051, 0.07379382409108926, 0.07859541398829512, 0.07860748076074232, 0.07861351553653341, 0.20646592190739024, 0.20646722282430627, 0.20647632970176621, 0.2195069667738478, 0.21953049630185442, 0.2195540308747856, 0.29632978987967934, 0.29633782946647796, 0.29634586948952507, 0.826014620620116, 0.8260354432932516, 0.8260562670162348]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.5089470954356846, ""median_peak_over_estimate"": 0.27989089170382897, ""max_estimate_over_peak"": 17.92400529964232, ""estimate_over_peak_distribution"": [1.9648407643312102, 1.9650410232889977, 1.9654416636933587, 2.029146734898209, 2.029372496662216, 2.0302760463045413, 2.134512622074811, 2.1346699590904064, 2.1352995391705067, 2.1670997716355616, 2.1674411278254704, 2.167782591571485, 3.214695752009185, 3.214695752009185, 3.214695752009185, 3.2381640766172746, 3.2381640766172746, 3.2393347794649316, 3.982851018220793, 3.983277950477007, 3.9837049742710122, 4.551381334870151, 4.551381334870151, 4.553021294995136, 4.976686174805718, 4.977450246607941, 4.9778323704969, 12.277287622888831, 12.277597116136025, 12.277906624987397, 12.341581132764997, 12.341658895581824, 12.342203262739364, 17.9230327501933, 17.923519011724917, 17.92400529964232]}"
calibration,cold,dense,evaluation_dense_ir_after_materialization,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,conversion_packed_to_uint8,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,cold,dense,serialization_dense_json,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,preparation_compile_and_lower,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,materialization_dense_whole_call,36,36,"{""ok"": 36}","{""underestimates"": 36, ""max_peak_over_estimate"": 105.953125, ""median_peak_over_estimate"": 11.874755859375, ""max_estimate_over_peak"": 0.93001078503718, ""estimate_over_peak_distribution"": [0.00943813596814629, 0.009454867779583395, 0.009477269361765142, 0.00969403211148137, 0.009711684370257967, 0.009735320961362945, 0.018637157833430402, 0.019888129272840272, 0.019987507807620236, 0.026594639517972158, 0.026627834408154773, 0.026672223379870807, 0.02682594571937546, 0.026859720910712412, 0.026904887020493956, 0.05986903648269411, 0.06147934678194044, 0.06171648987463838, 0.13251374959560014, 0.13256521457699527, 0.13263389676834403, 0.16645669931320356, 0.16653791421020533, 0.16664632409780708, 0.23134544376275232, 0.23135524411339006, 0.2313683125392757, 0.3404255319148936, 0.34076539101497505, 0.34121959346884373, 0.3559901137999402, 0.3560133200784429, 0.35604426648991944, 0.9296413980935089, 0.9297996708472845, 0.93001078503718]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.19162946428571428, ""median_peak_over_estimate"": 0.1630864125715883, ""max_estimate_over_peak"": 21.534767231497227, ""estimate_over_peak_distribution"": [5.218404193360513, 5.238540692235734, 5.379442843419789, 5.400192864030858, 5.525598303544381, 5.535660091047041, 5.5491329479768785, 5.568676196395277, 5.596502186133667, 5.68647692080814, 5.696557837198996, 5.710054790463498, 5.717847496364014, 5.724984397753276, 5.734528026672223, 6.0693702190086976, 6.077011856048683, 6.087230688386757, 6.17686170212766, 6.183028286189684, 6.1912695768077315, 8.175994823681657, 8.179170172826721, 8.183407810374975, 10.540090218230585, 10.545232770888392, 10.552097318849425, 13.817521561507036, 13.819874013960616, 13.823011863540897, 13.828764270232488, 13.829350090020123, 13.830131260282291, 21.531491892772753, 21.53289548736168, 21.534767231497227]}"
calibration,warm,dense,evaluation_dense_ir_after_materialization,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,conversion_packed_to_uint8,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
calibration,warm,dense,serialization_dense_json,36,0,"{""ok"": 36}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
