n_vars,trial,expr_style,partial_output_mode,partial_reference_arrays_available_count,partial_reference_source,partial_correctness_reference,partial_context_count,partial_fixed_var_count_median,partial_fixed_var_fraction_median,partial_context_style,partial_unique_contexts,partial_repeated_contexts,partial_remaining_var_count_median,partial_context_overlap_ratio,partial_bitset_baseline_kind,partial_bitset_restricted_baseline_kinds,partial_bitset_full_recompute_total_s,partial_bitset_full_recompute_per_context_median_s,partial_bitset_ok_rate,partial_bitset_restricted_total_s,partial_bitset_restricted_per_context_median_s,partial_bitset_restricted_ok_rate,partial_cm_no_cache_total_s,partial_cm_no_cache_compile_total_s,partial_cm_no_cache_eval_total_s,partial_cm_no_cache_per_context_median_s,partial_cm_no_cache_live_vars_median,partial_cm_no_cache_live_vars_max,partial_cm_no_cache_ok_rate,partial_cm_cache_compile_once_s,partial_cm_cache_eval_contexts_total_s,partial_cm_cache_total_s,partial_cm_cache_per_context_median_s,partial_cm_cache_live_vars_median,partial_cm_cache_live_vars_max,partial_cm_cache_persistent_hits_total,partial_cm_cache_persistent_misses_total,partial_cm_cache_ok_rate,partial_robdd_backend,partial_robdd_build_once_s,partial_robdd_restrict_contexts_total_s,partial_robdd_total_s,partial_robdd_restrict_per_context_median_s,partial_robdd_nodes_base,partial_robdd_restricted_nodes_median,partial_robdd_ok_rate,partial_robdd_status,partial_robdd_error,partial_robdd_extract_total_s,partial_robdd_build_restrict_extract_total_s,speedup_cm_cache_vs_cm_no_cache,ratio_cm_cache_over_bitset_full_recompute,ratio_cm_cache_over_bitset_restricted,ratio_cm_cache_over_robdd_restrict,expr_depth_actual,expr_node_count,expr_leaf_count,expr_op_count,expr_unique_var_count,expr_vars_used,expr_vars_used_count,expr_vars_used_list,expr_uses_all_vars,expr_const_count,expr_not_count,expr_and_count,expr_or_count,expr_xor_count,expr_imp_count,expr_eqv_count,expr_simplified_const_if_available,expr_structural_hash_if_available,tt_true_count,tt_false_count,tt_density,tt_is_constant,tt_is_balancedish,expr_regeneration_attempts,expr_filter_reason
8,0,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,7.690000347793102e-05,7.599999662488699e-06,1.0,0.00029550003819167614,9.55001451075077e-06,1.0,0.004157000046689063,0.0032955000642687082,0.0006325999856926501,0.00038159999530762434,4.0,4.0,1.0,0.00048019998939707875,0.00033549987711012363,0.0009567999513819814,4.034998710267246e-05,4.0,4.0,8,24,1.0,auto,,,,,,,,disabled,,,,4.3446909050160185,12.442131444851839,3.237901278244008,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,8,5,2,0,0,False,f421934d2027ca27af17b286a2c3473f,134,122,0.5234375,False,True,0,
8,1,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,8.9599983766675e-05,9.949988452717662e-06,1.0,0.0002237000153400004,1.1000025551766157e-05,1.0,0.003353099978994578,0.00268950016470626,0.0004850998520851135,0.00039159998414106667,4.0,4.0,1.0,0.0004694999661296606,0.0004035000456497073,0.0010197999654337764,4.8649992095306516e-05,4.0,4.0,8,25,1.0,auto,,,,,,,,disabled,,,,3.2879977374467964,11.381698104872553,4.558783618694832,,6,33,16,17,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,2,1,0,6,7,1,False,38a9767a83abcd681fedec337c4b02b1,120,136,0.46875,False,True,0,
8,2,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,7.899996126070619e-05,9.000010322779417e-06,1.0,0.0002381000085733831,1.160003012046218e-05,1.0,0.0039524000021629035,0.0029802999342791736,0.0005767999682575464,0.00044109998270869255,4.0,4.0,1.0,0.0004925000248476863,0.00042489991756156087,0.0010653000208549201,4.789998638443649e-05,4.0,4.0,8,24,1.0,auto,,,,,,,,disabled,,,,3.7101285316703927,13.484817003129216,4.4741704430749385,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,4,2,3,2,4,False,30b71fc8caf012922dc5af17afc0f780,134,122,0.5234375,False,True,0,
8,3,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,8.719996549189091e-05,9.749986929818988e-06,1.0,0.00022360001457855105,1.1199968867003918e-05,1.0,0.004200200026389211,0.0033931000507436693,0.0005851999158039689,0.0004545999981928617,4.0,4.0,1.0,0.0004919999628327787,0.00039900006959214807,0.0010392999975010753,4.7600013203918934e-05,4.0,4.0,8,25,1.0,auto,,,,,,,,disabled,,,,4.0413740368404705,11.918582669596631,4.648031886133744,,6,33,16,17,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,2,3,2,4,6,0,False,d229775d4cab10486f73bf0e704beb2f,148,108,0.578125,False,True,0,
8,4,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,8.679996244609356e-05,9.700015652924776e-06,1.0,0.00022000004537403584,1.1599971912801266e-05,1.0,0.0035761999897658825,0.00274529994931072,0.0005858999211341143,0.0004163499688729644,4.0,4.0,1.0,0.0005563999875448644,0.0004184999270364642,0.0011440999805927277,4.994997289031744e-05,4.0,4.0,8,26,1.0,auto,,,,,,,,disabled,,,,3.1257757629828373,13.180881055141723,5.200453384668952,,6,34,16,18,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,3,2,3,2,4,4,False,de5666d1fe4b5d8ad4d6e70f6654f50a,88,168,0.34375,False,True,0,
8,5,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,7.989996811375022e-05,8.600007276982069e-06,1.0,0.00022550002904608846,1.1099997209385037e-05,1.0,0.0036480000126175582,0.0029618999687954783,0.0005060000694356859,0.000431050022598356,4.0,4.0,1.0,0.000499800022225827,0.00037459994200617075,0.001018500013742596,4.474999150261283e-05,4.0,4.0,8,24,1.0,auto,,,,,,,,disabled,,,,3.5817378138391582,12.747189239082052,4.51662919091878,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,3,4,5,2,1,False,40d6f505379eaea410614fe75fcc8e3b,180,76,0.703125,False,True,0,
8,6,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,8.690002141520381e-05,9.799987310543656e-06,1.0,0.00023020000662654638,1.1899974197149277e-05,1.0,0.0037462000036612153,0.002971000038087368,0.0005614999099634588,0.00039984998875297606,4.0,4.0,1.0,0.000514300016220659,0.00041069998405873775,0.0010800000163726509,4.8649992095306516e-05,4.0,4.0,8,24,1.0,auto,,,,,,,,disabled,,,,3.468703654508649,12.428075376557926,4.69157248168431,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,5,1,1,4,4,False,066866b726f2443084b93d69e65571c4,182,74,0.7109375,False,True,0,
8,7,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,0.00010400003520771861,1.1550000635907054e-05,1.0,0.0002731999848037958,1.2550008250400424e-05,1.0,0.004059099999722093,0.003309300052933395,0.000553899968508631,0.00044005000381730497,4.0,4.0,1.0,0.0005144000169821084,0.0004107999848201871,0.0010731000220403075,4.865002119913697e-05,4.0,4.0,8,27,1.0,auto,,,,,,,,disabled,,,,3.7825924111011027,10.318265949593302,3.9278919536213603,,6,35,16,19,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,4,2,2,4,3,4,False,5bcae3544c84b7a6a00e5d3ff7769e30,228,28,0.890625,False,False,0,
8,8,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,8.66000191308558e-05,9.25001222640276e-06,1.0,0.0003355999942868948,1.2100004823878407e-05,1.0,0.003577499999664724,0.002887000038754195,0.0005099999834783375,0.0003910000086762011,4.0,4.0,1.0,0.00046960002509877086,0.0003601000062189996,0.0009639000054448843,4.3249980080872774e-05,4.0,4.0,8,25,1.0,auto,,,,,,,,disabled,,,,3.711484572524245,11.130482592485299,2.87216931422494,,6,33,16,17,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,2,7,2,1,5,0,False,57360e158aa04dc3740cc2348c3fef32,246,10,0.9609375,False,False,0,
8,9,mixed_no_constants,remaining-vars,8,eval_expr_tt,eval_expr_tt,8,4.0,0.5,sliding_window,8,0,4.0,0.6,raw_ast_recursive,raw_ast_recursive,7.999996887519956e-05,9.150011464953423e-06,1.0,0.00025189999723806977,1.0849966201931238e-05,1.0,0.003415199986193329,0.002708100015297532,0.0005144000169821084,0.0003819999983534217,4.0,4.0,1.0,0.00045769999269396067,0.0003663998795673251,0.0009622999932616949,4.5049964683130383e-05,4.0,4.0,8,24,1.0,auto,,,,,,,,disabled,,,,3.548997204725714,12.028754595678516,3.8201667479663715,,6,32,16,16,8,x0;x1;x2;x3;x4;x5;x6;x7,8,x0;x1;x2;x3;x4;x5;x6;x7,True,0,1,3,3,4,0,5,False,4ee47534fe96c11d40e647afed625942,96,160,0.375,False,True,0,
