n_vars,trial,expr_style,family_tt_refs_available_count,family_tt_ref_source,family_correctness_reference,family_id,family_size,family_variant_style,family_base_expr_node_count,family_variant_expr_node_count_median,family_variant_expr_node_count_max,family_base_unique_var_count,family_variant_unique_var_count_median,family_pair_structural_similarity_estimate,family_variant_structural_hashes,family_base_structural_hash,family_shared_block_count,family_mutation_rate,family_expected_shared_structure_level,family_total_subtree_hashes,family_unique_subtree_hashes,family_reuse_ratio,family_repeated_subtree_hash_count,family_max_subtree_reuse_count,family_bitset_baseline_kind,family_bitset_total_time_s,family_bitset_per_variant_median_s,family_bitset_per_variant_mean_s,family_bitset_ok_rate,family_cm_no_cache_total_time_s,family_cm_no_cache_per_variant_median_s,family_cm_no_cache_per_variant_mean_s,family_cm_no_cache_compile_total_s,family_cm_no_cache_eval_total_s,family_cm_no_cache_ok_rate,family_cm_no_cache_materializations_total,family_cm_no_cache_live_vars_max_median,family_cm_cache_total_time_s,family_cm_cache_per_variant_median_s,family_cm_cache_compile_total_s,family_cm_cache_eval_total_s,family_cm_cache_ok_rate,family_cm_cache_persistent_hits_total,family_cm_cache_persistent_misses_total,family_cm_cache_cache_size_final,family_cm_cache_materializations_total,family_cm_cache_live_vars_max_median,family_robdd_backend,family_robdd_build_total_time_s,family_robdd_build_wall_time_s,family_robdd_build_per_variant_median_s,family_robdd_nodes_median,family_robdd_nodes_total_or_manager_if_shared,family_robdd_ok_rate,family_robdd_status,ratio_cm_cache_over_cm_no_cache,speedup_cm_cache_vs_cm_no_cache,ratio_cm_cache_over_bitset,ratio_cm_no_cache_over_bitset
8,0,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t0_seed20260826,8,composition_mix,49,59.0,121,8,8.0,0.8096054888507719,f0553eec0c5efacf62c5c403a8e17579;abcf5d0acb465bf65e330ad04edc3c18;2713447710cd03350a8b6ca2fa9e586e;1ef59847e34021409f5d850070996d14;907a93cc74eff8d26cf0315c8611efbc;113eccbf0a4bc8cb98310fcd64219980;20466231bbeae1c6081d265e31b90684;6877072961e2f449fd83c93895b95aa9,f0553eec0c5efacf62c5c403a8e17579,4,0.15,high,583,117,0.7993138936535163,44,49,raw_ast_recursive,0.00058230001013726,3.7299992982298136e-05,3.913749969797209e-05,1.0,0.010203499987255782,0.0010754500108305365,0.0012381749984342605,0.008557000022847205,0.0013431000406853855,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,17.522754266912358
8,1,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t1_seed20260826,8,composition_mix,51,61.5,145,8,8.0,0.8115015974440895,080eadc054194bc543c3d0091586af36;2b6ec0b3657e0e53e2ef83bf2458d177;96a3355d6e782375e8a542a762a2c9df;2527e8c9080976322d9a2dca6983c0b5;544f7b1759791f9077efc45436eaaef4;85aa22114796c0f0646eeb290c393ca8;f32635edaf302f2885c1454f2bd346e4;458cb3610fb16418edd633ab10aec93c,080eadc054194bc543c3d0091586af36,4,0.15,high,626,113,0.8194888178913738,56,41,raw_ast_recursive,0.00040259998058900237,2.7400004910305142e-05,2.9875023756176233e-05,1.0,0.006898800027556717,0.0008207999926526099,0.0008373499949811958,0.005860400036908686,0.0008353999583050609,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,17.13561937450617
8,2,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t2_seed20260826,8,composition_mix,53,61.5,111,8,8.0,0.8344594594594594,26a6b2bdcff88124207310e05179414f;f9cb2af3dd7eeae7923f093540b77457;caf2fe3d5b05fa29dbef8a07f8a74497;0dfca5ea2df24986889418e2a66468de;a29106ffb5ac10ef2b261d0ef18d61ac;831fcf32e1e46de1ccbb6b02b01c9905;caf2fe3d5b05fa29dbef8a07f8a74497;6e6cfe6c43fcc03297767fe25ce7bbff,26a6b2bdcff88124207310e05179414f,4,0.15,high,592,101,0.8293918918918919,57,41,raw_ast_recursive,0.0003781999694183469,2.9050017474219203e-05,2.8825001209042966e-05,1.0,0.007758499996270984,0.0008429000154137611,0.00093618749815505,0.006546200020238757,0.0009398999391123652,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,20.51427980865038
8,3,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t3_seed20260826,8,composition_mix,50,58.5,111,8,8.0,0.8162911611785095,588e740b465f841c9323a073333eac57;bf57925e6474d7aac87641596d3a7bea;e0550fb5e4cf787de34716a9ab91f26a;9d199ac8e70e6c6c918240292b21559c;b09b42295b04c0ba5a2e4fe12f9090bb;13651f5f436f489913c470eaf17d6870;842273ecf92bae0eaf5d46104f690eb6;50b15e122ebfa8a151c6fea388c591d1,588e740b465f841c9323a073333eac57,4,0.15,high,577,113,0.804159445407279,44,50,raw_ast_recursive,0.0003907000063918531,2.5899993488565087e-05,2.8325004677753896e-05,1.0,0.008187100000213832,0.0008264999778475612,0.000992550005321391,0.007003800070378929,0.0009337999508716166,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,20.9549523068156
8,4,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t4_seed20260826,8,composition_mix,49,58.0,109,8,8.0,0.8042328042328042,3ba7936306dad64a26048db0b3c50571;9f33faeb8cbf00b21608bd18c8e9610d;5acb51c53dbfdd63901ee16e6dd73188;6fa3b65cbaac827a212f1029c65be1e3;5d554c1536677616f57f796bdcd109d9;14fe5825251de1cd2d85f83a07a9af42;9206690c87517637cb75f447e4773252;222337978faf9c1db83adeb0084da088,3ba7936306dad64a26048db0b3c50571,4,0.15,high,567,125,0.7795414462081128,44,56,raw_ast_recursive,0.00047530001029372215,2.7000001864507794e-05,3.4949989640153944e-05,1.0,0.009820000035688281,0.0010820000024978071,0.0011894874987774529,0.008373499964363873,0.001138600055128336,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,20.660635015807795
8,5,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t5_seed20260826,8,composition_mix,51,60.0,111,8,8.0,0.8431703204047217,955518018c4639b9d7335cd12c9ea2c9;37b49880e16bdd9536b4d5e6d99b7314;5631dc5798c0630bf1a9eee2ad813c00;e0af40a88567d5db69856308160b67e5;7568f3030c917bcac2b26a3f685ddb20;bdb64d40bfa3774e8d5c0057d3d042aa;0df787b2c4c22d5caadc62ce8aa8c27e;d159d711f933edce65827761ab74c1e1,955518018c4639b9d7335cd12c9ea2c9,4,0.15,high,593,112,0.8111298482293423,45,53,raw_ast_recursive,0.0003209999995306134,2.3299973690882325e-05,2.39999862969853e-05,1.0,0.006452900008298457,0.0007803000044077635,0.0007832625051378272,0.005526499997358769,0.0007371000247076154,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,20.102492267085037
8,6,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t6_seed20260826,8,composition_mix,51,61.5,136,8,8.0,0.7938311688311688,7bc166fc10231e54c8222dbb8e0c0fc2;cf818694221d3bf1a9f47958d6dd371c;655207fd6e18574131af2b1a58b247e6;56039de7a8332ac99253f80f05e41103;ee79240aa059f752b657deda6008e6bb;df192823a38f849e438bbaa230a15155;32a8472552bbd28bb1a9332ef6f77195;3e38bbf23a715cd318571c0d4d2b1e87,7bc166fc10231e54c8222dbb8e0c0fc2,4,0.15,high,616,121,0.8035714285714286,53,43,raw_ast_recursive,0.0003228000132367015,2.2249965695664287e-05,2.3200002033263445e-05,1.0,0.009482399967964739,0.0008625999907962978,0.0011572375078685582,0.008474899979773909,0.0007795000565238297,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,29.375463380206007
8,7,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t7_seed20260826,8,composition_mix,52,60.5,94,8,8.0,0.8522522522522522,1126d06bba12ead839ab11a4f12706d8;b54f823dad63ef3712f66ffca9994a46;3d087c6a0cf5657474a963269f7f616e;3a59f9b4ac7866163e2b0c697100171f;ceeee2be2554bfc7079f82ac5c323666;40884fa194d41b9f893be3a4df14fa61;ab055c2c34bcb6203403193aea276b7f;40f26fdf562b44d93ef576737f270901,1126d06bba12ead839ab11a4f12706d8,4,0.15,high,555,103,0.8144144144144144,44,45,raw_ast_recursive,0.0003002999583259225,2.0849984139204025e-05,2.1387495507951826e-05,1.0,0.006290299992542714,0.0007712999940849841,0.0007620749966008589,0.0053851999109610915,0.0007084000972099602,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,20.946722828764784
8,8,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t8_seed20260826,8,composition_mix,50,62.0,125,8,8.0,0.8308457711442786,83527b80c3a3e1fe2b7983ce7bca0080;c5a1dabbf33a6113eaf33d33d77ab529;7ca3507b5fd6eb501314f372353a5f04;a2d5802122151c836d804742acffb20f;f44cff89a5fef9d564fa3155fc80e173;4bf0589cb4d954401f6573a884ad0bbe;c2084b6b4cfec295438a9eaf4f2dc41d;a278b153927a453b46178be7ae92f4c7,83527b80c3a3e1fe2b7983ce7bca0080,4,0.15,high,603,100,0.8341625207296849,44,56,raw_ast_recursive,0.0005032999906688929,2.2800028091296554e-05,2.2837506548967212e-05,1.0,0.0064362999983131886,0.0007790999952703714,0.0007808874943293631,0.005497100064530969,0.0007476998725906014,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,12.788198127640047
8,9,mixed_no_constants,8,eval_expr_tt,eval_expr_tt,family_n8_t9_seed20260826,8,composition_mix,51,60.5,132,8,8.0,0.7941653160453809,2f50f466f7a9eb9558a2670bd8418042;b2729cc971394d447c92b095237c440f;17a58d9d3181e22e90767bd80c432c61;60fb07d57271b0ac660d2fa9fc2a2728;f2e4cbfb172c1d2c9045dfc772a8177f;72667a2ff547948d0033766b718c2cd6;ea876ebe10f4ee4cdd4ed9b74c6c0b02;a2068e31bd2c6a7875019706588967b4,2f50f466f7a9eb9558a2670bd8418042,4,0.15,high,617,124,0.7990275526742301,50,48,raw_ast_recursive,0.00031939998734742403,2.2149994038045406e-05,2.3562490241602063e-05,1.0,0.006561000016517937,0.0007590499881189317,0.000794687497545965,0.005523199972230941,0.0008310999837704003,1.0,0.0,0.0,,,,,,,,,,,auto,,,,,,,skipped,,,,20.54164144152353
