live_k,family,production_wrapper_refused,production_refusal_reason,output_bytes,raw_flat_temporary_bytes,raw_words_temporary_bytes,cm_flat_temporary_bytes,cm_words_temporary_bytes,max_estimated_temporary_bytes,estimate_cap_bytes,rss_cap_bytes,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,packed_sha256,packed_equal_all_arms,peak_rss_bytes,status,pass,wall_seconds
17,and,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,360448,294912,294912,540672,67108864,536870912,55700.0,61500.0,42200.0,46000.0,4b2ac7136e1d84ff4d4036c4e1e443d28aaaab99a96e54763e137cfc79e34f0f,True,36347904,ok,True,0.30941009998787194
17,or,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,360448,294912,294912,540672,67108864,536870912,45200.0,61600.0,42800.0,45000.0,0002216f8f5294ad6d0f94c566d1e30504474777f31d4503fffd0b5f47290bb5,True,36425728,ok,True,0.31418799998937175
17,xor,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,360448,294912,294912,540672,67108864,536870912,50500.0,62600.0,43200.0,45100.0,45085e784d57c62173bf71de9909fc30bfd6305ebce37534d2b9fa1fbce437b6,True,36311040,ok,True,0.31286959996214136
17,imp,True,refusing to materialize full no-reinflate output for 17 variables; max_output_vars=16,16384,540672,311296,540672,311296,540672,67108864,536870912,795100.0,202600.0,536900.0,167600.0,abda378604d0226d0c58ba6c552af66249642678af10422f65a8daba5621da2f,True,36323328,ok,True,0.38044719997560605
18,and,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,753664,622592,622592,1146880,67108864,536870912,100100.0,118100.0,98700.0,96300.0,6393e88c1987ac79b59b22c66c817085bcba16827ecec55317f90ca54800dabd,True,38801408,ok,True,0.4727169999969192
18,or,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,753664,622592,622592,1146880,67108864,536870912,96600.0,103200.0,84500.0,86100.0,f57bca61b76b13e9ee38befec8d258ce1dcc14dbd887f49cb61dab62dbd185b7,True,38416384,ok,True,0.40953150001587346
18,xor,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,753664,622592,622592,1146880,67108864,536870912,83700.0,103000.0,90100.0,90500.0,53b8d29a4ee95872a67e637e1713bbd1ade74a5d3db11c1162e334bda1500306,True,38395904,ok,True,0.4286288999719545
18,imp,True,refusing to materialize full no-reinflate output for 18 variables; max_output_vars=16,32768,1146880,655360,1146880,655360,1146880,67108864,536870912,708200.0,132500.0,725200.0,147100.0,9f71b79bcd1864c36f9c3b1265f26a1f053666571ddc7e99eafe58de624b568e,True,38408192,ok,True,0.5459847999736667
19,and,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1572864,1310720,1310720,2424832,67108864,536870912,504000.0,228100.0,182200.0,222600.0,abcca8b6519f82b44cc8fe0cc09c3a3796655683ade40b00b218995f82e73236,True,42934272,ok,True,0.4087178999907337
19,or,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1572864,1310720,1310720,2424832,67108864,536870912,709300.0,267200.0,218000.0,213800.0,c67cd4e4fe3a446197ea427ab053b013d70ae71cf7e82b977c8378a2f199783c,True,42917888,ok,True,0.38197579997358844
19,xor,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1572864,1310720,1310720,2424832,67108864,536870912,454000.0,177500.0,167400.0,164500.0,9107be4998719734beb7fd38ae36834be0f33a14b4bb87147e5f26a0db0d77fb,True,42934272,ok,True,0.3591530999983661
19,imp,True,refusing to materialize full no-reinflate output for 19 variables; max_output_vars=16,65536,2424832,1376256,2424832,1376256,2424832,67108864,536870912,1171900.0,239800.0,1414400.0,228100.0,e32b789b37cd9dc00b3fa0e43ac56b5d2989a91721a793a0122383b092010c2b,True,42938368,ok,True,0.3662766999914311
20,and,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,3276800,2752512,2752512,5111808,67108864,536870912,1134400.0,344400.0,322900.0,285900.0,776cd4c62d5bea99bc414869e3621e88c33ce2de920ac16e530439e5f306d7f0,True,50524160,ok,True,0.40284059999976307
20,or,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,3276800,2752512,2752512,5111808,67108864,536870912,1164300.0,416500.0,336200.0,320900.0,eb93cc25314cf73283c1292cc6dbd700c1234f8420492652c692db157198962f,True,50536448,ok,True,0.4184761000215076
20,xor,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,3276800,2752512,2752512,5111808,67108864,536870912,1250400.0,389900.0,353000.0,317400.0,dd05898e6ba2f9419ad0e3f4330a31beeb704d4bbec989d2e794b8f305fbce1e,True,50536448,ok,True,0.46832839999115095
20,imp,True,refusing to materialize full no-reinflate output for 20 variables; max_output_vars=16,131072,5111808,2883584,5111808,2883584,5111808,67108864,536870912,3563800.0,572500.0,3674900.0,648200.0,a1dc01908673a33ef03d83415279ae9f0573e9fde4f02fec6ca3e9c8a42b9c10,True,50520064,ok,True,0.4572901999927126
