corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,192,37250.0,19920.0,61190.0,0.10945389218776735
b2,ir_canonicalize_ns,192,18849.968910217285,4310.026997700334,46800.05367845297,0.06313265366584958
b2,ir_rewrite_ns,192,30299.881473183632,14330.05090802908,73160.02156585456,0.08985806139235167
b2,ir_intern_ns,192,76700.06016269326,37240.10311998427,135460.08267439902,0.22038805498932362
b2,ir_live_vars_ns,192,43850.071961060166,17209.90985631943,96629.92088124157,0.12652147336183817
b2,lower_cm_ns_median,192,39400.0,20310.0,62190.0,0.1192984800352872
b2,wrapper_current_ns_median,192,24800.0,18800.0,74440.0,
b2,end_to_end_current_ns_median,192,380200.0,205550.0,750920.0,
bx1,hash_ns_median,80,31650.0,10980.0,64020.00000000003,0.12147789739336226
bx1,ir_canonicalize_ns,80,12700.00939257443,3360.025584697724,34390.15126787127,0.054823770806848686
bx1,ir_rewrite_ns,80,21650.019334629178,5490.041803568602,43829.8215158284,0.0760458262659591
bx1,ir_intern_ns,80,62150.00757947564,20350.02689808607,121600.09937360886,0.23171441409763416
bx1,ir_live_vars_ns,80,31399.97716061771,7309.997454285622,72440.13831950731,0.11332527238220746
bx1,lower_cm_ns_median,80,33350.0,14070.0,62310.0,0.1341123346734254
bx1,wrapper_current_ns_median,80,27000.0,17880.0,67790.00000000004,
bx1,end_to_end_current_ns_median,80,328450.0,109560.0,602740.0000000002,
epfl,hash_ns_median,129,78900.0,34620.0,514680.00000000006,0.10099495706692109
epfl,ir_canonicalize_ns,129,52300.1654073596,19000.074826180935,422119.7217702867,0.07217442718341442
epfl,ir_rewrite_ns,129,66300.09738728404,25940.02289697528,506479.8053354025,0.0873817002361422
epfl,ir_intern_ns,129,186899.8515419662,84939.79694321752,1246819.5753172045,0.25064589794240666
epfl,ir_live_vars_ns,129,88299.74103718996,28839.940205216408,804620.2943660321,0.11693228943174823
epfl,lower_cm_ns_median,129,84100.0,38140.0,556960.0000000002,0.11395312879641287
epfl,wrapper_current_ns_median,129,44700.0,22280.0,199560.0000000001,
epfl,end_to_end_current_ns_median,129,769800.0,353780.0,4773800.000000002,
