corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,4000.0,800.0,1,3,2,1,1,3,2,11900.0,11800.0,15700.0,95,84500.0,77600.00880807638,0.0,7199.996616691351,16300.007700920105,5999.987479299307,25500.0,12200.0,ok,1923.0,2088.0,1980.0,2210.0,37900.0,159600.0,1.0858034321372856,1.1161616161616161,19.141414141414142,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k2-2-b518dd4ce7ff,469422568421749975,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,,andor_dom,2,4,5,3,2100.0,400.0,1,1,1,1,2,2,2,14000.0,15700.0,13800.0,119,120700.0,115200.00407472253,6299.989763647318,16100.006178021431,13599.928934127092,4000.03045797348,13300.0,14500.0,ok,1986.0,2176.0,2018.0,2174.0,22700.0,107700.0,1.095669687814703,1.0773042616451933,11.248761149653122,67586e98fad27da0b9968bc039a1ef34c939b9b8e523a8bef89d478608c5ecf6,semantic_live_support,True,1,0,5,0,0,8388608,100,5,b518dd4ce7fff267e46efc2771ac579d
bx1,tuning,bx1-k2-3-95c6829453f6,452964046958912957,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,,andor_dom,2,3,3,3,2400.0,500.0,1,1,1,1,1,1,1,9500.0,6800.0,10400.0,95,60900.0,57500.030379742384,3400.025889277458,3200.024366378784,12699.980288743973,3399.9676816165447,14900.0,8700.0,ok,1743.0,1958.0,2167.0,2152.0,30600.0,116000.0,1.123350545037292,0.9930779880018459,14.120904476234426,beead77994cf573341ec17b58bbf7eb34d2711c993c1d976b128b3188dc1829a,semantic_live_support,True,1,0,3,0,0,8388608,100,5,95c6829453f64683b84b443462b96527
bx1,tuning,bx1-k2-4-32783dec984f,5318592467202692467,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,,mixed,2,3,3,3,2500.0,500.0,1,3,2,1,1,3,2,9300.0,7700.0,19800.0,95,109900.0,104100.03596916795,0.0,2600.019797682762,27200.032491236925,6499.991286545992,13300.0,10400.0,ok,1713.0,1853.0,1775.0,1329.0,19100.0,74300.0,1.0817279626386456,0.7487323943661972,10.76056338028169,e7cf46a078fed4fafd0b5e3aff144802b853f8ae459a4f0c14add3314b7cc3a6,semantic_live_support,True,1,0,3,0,0,8388608,100,5,32783dec984fbaffc95cf27946092cdd
bx1,tuning,bx1-k2-5-fc111ecef3a9,8616361440898826637,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,,impeqv_dom,2,11,31,3,1700.0,300.0,1,1,1,1,15,39,27,19400.0,23300.0,17300.0,295,161200.0,156500.02751499414,4499.976057559252,15600.118786096573,29599.934350699186,9000.06853044033,10600.0,40800.0,ok,4185.0,4295.0,2051.0,2149.0,25400.0,201400.0,1.026284348864994,1.0477815699658704,12.384202827888835,4d7b3ef7300acf70c892d8327db8272f54434adbc61a4e130a563cb59a0d0f47,semantic_live_support,True,1,0,31,0,0,8388608,100,5,fc111ecef3a9fea0fb4436cc12779e92
bx1,tuning,bx1-k2-6-7d06ed9915a2,4522821221123432492,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,,xor_dom,2,10,25,6,4700.0,500.0,4,6,6,4,12,12,12,32500.0,28400.0,20100.0,270,266900.0,262300.0182211399,24000.124540179968,36599.92944449186,44300.046283751726,20000.035874545574,23900.0,43200.0,ok,4890.0,4925.0,3161.0,3274.0,73100.0,308500.0,1.007157464212679,1.035748180955394,23.125593166719394,e52d9c508c502347344d8c07ad91cbd6068afc75ff6292f062a09ca381c89e71,semantic_live_support,True,1,0,25,0,0,8388608,100,5,7d06ed9915a2307d619a02bbecd15e57
bx1,tuning,bx1-k2-7-1ac6b3fc16a4,6260423800473009968,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,andor_dom,2,5,6,4,2500.0,300.0,2,3,2,2,3,4,3,12200.0,12500.0,12300.0,137,99100.0,95599.9712459743,6699.934601783752,5500.041879713535,20799.983758479357,6299.989763647318,19000.0,11400.0,ok,2335.0,2495.0,2337.0,2518.0,19000.0,98000.0,1.068522483940043,1.0774497218656398,8.130081300813009,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,6,0,0,8388608,100,5,1ac6b3fc16a4f65ccac07328e95bf0b3
bx1,tuning,bx1-k2-8-7cec1b883a82,4008937263292170230,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,,xor_dom,2,12,31,8,3100.0,300.0,6,11,8,3,16,24,19,17800.0,21500.0,14800.0,310,187100.0,183099.99722987413,12700.038496404886,23699.947632849216,36700.10482892394,13399.927411228418,18800.0,27700.0,ok,4343.0,3935.0,2348.0,2450.0,18000.0,276200.0,0.9060557218512549,1.0434412265758093,7.666098807495741,ca358758f6d27e6cf45272937977a748fd88391db679ceda7dc7bf1f005ee879,semantic_live_support,True,1,0,31,0,0,8388608,100,5,7cec1b883a82113d6050c89326721bc9
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,3100.0,500.0,2,4,3,2,3,4,3,11000.0,10200.0,20500.0,158,106300.0,101099.95491802692,7199.996616691351,5400.041118264198,23399.82893317938,7699.9422162771225,16600.0,13100.0,ok,1362.0,1472.0,1413.0,1502.0,17900.0,109200.0,1.080763582966226,1.0629865534324132,12.668082094833688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k3-2-c073c4cae16c,2140984543467918017,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,,impeqv_dom,3,16,56,16,5900.0,200.0,13,32,22,6,28,59,43,25700.0,28900.0,17600.0,412,218000.0,213799.99816417694,6099.988240748644,14899.997040629387,51699.98621568084,29799.93587359786,33400.0,51900.0,ok,6172.0,6250.0,3812.0,3863.0,17700.0,254500.0,1.0126377187297473,1.0133788037775446,4.643231899265477,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a,semantic_live_support,True,1,0,56,0,0,8388608,100,5,c073c4cae16c20ea16679fb56d345d47
