arm,role,policy,words_auto_min_vars,is_current_policy,n,refused_or_ineligible_count,cluster_count,regret_geomean,regret_geomean_cluster_bootstrap_ci95_low,regret_geomean_cluster_bootstrap_ci95_high,regret_median,regret_p90,regret_max,catastrophic_ge_2_count,catastrophic_ge_2_rate
raw,tuning,threshold_k6,6,False,80,0,4,2.086006919324234,1.8405300648827316,2.1685000355188513,1.5578566246696548,5.215466039583829,7.482261243504748,39,0.4875
raw,tuning,threshold_k7,7,False,80,0,4,1.7614288621766987,1.5023770342517313,1.8648831712313025,1.0,4.867397954485336,5.848686398403725,31,0.3875
raw,tuning,threshold_k8,8,False,80,0,4,1.4996627317521356,1.254430244538015,1.6008980470683203,1.0,4.264998912295845,5.782823484704541,23,0.2875
raw,tuning,threshold_k9,9,False,80,0,4,1.28721092396264,1.1071619221643638,1.3535134487482072,1.0,3.8863190895622077,5.161866569449508,15,0.1875
raw,tuning,threshold_k10,10,False,80,0,4,1.28721092396264,1.1071619221643638,1.3535134487482072,1.0,3.8863190895622077,5.161866569449508,15,0.1875
raw,tuning,threshold_k11,11,False,80,0,4,1.1129498506147668,1.03454691306181,1.1554438425519065,1.0,1.5243482872600655,4.1203770848440895,7,0.0875
raw,tuning,threshold_k12,12,False,80,0,4,1.1129498506147668,1.03454691306181,1.1554438425519065,1.0,1.5243482872600655,4.1203770848440895,7,0.0875
raw,tuning,threshold_k13,13,False,80,0,4,1.0106827568906538,1.0,1.0209975436657415,1.0,1.0,1.5997420464316423,0,0.0
raw,tuning,threshold_k14,14,False,80,0,4,1.0106827568906538,1.0,1.0209975436657415,1.0,1.0,1.5997420464316423,0,0.0
raw,tuning,threshold_k15,15,False,80,0,4,1.0106827568906538,1.0,1.0209975436657415,1.0,1.0,1.5997420464316423,0,0.0
raw,tuning,threshold_k16,16,True,80,0,4,1.0106827568906538,1.0,1.0209975436657415,1.0,1.0,1.5997420464316423,0,0.0
raw,validation_reused,threshold_k6,6,False,307,14,23,2.74944002618549,2.5415698275170286,3.0384124351392976,3.77678840929671,5.774095274401715,8.29628513299676,204,0.6644951140065146
raw,validation_reused,threshold_k7,7,False,307,14,23,2.296022055483706,2.0701334422641104,2.7680591554236154,2.743960396039604,5.181429409158399,7.189898284367224,172,0.5602605863192183
raw,validation_reused,threshold_k8,8,False,307,14,23,2.296022055483706,2.063159386712533,2.7734224529535196,2.743960396039604,5.181429409158399,7.189898284367224,172,0.5602605863192183
raw,validation_reused,threshold_k9,9,False,307,14,23,1.5808698559226275,1.4504038325505444,1.7535141138089732,1.0,4.174374023555473,6.007988885029524,99,0.32247557003257327
raw,validation_reused,threshold_k10,10,False,307,14,23,1.5425174601018572,1.4252705230086185,1.671086517237065,1.0,4.075726132773057,6.007988885029524,94,0.30618892508143325
raw,validation_reused,threshold_k11,11,False,307,14,23,1.2244180619295835,1.1575959186456999,1.320279102246414,1.0,2.6390877673510573,3.919261822376009,46,0.1498371335504886
raw,validation_reused,threshold_k12,12,False,307,14,23,1.1721143604472932,1.1094444823189062,1.2324010194684332,1.0,2.1468736395727177,3.919261822376009,35,0.11400651465798045
raw,validation_reused,threshold_k13,13,False,307,14,23,1.0201297906985374,1.0085860819919252,1.035453507310003,1.0,1.0,1.66677535050538,0,0.0
raw,validation_reused,threshold_k14,14,False,307,14,23,1.0124343531284505,1.0028264273188257,1.0219167332447479,1.0,1.0,1.6574770258980784,0,0.0
raw,validation_reused,threshold_k15,15,False,307,14,23,1.0098202685176934,1.0003515322499485,1.0191655245332176,1.0,1.0,1.6574770258980784,0,0.0
raw,validation_reused,threshold_k16,16,True,307,14,23,1.0122047018365565,1.002810058214845,1.0215053686676112,1.0,1.0,1.6574770258980784,0,0.0
cm,tuning,threshold_k6,6,False,80,0,4,1.914910721110327,1.685879877786987,2.043522557576398,1.441682648363067,4.477858750249247,6.175346909353037,39,0.4875
cm,tuning,threshold_k7,7,False,80,0,4,1.634478864394271,1.4300192386199897,1.73513734367623,1.0,4.069786779483542,4.5323897659227,31,0.3875
cm,tuning,threshold_k8,8,False,80,0,4,1.4249508009331866,1.2248135798255324,1.5022270836425007,1.0,3.563852678292695,4.477178423236515,23,0.2875
cm,tuning,threshold_k9,9,False,80,0,4,1.2451139663317528,1.0893547007704358,1.32551140479642,1.0,3.1351092602493535,4.15218878248974,15,0.1875
cm,tuning,threshold_k10,10,False,80,0,4,1.2451139663317528,1.0893547007704358,1.3254418613276375,1.0,3.1351092602493535,4.15218878248974,15,0.1875
cm,tuning,threshold_k11,11,False,80,0,4,1.0955287819822728,1.0239774432120798,1.1204735077599355,1.0,1.3568090654137739,3.127425614489004,7,0.0875
