corpus,field,n,median_ns,p10_ns,p90_ns,median_fraction_of_compile
b2,hash_ns_median,6,24300.0,19800.0,40250.0,0.09704437353982905
b2,ir_canonicalize_ns,6,19549.886928871274,9099.95287656784,27950.038202106953,0.06553779458601022
b2,ir_rewrite_ns,6,34549.88473095,16150.035662576556,50200.120313093066,0.11412749546256001
b2,ir_intern_ns,6,59650.075854733586,33550.02263560891,91449.8814381659,0.21417484798564362
b2,ir_live_vars_ns,6,30449.911719188094,14099.99094903469,53249.99801814556,0.1084755635744738
b2,lower_cm_ns_median,6,30050.0,19700.0,43350.0,0.10046669552059534
b2,wrapper_current_ns_median,6,19550.0,18800.0,43950.0,
b2,end_to_end_current_ns_median,6,289350.0,184100.0,467800.0,
bx1,hash_ns_median,10,26400.0,9250.0,38220.0,0.12524657569281988
bx1,ir_canonicalize_ns,10,10350.049706175923,4950.037691742182,22779.99883517623,0.05846135788710016
bx1,ir_rewrite_ns,10,12450.094800442457,4239.979898557067,24010.04894636571,0.07281934719244038
bx1,ir_intern_ns,10,37999.998312443495,15930.068911984563,76700.08926652372,0.2326253897265218
bx1,ir_live_vars_ns,10,17499.958630651236,4569.982411339879,39500.11450797319,0.10192946605590211
bx1,lower_cm_ns_median,10,20850.0,16040.0,37410.0,0.12362039955725504
bx1,wrapper_current_ns_median,10,20250.0,16830.0,38439.99999999997,
bx1,end_to_end_current_ns_median,10,176500.0,121560.0,654670.0,
epfl,hash_ns_median,9,86800.0,62640.0,239900.00000000003,0.11240673260454624
epfl,ir_canonicalize_ns,9,43399.80660006404,32919.90142315626,153799.96038973334,0.05747905740168699
epfl,ir_rewrite_ns,9,62899.955082684755,42379.857040941715,164619.74009871483,0.07365605757174526
epfl,ir_intern_ns,9,192200.0665217638,145939.86561521888,472599.9315269292,0.2478741648964925
epfl,ir_live_vars_ns,9,75800.22793263197,58019.96449008584,233520.20652964714,0.10872598501422812
epfl,lower_cm_ns_median,9,98700.0,64320.0,241560.00000000006,0.12171052631578948
epfl,wrapper_current_ns_median,9,64900.0,29080.0,165260.00000000003,
epfl,end_to_end_current_ns_median,9,771200.0,501240.0,2241220.0000000005,
