corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
bx1,tuning,bx1-k2-1-54f10b4162e0,8461079743465329282,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,,andor_dom,2,3,3,3,2700.0,500.0,1,3,2,1,1,3,2,7900.0,7700.0,10700.0,95,50000.0,46100.00178217888,0.0,4299.974534660578,10800.082236528397,3400.025889277458,14600.0,8000.0,ok,1040.0,1132.0,1056.0,1132.0,21600.0,64500.0,1.0884615384615384,1.071969696969697,20.454545454545453,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9,semantic_live_support,True,1,0,3,0,0,8388608,100,5,54f10b4162e03f461c68c6c8f768e35b
bx1,tuning,bx1-k3-1-6189f2994067,5966868217106501688,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,,andor_dom,3,6,6,5,3600.0,400.0,2,4,3,2,3,4,3,9400.0,8400.0,9200.0,158,71700.0,69100.00229254365,5699.926987290382,3700.028173625469,16500.067431479692,4699.977580457926,17700.0,13900.0,ok,1514.0,1606.0,1254.0,1324.0,29400.0,131800.0,1.0607661822985468,1.0558213716108453,23.444976076555022,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731,semantic_live_support,True,1,0,6,0,0,8388608,100,5,6189f29940672a4e1c71b4b746175557
bx1,tuning,bx1-k4-1-3d5e8d379589,2912613150875055739,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,,andor_dom,4,9,11,9,4700.0,300.0,5,11,8,4,5,11,8,25700.0,17400.0,15000.0,232,141900.0,138299.94713887572,5500.041879713535,12400.094419717789,33499.8476319015,14499.935787171125,23000.0,15300.0,ok,1850.0,1936.0,2115.0,2208.0,19100.0,156500.0,1.0464864864864865,1.0439716312056737,9.030732860520095,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec,semantic_live_support,True,2,0,22,0,0,8388608,100,5,3d5e8d3795898edaa2d1f391c12bd94e
bx1,tuning,bx1-k5-1-034e0f291fe2,1828508922621870129,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,,andor_dom,5,9,9,9,2600.0,200.0,4,4,4,3,4,4,4,14400.0,11700.0,10700.0,225,104200.0,101399.95720237494,6299.989763647318,5900.044925510883,24499.953724443913,9900.01717582345,17300.0,9600.0,ok,1607.0,1683.0,1976.0,2075.0,15300.0,127900.0,1.047293092719353,1.0501012145748987,7.742914979757085,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33,semantic_live_support,True,4,0,36,0,0,8388608,100,5,034e0f291fe2129ff5c840daf6a5e9e9
bx1,tuning,bx1-k6-1-ac26b8df9ebe,51376053804700149,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,,andor_dom,6,12,13,10,3200.0,300.0,4,10,8,3,6,10,8,16000.0,16400.0,26900.0,298,159400.0,156000.02370774746,9000.06853044033,9300.070814788342,38100.057281553745,18199.963960796595,18700.0,12500.0,ok,2294.0,10866.0,2252.0,11318.0,18000.0,168200.0,4.736704446381866,5.025754884547069,7.992895204262878,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464,semantic_live_support,True,8,48,104,24,24,8388608,100,5,ac26b8df9ebe5cfd73a7e131c1fb6168
bx1,tuning,bx1-k7-1-5ff39721fc88,7631648143058458772,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,,andor_dom,7,14,15,9,2700.0,300.0,2,6,6,2,7,7,7,31800.0,19100.0,14300.0,340,171200.0,167599.99562054873,13800.105080008507,12500.095181167126,37899.939343333244,16799.953300505877,16200.0,13100.0,ok,2146.0,9417.0,1807.0,7010.0,17000.0,184800.0,4.388164026095061,3.8793580520199225,9.407858328721638,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48,semantic_live_support,True,16,112,240,64,32,8388608,100,5,5ff39721fc88b1a8a5a24f7bc6cbba34
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,1130776419271888585,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,,andor_dom,8,18,20,17,4900.0,200.0,9,11,10,4,10,11,10,27100.0,22400.0,18500.0,434,256700.0,251199.9919079244,18299.96472224593,22100.05186498165,54700.125474482775,26099.90769997239,30100.0,17900.0,ok,2724.0,12741.0,3479.0,12453.0,19800.0,256700.0,4.677312775330397,3.579476861167002,5.691290600747341,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30,semantic_live_support,True,32,256,640,96,128,8388608,100,5,4e47cb5cd5b69bcfd719d4ac6068c6c8
bx1,tuning,bx1-k10-1-ce8ba79b76b0,7420669341356717624,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,,mixed,10,21,22,20,5700.0,300.0,10,20,15,3,11,20,15,30600.0,28800.0,19700.0,500,256300.0,251499.99419227242,11700.030881911516,20099.920220673084,61100.057791918516,31500.007025897503,33300.0,18800.0,ok,4190.0,15720.0,4584.0,15268.0,20700.0,274200.0,3.7517899761336517,3.330715532286213,4.515706806282722,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b,semantic_live_support,True,128,1280,2816,384,384,8388608,50,5,ce8ba79b76b0ba54ca0b1db699d85b79
bx1,tuning,bx1-k12-1-dcaeee786843,5272243526725519305,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,,andor_dom,12,27,29,23,6400.0,300.0,11,19,16,5,15,19,16,37100.0,36300.0,22900.0,635,316700.0,311300.04208534956,22399.99594166875,23000.058718025684,74800.10390281677,37700.11244341731,36500.0,22900.0,ok,7975.0,21500.0,7840.0,18430.0,25300.0,649400.0,2.695924764890282,2.350765306122449,3.2270408163265305,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958,semantic_live_support,True,512,6144,14848,2560,2560,8388608,20,5,dcaeee786843d10664d1d9075a3d551d
bx1,tuning,bx1-k16-1-00faa20cf21f,118518869172703822,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,,andor_dom,16,33,34,30,8300.0,300.0,14,22,19,4,17,22,19,48300.0,42800.0,27600.0,777,492100.0,486600.0381298363,26200.024876743555,33099.96100142598,93799.95753988624,55700.133088976145,45600.0,27600.0,ok,37600.0,50000.0,56260.0,48320.0,119800.0,702100.0,1.3297872340425532,0.8588695343050124,2.4793046357615895,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f,semantic_live_support,True,8192,131072,278528,32768,32768,8388608,5,5,00faa20cf21f8654c0317cc3490477d5
