corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
bx1,tuning,bx1-k2-1-54f10b4162e0,bx1:family:unknown:tree,2,11,25100.0,37300.0,1.4860557768924303,23900.0,28200.0,35200.0,45000.0,2702,3046,1.1273131014063658,True,True,2b4c342f5433ebe591a1da77e013d1b72475562d48578dca8b84bac6651c3cb9
bx1,tuning,bx1-k3-1-6189f2994067,bx1:family:unknown:tree,3,11,54400.0,84100.0,1.5459558823529411,52600.0,61100.0,82600.0,87500.0,3657,4553,1.2450095706863549,True,True,620bfdaa346b088fb49998d92f19a7eaf6bfc2fb0aee015753966da1028cb731
bx1,tuning,bx1-k4-1-3d5e8d379589,bx1:family:unknown:tree,4,11,88400.0,142400.0,1.6108597285067874,86700.0,89900.0,140200.0,146400.0,4660,5684,1.2197424892703863,True,True,6b50da4c7475bcec045cadc909f0de41b16eb0a92ff8b1477f0020c937f044ec
bx1,tuning,bx1-k5-1-034e0f291fe2,bx1:family:unknown:tree,5,11,84300.0,135400.0,1.6061684460260972,83200.0,86500.0,134700.0,143900.0,5679,6455,1.1366437753125551,True,True,6f51d2666b29c657b5100faacd6816cf6bc25fb330e8ae537bb99e0ea8490e33
bx1,tuning,bx1-k6-1-ac26b8df9ebe,bx1:family:unknown:tree,6,11,116900.0,191200.0,1.6355859709153122,114900.0,121600.0,187800.0,216100.0,7090,8402,1.185049365303244,True,True,3ed2b9d2e8aead855936cc675b7dd59402c2db788ff8c164dd46d78f9a95d464
bx1,tuning,bx1-k7-1-5ff39721fc88,bx1:family:unknown:tree,7,11,132900.0,221900.0,1.6696764484574869,131600.0,139000.0,218100.0,228400.0,7973,9173,1.1505079643797818,True,True,34786c07d664b0dfc25b038850de5499efd11016b94e0fc7bbf1a224d5113d48
bx1,tuning,bx1-k8-1-4e47cb5cd5b6,bx1:family:unknown:tree,8,11,238800.0,395400.0,1.6557788944723617,235600.0,247100.0,388900.0,405000.0,9168,11192,1.2207678883071553,True,True,9f6e49b04ee86bd513a46fd1c97e098b8eb0f96924bbd2794be3f59555a6ae30
bx1,tuning,bx1-k10-1-ce8ba79b76b0,bx1:family:unknown:tree,10,11,175000.0,286000.0,1.6342857142857143,172600.0,195600.0,284200.0,296700.0,9750,11974,1.228102564102564,True,True,bf1133aff1ed584dcfebd2d8cfd40ab4dbd176c9840cf4eeff1b82b6b4587f7b
bx1,tuning,bx1-k12-1-dcaeee786843,bx1:family:unknown:tree,12,11,335800.0,597100.0,1.778141751042287,248600.0,350800.0,461300.0,695300.0,14246,17494,1.2279938228274603,True,True,43e053d4256b86f12322d11b9de2728424bb39c997bbfaa95e97eb0032bf3958
bx1,tuning,bx1-k16-1-00faa20cf21f,bx1:family:unknown:tree,16,11,306300.0,523900.0,1.7104146261834803,297100.0,327900.0,510100.0,544900.0,15166,18574,1.2247131742054596,True,True,d53b9a68dab51f0da8f7984fa75fa6c3b30b50a274e12d5289ebd56795db4e1f
b2,validation_reused,b2-k4-xor_dom-tree-1-8b6c553e4c62,b2:family:unknown:tree,4,11,99100.0,151500.0,1.5287588294651866,97100.0,103600.0,150500.0,158300.0,5308,6652,1.2532027128862095,True,True,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6
b2,validation_reused,b2-k6-xor_dom-tree-1-bd603bfcb13b,b2:family:unknown:tree,6,11,130100.0,214000.0,1.6448885472713297,128300.0,181100.0,203400.0,322700.0,7490,8690,1.1602136181575433,True,True,134a2372b7a31f4577e0f1881cee72029d82b9b9f47e40e5367a07212656b59a
b2,validation_reused,b2-k8-xor_dom-tree-1-e3305253a197,b2:family:unknown:tree,8,11,193500.0,328200.0,1.6961240310077519,191400.0,195800.0,324200.0,331500.0,9312,11248,1.2079037800687284,True,True,46af8650e56cb3d8316990197ae711b02c6005066cac2953e04fc0ca70015a55
b2,validation_reused,b2-k10-xor_dom-tree-1-77230e81be62,b2:family:unknown:tree,10,11,234000.0,423400.0,1.8094017094017094,225300.0,302900.0,401400.0,548800.0,10750,13070,1.215813953488372,True,True,f4bd7cb6d894da1941302437ccf55c6d9bd9cb292196c1d561dedb49901754e4
b2,validation_reused,b2-k12-xor_dom-tree-1-58b08f43ff42,b2:family:unknown:tree,12,11,241100.0,419200.0,1.7386976358357529,237100.0,270700.0,409800.0,426300.0,12550,15038,1.1982470119521913,True,True,b47bd399acce2d9e4a4446b7ddedd667546ab768effebe79232934adf8822fcd
b2,validation_reused,b2-k16-xor_dom-tree-1-2f5ce8a982ff,b2:family:unknown:tree,16,11,415700.0,735100.0,1.7683425547269667,407400.0,424800.0,728000.0,738500.0,16918,21069,1.245359971627852,True,True,018e0ba07f27a37af3716edbabbd12ddb0b4c19c71b3e0d33f1ffc9c32f618c8
epfl,validation_reused,epfl-arithmetic-adder-po3-e22ec7119f,epfl:circuit:adder.aig,8,11,363800.0,774200.0,2.1280923584387024,350300.0,407100.0,730500.0,967500.0,17552,23704,1.3505013673655424,True,True,5f85ccec0d99b17c1f1e24b9cc46ce3319945912648ce0a7842f2114eafcb741
epfl,validation_reused,epfl-arithmetic-adder-po4-ed17ac917c,epfl:circuit:adder.aig,10,11,483700.0,999100.0,2.065536489559644,464700.0,656200.0,971700.0,1208800.0,25302,33102,1.3082760256106236,True,True,7438036983e270a3aae7df9a97a7adb27b08600271f54b1528fb7c79033c2900
