corpus,role,id,cluster,live_k,repetitions,baseline_ns_median,candidate_ns_median,ratio,baseline_ns_p10,baseline_ns_p90,candidate_ns_p10,candidate_ns_p90,baseline_peak_bytes,candidate_peak_bytes,peak_bytes_ratio,canonical_key_equal,packed_output_equal,packed_sha256
epfl,validation_reused,epfl-arithmetic-adder-po3-e22ec7119f,epfl:circuit:adder.aig,8,5,616000.0,660900.0,1.0728896103896104,592760.0,661140.0,578300.0,704940.0,,,,True,True,5f85ccec0d99b17c1f1e24b9cc46ce3319945912648ce0a7842f2114eafcb741
epfl,validation_reused,epfl-arithmetic-adder-po4-ed17ac917c,epfl:circuit:adder.aig,10,5,772900.0,769300.0,0.9953422176219433,768640.0,867900.0,752540.0,958180.0,,,,True,True,7438036983e270a3aae7df9a97a7adb27b08600271f54b1528fb7c79033c2900
epfl,validation_reused,epfl-arithmetic-adder-po5-d8df03f32b,epfl:circuit:adder.aig,12,5,1020700.0,1003600.0,0.9832467914176546,959140.0,1166800.0,938280.0,1131480.0,,,,True,True,cc1392ab2872a16263358c49d54f6f6a042ee879c568ff666eff15a4b702977b
epfl,validation_reused,epfl-arithmetic-adder-po6-5e5f8d2bf9,epfl:circuit:adder.aig,14,5,675700.0,653700.0,0.9674411721178038,641580.0,764340.0,629000.0,721300.0,,,,True,True,ed2f865d4c1d045128523bd100e5c1052d90c4ffdde819b5e6e720ddda2ec6d0
epfl,validation_reused,epfl-arithmetic-adder-po7-7187a359bb,epfl:circuit:adder.aig,16,5,808600.0,904700.0,1.1188473905515706,796440.0,1251060.0,792400.0,1116920.0,,,,True,True,9d28057f0e1c91056edd5e0780e22fabb109924591d348fee488088f94b03a13
epfl,validation_reused,epfl-arithmetic-adder-internal23-c8f7e7c3d1,epfl:circuit:adder.aig,8,5,326100.0,313200.0,0.9604415823367065,322040.0,421040.0,310420.0,316680.0,,,,True,True,8c303820e642d3085b45ccf82e502f884e33901014b7355ce9947a191d911173
epfl,validation_reused,epfl-arithmetic-adder-internal59-0da2adafe4,epfl:circuit:adder.aig,16,5,793600.0,729400.0,0.9191028225806451,755300.0,928840.0,716200.0,808100.0,,,,True,True,314c7a0e9d6ef2861621e1abd2ac969b70fafecc64f84c17e6e40dabd4aec203
epfl,validation_reused,epfl-arithmetic-bar-internal12-c0943537bc,epfl:circuit:bar.aig,8,5,347700.0,317300.0,0.912568306010929,316260.0,432860.0,302200.0,388340.0,,,,True,True,8c8c379a4908901531f2f5d87fbfdb999cc6f4d090cf41d953e14297a29dedec
epfl,validation_reused,epfl-arithmetic-bar-internal946-d4ec02cf11,epfl:circuit:bar.aig,8,5,557500.0,534600.0,0.9589237668161436,496280.0,639240.0,466700.0,595000.0,,,,True,True,de79b1ebef3a6a2f2e4ad16d21d48d5e932615c52349246d16cc90d3647da400
epfl,validation_reused,epfl-arithmetic-bar-internal1491-d851acd11c,epfl:circuit:bar.aig,8,5,528700.0,547400.0,1.0353697749196142,469460.0,559140.0,438480.0,602260.0,,,,True,True,79570f48654881e6c3b0293a3404059220fadaf331d51391080aeb1a61f9888e
