corpus,role,id,seed,truth_sha256_expected,frozen_truth_sha256_verified,source_circuit_sha256,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_digest_scope,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-1-9f9a10d83773,2283024197844612547,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,,xor_dom,13,26,26,17,5500.0,600.0,4,16,14,2,13,16,14,28500.0,32900.0,24900.0,617,336100.0,329000.00223889947,23100.001271814108,43700.09992271662,72399.91100504994,36599.92944449186,33100.0,30900.0,ok,7360.0,18560.0,6440.0,14160.0,29500.0,334300.0,2.5217391304347827,2.198757763975155,4.580745341614906,6a27b9216b66a0b2825e52318ead2bd574a52cd9550bf225b8fc7ee1c73fe726,semantic_live_support,True,1024,13312,26624,4096,2048,16777216,5,5,9f9a10d83773d78f05d14fd0223a1358
synthetic_gap,tuning,selector-gap-k13-xor_dom-tree-2-8f95e55d7b67,6798686009557510971,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,,xor_dom,13,26,27,19,5500.0,300.0,6,17,15,3,13,17,15,30200.0,30100.0,21500.0,623,325300.0,320699.9972462654,20999.927073717117,40700.07707923651,69399.94636923075,40099.897887557745,42800.0,22300.0,ok,7820.0,19900.0,7520.0,17020.0,22800.0,346900.0,2.544757033248082,2.2632978723404253,3.0319148936170213,801b18b4940126ff4ac087a4dd98edd84d0965c0ed84068950df788897385511,semantic_live_support,True,1024,13312,27648,4096,3072,16777216,5,5,8f95e55d7b67dbfd2eccf7ef34cf073b
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-1-eff7cf0ccbc6,1424053974641043770,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,,xor_dom,13,33,61,17,5300.0,300.0,4,17,16,3,30,32,31,35700.0,43200.0,27300.0,805,507900.0,502199.98229295015,39500.00973418355,80300.0875748694,104199.80389997363,68299.99620094895,27300.0,46400.0,ok,12680.0,41000.0,6920.0,17240.0,20900.0,537600.0,3.2334384858044163,2.491329479768786,3.020231213872832,716fb2ef32e72f72aaa9732124821e3b073fc16b5b1b75bf59c42945d57274b2,semantic_live_support,True,1024,13312,62464,5120,3072,16777216,5,5,eff7cf0ccbc63d6a62f81dd8dfc54fdd
synthetic_gap,tuning,selector-gap-k13-xor_dom-shared-2-dc1141c5a731,6107769996622208047,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,,xor_dom,13,45,113,30,10500.0,300.0,17,40,34,9,61,79,65,56500.0,63600.0,37400.0,1094,925500.0,916700.0534944236,74799.92927983403,129799.9988310039,169699.72057268023,129500.11296197772,58900.0,87800.0,ok,32440.0,77360.0,17840.0,35980.0,36200.0,796300.0,2.384710234278668,2.016816143497758,2.0291479820627805,7e0a2195ba20d13ab9a2cc25315084f70fd170a863580067fba2d1d881870dcd,semantic_live_support,True,1024,13312,115712,5120,9216,16777216,5,5,dc1141c5a731d0b0c7dce3d6eccbec89
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-1-e717aa4b182d,8870036969255502751,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,,andor_dom,13,32,38,27,8700.0,300.0,14,22,20,4,19,22,20,46300.0,42400.0,33600.0,769,484200.0,477300.0255227089,36599.75482150912,39700.185880064964,102800.08427798748,73799.92166534066,48000.0,31200.0,ok,11040.0,28680.0,11080.0,27480.0,26200.0,442300.0,2.597826086956522,2.48014440433213,2.3646209386281587,73e7b9af16da44c94c62515c724564c7ced9ce6bac167e460676517b61b6bb3d,semantic_live_support,True,1024,13312,38912,4096,4096,16777216,5,5,e717aa4b182d81fb7f014621e488dfa4
synthetic_gap,tuning,selector-gap-k13-andor_dom-tree-2-2b02c2ce353d,3509592225480496666,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,,andor_dom,13,31,33,27,7400.0,200.0,14,21,17,4,18,22,18,42800.0,45600.0,27300.0,723,379800.0,373799.99412223697,25599.96210038662,32900.01768618822,88100.08876025677,41900.08621662855,43300.0,26900.0,ok,9620.0,24240.0,10320.0,21760.0,25800.0,374000.0,2.5197505197505197,2.108527131782946,2.5,b2be90c628714f54954e1fff74d2ca9277af1e629ade6f968e5ec49cdcc9b423,semantic_live_support,True,1024,13312,33792,5120,4096,16777216,5,5,2b02c2ce353d6de4fd4c42b31fc40c0d
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-1-edd8877715e2,1596869751077217417,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,,andor_dom,13,41,66,30,9600.0,300.0,17,31,28,7,35,40,35,53100.0,55100.0,32800.0,992,606500.0,599700.0262141228,50099.85761716962,63200.07378235459,128400.0463783741,89400.15686675906,50800.0,51300.0,ok,15400.0,44200.0,12440.0,31620.0,26100.0,567900.0,2.8701298701298703,2.5418006430868165,2.098070739549839,74a76b50a5bd81411c886a140592c675b836206f14aa6032c2cd2a197242954b,semantic_live_support,True,1024,13312,67584,4096,7168,16777216,5,5,edd8877715e24daa4abd7dda0f05fdfd
synthetic_gap,tuning,selector-gap-k13-andor_dom-shared-2-9afc69d8f8fe,3454281855025251075,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,,andor_dom,13,44,67,30,10300.0,300.0,17,36,32,7,34,40,36,55500.0,69500.0,37100.0,1073,647500.0,639400.037471205,53499.999921768904,60999.76599216461,135199.6324956417,95600.14586895704,53900.0,52100.0,ok,15340.0,45160.0,21020.0,52420.0,42200.0,800100.0,2.9439374185136895,2.493815413891532,2.0076117982873454,5b0b76177250083605b91be38eebac404e883facc8deb69f5a443ccd0d6d38f9,semantic_live_support,True,1024,13312,68608,5120,7168,16777216,5,5,9afc69d8f8fe0a445bc160e2d2c7a066
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-1-77031942351a,3914099624317553999,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,,impeqv_dom,13,30,33,28,7800.0,300.0,15,38,26,4,17,39,27,42200.0,40200.0,25100.0,715,317700.0,312399.99225363135,9499.955922365189,23900.12377873063,80200.20322874188,43299.864046275616,45400.0,28000.0,ok,17960.0,28720.0,17800.0,26420.0,31800.0,353100.0,1.599109131403118,1.4842696629213483,1.7865168539325842,2b54bf8168b5ba7e1d5f3a98b58445f8336ffcd2df0fdf6b6026b3dc9017e54a,semantic_live_support,True,1024,13312,33792,6144,4096,16777216,5,5,77031942351ab96188ccc50b84682d78
synthetic_gap,tuning,selector-gap-k13-impeqv_dom-tree-2-56d7f366df96,3816016164161023029,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,,impeqv_dom,13,29,32,28,7800.0,300.0,15,41,28,4,16,41,28,39100.0,51200.0,24700.0,696,302900.0,297799.99749735,6099.988240748644,24400.069378316402,78200.07158443332,43799.8678535223,44300.0,26200.0,ok,18620.0,27600.0,18780.0,27300.0,34400.0,357300.0,1.4822771213748658,1.4536741214057507,1.8317358892438764,4d3799a2b579cdc53fb42b21b0e53b8c5a8880e9b26fe0a15cd402fa91dcf907,semantic_live_support,True,1024,13312,32768,4096,4096,16777216,5,5,56d7f366df963c8ab9dbafffce31d8e9
