scope,corpus,live_k,metric,row_count,formula_cluster_count,row_weighted_geomean,paired_formula_cluster_geomean,paired_formula_cluster_bootstrap_ci95_low,paired_formula_cluster_bootstrap_ci95_high,bootstrap_repetitions
overall,all,all,cm_current_over_cse_flat_current,264,216,0.9142017371760712,0.9089909230682988,0.8966602369999914,0.9204661324202082,10000
overall,all,all,cm_wrapper_over_cse_flat_current,264,216,2.671909961413186,2.7753831629887302,2.599101284400588,2.9550070693833255,10000
overall,all,all,cm_current_over_raw_current,264,216,0.8179842829060341,0.8193298856488056,0.7872593307591048,0.850790519411667,10000
overall,all,all,cm_wrapper_over_raw_current,264,216,2.390698097475963,2.501624946800837,2.3007884158417835,2.723242021213775,10000
overall,all,all,cse_flat_current_over_raw_current,264,216,0.8947524924123984,0.9013620101762486,0.8719165666792598,0.9312619062323862,10000
corpus,b2,all,cm_current_over_cse_flat_current,192,192,0.9054257274406312,0.9054257274406312,0.891964281153686,0.9175132377104265,10000
corpus,b4,all,cm_current_over_cse_flat_current,72,24,0.9380225369698183,0.9380225369698183,0.9100651717872044,0.9624915626717543,10000
live_k,all,4,cm_current_over_cse_flat_current,32,32,0.8438437992344161,0.8438437992344161,0.7999107551613857,0.8790526854014803,10000
live_k,all,6,cm_current_over_cse_flat_current,32,32,0.8763757773295713,0.8763757773295713,0.8422824705556653,0.9039902650016015,10000
live_k,all,8,cm_current_over_cse_flat_current,56,40,0.899981316554536,0.9036128828759927,0.8854464204650817,0.9196910457701842,10000
live_k,all,10,cm_current_over_cse_flat_current,32,32,0.8992507547979615,0.8992507547979615,0.8684230766617302,0.9248834346512265,10000
live_k,all,12,cm_current_over_cse_flat_current,56,40,0.9372991311276465,0.9368465694983077,0.9157211159702708,0.9542309025409623,10000
live_k,all,16,cm_current_over_cse_flat_current,56,40,0.9805449260169554,0.977921680089366,0.9631196218781416,0.9906093435883108,10000
corpus_live_k,b2,4,cm_current_over_cse_flat_current,32,32,0.8438437992344161,0.8438437992344161,0.7989064441177346,0.87947660397158,10000
corpus_live_k,b2,6,cm_current_over_cse_flat_current,32,32,0.8763757773295713,0.8763757773295713,0.8424891359338426,0.9038733966226052,10000
corpus_live_k,b2,8,cm_current_over_cse_flat_current,32,32,0.9068025222002153,0.9068025222002153,0.8883296592820026,0.9228742150262511,10000
corpus_live_k,b2,10,cm_current_over_cse_flat_current,32,32,0.8992507547979615,0.8992507547979615,0.8689593508771526,0.9247563976654907,10000
corpus_live_k,b2,12,cm_current_over_cse_flat_current,32,32,0.9364507573251737,0.9364507573251737,0.9111897884142119,0.956637628130317,10000
corpus_live_k,b2,16,cm_current_over_cse_flat_current,32,32,0.9756320974603351,0.9756320974603351,0.9579020311232872,0.9901311841015669,10000
corpus_live_k,b4,8,cm_current_over_cse_flat_current,24,8,0.8909661258416544,0.8909661258416544,0.8368752147163461,0.9318635258665334,10000
corpus_live_k,b4,12,cm_current_over_cse_flat_current,24,8,0.9384314918881328,0.9384314918881328,0.9079273386526528,0.9650505098876677,10000
corpus_live_k,b4,16,cm_current_over_cse_flat_current,24,8,0.9871338680510748,0.9871338680510748,0.9610802735618007,1.0019264826611933,10000
