corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,2376.0,13431.5,2653.5,2056.0,0.8954211418880723,5.0618051629922745,1.1556420233463034,6.532830739299611,1.2906128404669261,2186.5,2265.0,2529.5,2487.5,1823.5,1913.5,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,24
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,1406.5,11083.5,1620.5,1340.0,0.8679419932119716,6.839555692687442,1.0496268656716419,8.271268656716417,1.2093283582089551,1276.0,1346.0,1572.0,1539.5,1195.5,1268.0,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,24
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,2394.0,12799.0,2650.5,2151.0,0.9032258064516129,4.828900207508017,1.112970711297071,5.95025569502557,1.2322175732217573,2356.0,2430.0,2724.0,2689.0,2099.0,2197.0,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,24
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,1600.5,12807.0,1918.0,1840.5,0.8344629822732013,6.677267987486966,0.86960065199674,6.958435207823961,1.0421081227927194,1562.0,1750.0,1975.0,2158.5,1768.0,1837.5,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,24
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,2183.5,14904.0,2977.0,4151.5,0.7334564998320456,5.006382264024185,0.5259544742864025,3.590027700831025,0.7170902083584246,2226.0,2340.0,3232.5,3073.5,4121.5,4262.5,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,24
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,3076.0,15085.5,3745.5,5575.5,0.8212521692697904,4.02763315979175,0.5516993991570263,2.7056766209308583,0.6717783158461125,2873.0,2900.5,3537.0,3501.5,5190.5,5200.5,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,24
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,2029.5,12957.5,3028.0,4494.5,0.6702443857331571,4.279227212681638,0.45155189676270996,2.882968072088108,0.6737123150517299,1923.5,2001.0,3036.0,2996.5,4350.5,4434.0,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,24
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,2436.5,13193.0,3490.0,4166.0,0.6981375358166189,3.7802292263610315,0.5848535765722516,3.1668266922707633,0.8377340374459914,2363.0,2435.0,3440.5,3389.5,4101.5,4169.5,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,24
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,1572.5,12254.5,1819.0,1588.5,0.8644859813084113,6.736943375481034,0.9899276046584828,7.714510544538873,1.1451054453887315,1441.5,1526.0,1780.0,1741.0,1410.0,1493.0,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,24
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,2140.5,13342.0,2417.0,1785.5,0.8856019859329748,5.520066197765825,1.1988238588630635,7.472416690002801,1.353682441893027,1956.5,2038.5,2343.5,2309.5,1632.0,1673.0,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,24
