corpus,live_k,ambient_n,current_engine,n,cm_current_over_cse_flat_current_geomean,cm_current_over_cse_flat_current_median,cm_current_over_cse_flat_current_min,cm_current_over_cse_flat_current_max,cm_wrapper_over_cse_flat_current_geomean,cm_wrapper_over_cse_flat_current_median,cm_wrapper_over_cse_flat_current_min,cm_wrapper_over_cse_flat_current_max,cm_current_over_raw_current_geomean,cm_current_over_raw_current_median,cm_current_over_raw_current_min,cm_current_over_raw_current_max,cm_wrapper_over_raw_current_geomean,cm_wrapper_over_raw_current_median,cm_wrapper_over_raw_current_min,cm_wrapper_over_raw_current_max,cse_flat_current_over_raw_current_geomean,cse_flat_current_over_raw_current_median,cse_flat_current_over_raw_current_min,cse_flat_current_over_raw_current_max
b2,4,4,flat,32,0.846316526419402,0.8713121332258347,0.45038167938931295,1.1532834580216127,4.848386869389151,4.9176412357661015,2.7511020320395656,8.336719223771983,0.8186184286316655,0.8518028448900576,0.29295754947898456,1.5453330363109825,4.68970972032144,5.173196271150042,1.7894957689348905,8.589108910891088,0.9672721766347614,1.0221175679293284,0.5389801938474504,1.3898205354516033
b2,6,6,flat,32,0.8664145003805461,0.8995847861676372,0.5324459234608985,0.9515776035017326,4.061050075740712,4.084789735061346,2.746788422844761,6.858437146092865,0.7911873094233302,0.8747121666417537,0.2219469903393609,1.1409484657172222,3.708445878326679,4.038183426617066,1.3321278176864009,6.887362637362638,0.9131741320993881,0.9564484296191613,0.4168441912311122,1.2465129936866832
b2,8,8,flat,32,0.901241777363679,0.9179284017344105,0.7328324567993989,0.963,3.6345215229780536,3.7843475243236124,2.645706886784818,4.897711607389026,0.8679268943312981,0.9506649919818236,0.4769215724623509,1.2138717517292952,3.5001694961879943,3.4354874050869,1.6446170202930708,5.8388369678089305,0.963034466589161,1.0207018637043348,0.610964729810937,1.287530379510189
b2,10,10,flat,32,0.9083997223719673,0.930922496776238,0.6250561293219578,0.9735327963176065,3.104108363476235,3.1112378809551555,1.9486393254120353,5.028074866310161,0.8545568376750646,0.8963755547347176,0.5112931248448747,1.177002583979328,2.9201209132545087,2.91346524349056,1.2618515760734674,4.833258224425417,0.9407277618312003,0.9687259475362859,0.6146218931782126,1.2498560736902706
b2,12,12,flat,32,0.9417001743561355,0.9675249373262782,0.7002982979470083,1.0709208655820566,2.1437663655468793,2.090028331664021,1.4875616979269497,3.332468281430219,0.8098261023786986,0.8936123169958285,0.3019824455205811,1.1416376857413848,1.8435570126217493,1.8447280690135726,0.7524969733656174,3.4873949579831933,0.8599617207593674,0.9378831883671921,0.43121973365617433,1.1789440404679101
b2,16,16,words,32,0.9711213711246738,0.9962823185018517,0.8249274310595065,1.0267755412077477,1.2906801525176497,1.2920326715367723,1.1092162554426706,1.4377258491929656,0.7900732166582527,0.8508906436521299,0.43683350946296473,1.014358499305234,1.0500559972185695,1.1092692190866358,0.5873763089633971,1.4168185368393647,0.8135679433593911,0.8527632062989287,0.5295417427226439,1.0192536720921
b4,8,16,flat,8,0.8959374011996167,0.9315660694503323,0.7247940596356885,0.9637192909712864,3.7109801019708946,3.6152298482408844,2.730735993086562,5.471566731141199,0.8115632734276848,0.9060952635914321,0.4420205443185428,1.1015339663988313,3.361501769150377,3.463273203464297,1.4098273853648204,6.338337441183061,0.9058258672325108,1.0093160348714578,0.46094108510713405,1.1782085352508989
b4,8,20,flat,8,0.8949623687387414,0.9316018602184915,0.7351408950982714,0.9582163766140027,3.7189080089431523,3.6661514419863463,2.7308527580715216,5.431530263422482,0.8098621646777868,0.9053472075610751,0.4361061430083586,1.1204943357363544,3.3652843913479322,3.477500238277999,1.4052998503485783,6.31688493919551,0.9049119750354585,1.0126295877697995,0.4551228236668248,1.195821686037958
b4,8,24,flat,8,0.8886322510556028,0.9276955474805822,0.7268979732050842,0.939776878270313,3.7205871737536818,3.6557674488610887,2.6582378223495704,5.64287045666356,0.8022653126863899,0.9057227080428454,0.41066574918286597,1.113658536585366,3.3589800829113727,3.468677643953365,1.3766729743677963,6.506339995701698,0.9028091336246034,1.016846771609323,0.44386719421985205,1.1972357723577236
b4,12,16,flat,8,0.9456956253604314,0.9540401033313807,0.8767595518529159,0.9938906425007636,2.4113602162000376,2.7614340414886787,1.4413523893471007,3.1913999353378597,0.8201472863484183,0.9002590592196902,0.5436125182152522,1.116106333072713,2.09123367465219,2.340517600544965,0.7942890847269447,3.82329945269742,0.8672423392419066,0.9704063096827926,0.5510720977031435,1.2103205629397966
b4,12,20,flat,8,0.9513100103579694,0.9524946651146999,0.8888253786796227,0.990528,2.332248074449539,2.533678190817719,1.437312,3.1836596893990547,0.8310407597028732,0.9406245093232586,0.5501368499626773,1.1171875,2.037393899467938,2.0468111221660377,0.7982796004691999,3.705859375,0.8735751234134076,0.9888060400783549,0.5553975758006612,1.21015625
b4,12,24,flat,8,0.9472475133822729,0.9548449524651116,0.8809182209469153,0.985247959824231,2.428228937048594,2.5489594088645884,1.6871730487549697,3.2132112491824723,0.8354952138567122,0.9214706161584467,0.5498835751388143,1.114453125,2.1417566437397833,2.1298569886133,1.090516685994073,3.77890625,0.8820241827539518,0.9769417509373581,0.6168019585105012,1.21328125
b4,16,16,words,8,0.9845111029213257,0.9965194326625652,0.8948123356442744,1.007940074906367,1.3031782870098398,1.2741147684165512,1.2299009155901166,1.4085429769392033,0.803507611732244,0.8229055716710012,0.6042944785276073,0.9946335737045111,1.0635874699122314,1.1116879308036205,0.8312987453374026,1.3662902781602864,0.8161488573851604,0.8224284726512476,0.6753309654504359,0.9927888646654368
b4,16,20,words,8,0.9848368940803622,0.9943884562904712,0.9038189533239038,1.013759364011619,1.3444876872901907,1.3463339465814714,1.2169318905155952,1.4871345029239766,0.8037801625617882,0.8191999846251437,0.603494412088777,0.9903053805138148,1.097311177463108,1.1527067028883005,0.8182674199623352,1.4371291325233118,0.8161556166235585,0.822574156824013,0.6677160396662993,1.0101793504604943
b4,16,24,words,8,0.9870222683179546,0.9981717142259938,0.9043586550435866,1.0047086521483226,1.3392723308203118,1.3086082804097345,1.2279654559309119,1.5208946439081812,0.8062060043203316,0.8207126630599533,0.6128270042194093,0.9954478946512763,1.0939260735904717,1.140786797673615,0.8236647073856376,1.4732041049030786,0.8168062972826712,0.8241443783430957,0.6707556009881591,0.9977239473256381
