scope,corpus,live_k,metric,row_count,formula_cluster_count,row_weighted_geomean,paired_formula_cluster_geomean,paired_formula_cluster_bootstrap_ci95_low,paired_formula_cluster_bootstrap_ci95_high,bootstrap_repetitions
overall,all,all,cm_current_over_cse_flat_current,264,216,0.9099243588253321,0.9049046621598351,0.8918684100734462,0.9169444261928197,10000
overall,all,all,cm_wrapper_over_cse_flat_current,264,216,2.731809687195366,2.8189424816224795,2.640113751531081,3.00011862058498,10000
overall,all,all,cm_current_over_raw_current,264,216,0.8161541515378388,0.8171474940078748,0.7858012047778518,0.8486718242576259,10000
overall,all,all,cm_wrapper_over_raw_current,264,216,2.4502891869979817,2.5455629536841506,2.3395611476938574,2.7703122542778864,10000
overall,all,all,cse_flat_current_over_raw_current,264,216,0.8969472501994056,0.9030205370558035,0.8734388416277903,0.9330858967373087,10000
corpus,b2,all,cm_current_over_cse_flat_current,192,192,0.901469693300656,0.901469693300656,0.8871269872719729,0.914519697864017,10000
corpus,b4,all,cm_current_over_cse_flat_current,72,24,0.9328598173988913,0.9328598173988913,0.901592912532888,0.9630995807317296,10000
live_k,all,4,cm_current_over_cse_flat_current,32,32,0.8249504171514885,0.8249504171514885,0.7795042011410713,0.8638443066098128,10000
live_k,all,6,cm_current_over_cse_flat_current,32,32,0.868714831420263,0.868714831420263,0.8331996643943123,0.8967336500316246,10000
live_k,all,8,cm_current_over_cse_flat_current,56,40,0.8929925797114455,0.8963874424935898,0.8779630229395857,0.9126851058423094,10000
live_k,all,10,cm_current_over_cse_flat_current,32,32,0.9066666756743856,0.9066666756743856,0.8769420572300057,0.9288640967895386,10000
live_k,all,12,cm_current_over_cse_flat_current,56,40,0.937749264857341,0.938745376363282,0.9181849159684512,0.9553105452893633,10000
live_k,all,16,cm_current_over_cse_flat_current,56,40,0.9790459706735549,0.9781590899410434,0.9607780672866816,0.9949082699809888,10000
corpus_live_k,b2,4,cm_current_over_cse_flat_current,32,32,0.8249504171514885,0.8249504171514885,0.7786033352289281,0.8635544445880164,10000
corpus_live_k,b2,6,cm_current_over_cse_flat_current,32,32,0.868714831420263,0.868714831420263,0.833474379125613,0.8967849602300811,10000
corpus_live_k,b2,8,cm_current_over_cse_flat_current,32,32,0.8993685328262658,0.8993685328262658,0.8803280982537145,0.9156033948353314,10000
corpus_live_k,b2,10,cm_current_over_cse_flat_current,32,32,0.9066666756743856,0.9066666756743856,0.8761009912488237,0.9293172957630306,10000
corpus_live_k,b2,12,cm_current_over_cse_flat_current,32,32,0.939617841870161,0.939617841870161,0.9145630956396736,0.9587534962739493,10000
corpus_live_k,b2,16,cm_current_over_cse_flat_current,32,32,0.9773837283572534,0.9773837283572534,0.9593720342120932,0.9934510476327502,10000
corpus_live_k,b4,8,cm_current_over_cse_flat_current,24,8,0.8845615668346603,0.8845615668346603,0.831015309938421,0.924038432181467,10000
corpus_live_k,b4,12,cm_current_over_cse_flat_current,24,8,0.9352636079410572,0.9352636079410572,0.9073502283541897,0.9662244364510555,10000
corpus_live_k,b4,16,cm_current_over_cse_flat_current,24,8,0.9812666921255367,0.9812666921255367,0.9317291118226942,1.0370277796595813,10000
