corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_instructions,cse_flat_instructions,raw_instructions,cm_executed_bigint_ops,cse_flat_executed_bigint_ops,raw_executed_bigint_ops,cm_executed_word_ops,cse_flat_executed_word_ops,raw_executed_word_ops,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,truth_sha256_expected,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-xor_dom-tree-1-8b6c553e4c62,4,4,xor_dom,tree,flat,6,6,6,9,9,9,7,7,7,2335.5,12978.5,2531.0,1979.5,0.9227578032398261,5.127815092848676,1.1798433947966658,6.556453649911594,1.2786057085122506,2101.0,2186.0,2432.0,2399.5,1759.5,1833.0,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,8e05696833e6832e8ad694ea4bef56ad3e4d9944c35799f8a67e1fc7312907e6,True,100,24
b2,b2-k4-xor_dom-tree-2-186a2a5c9bf0,4,4,xor_dom,tree,flat,2,2,3,3,3,3,3,3,3,1465.0,11911.0,1673.0,1404.5,0.8756724447101016,7.119545726240287,1.0430758276966892,8.48059807760769,1.1911712353150588,1329.0,1403.5,1640.5,1610.0,1262.5,1347.0,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,a22175a602c02145cc695f9333f8ddfcc5cf32cebe88d461f157889dfd8e9468,True,100,24
b2,b2-k4-xor_dom-tree-3-128078f3da7b,4,4,xor_dom,tree,flat,7,7,8,11,11,11,8,8,8,2400.5,12749.5,2642.0,2159.5,0.9085919757759273,4.825700227100682,1.111599907385969,5.903912942810836,1.2234313498495022,2283.0,2349.0,2595.5,2569.5,1968.5,2046.0,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,62e7c221122cae8423ae3abd29d9fc9c53287f46a67c831dc0fd497948602a48,True,100,24
b2,b2-k4-xor_dom-tree-4-9a5b24a5b691,4,4,xor_dom,tree,flat,2,2,5,3,5,5,3,5,5,1488.5,11593.0,1781.5,1700.0,0.8355318551782206,6.507437552624193,0.8755882352941177,6.819411764705882,1.0479411764705882,1321.5,1403.0,1684.0,1648.5,1508.5,1591.5,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,bf03ae910baf5f6fdb652b910c8004017dd76989a1ecd128aef435bdf5bfdff9,True,100,24
b2,b2-k4-xor_dom-shared-1-b3e4cd19e589,4,4,xor_dom,shared,flat,4,5,17,7,12,19,6,11,18,1970.5,12409.0,2601.0,3565.5,0.7575932333717801,4.7708573625528645,0.5526574113027626,3.480297293507222,0.7294909549852756,1835.0,1923.0,2585.0,2536.0,3373.0,3464.5,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,9a83c6cb1126d93de4a30715b28f1f4b26b983c57fb39e6d826d7e893ae4ee74,True,100,24
b2,b2-k4-xor_dom-shared-2-d4c0909c8173,4,4,xor_dom,shared,flat,7,8,27,14,18,29,12,16,27,2731.0,13299.5,3315.5,4954.5,0.823706831548786,4.0113105112351075,0.5512160662024422,2.6843273791502673,0.6691896255928953,2585.5,2677.5,3297.0,3248.5,4746.5,4842.5,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,bfa9ad6c53bd4fa5c103452ec0f0c7e0d582abdd55bb8f39362c766dd459e870,True,100,24
b2,b2-k4-xor_dom-shared-3-88f8242fa307,4,4,xor_dom,shared,flat,4,6,23,8,17,24,7,16,23,2013.5,12784.5,2983.5,4357.0,0.6748784984079101,4.285067873303167,0.46212990589855407,2.9342437456965804,0.6847601560706909,1743.0,1827.0,2742.5,2712.0,3908.0,3963.5,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,ae8f3419f2285fc482b01c8e22707b13699ad50038026ce4618391aa1c675671,True,100,24
b2,b2-k4-xor_dom-shared-4-28c644b1084a,4,4,xor_dom,shared,flat,6,8,21,9,16,23,8,15,22,2343.0,12365.0,3273.0,3963.0,0.7158570119156737,3.7778796211426826,0.5912187736563209,3.120111026999748,0.825889477668433,2296.5,2398.5,3391.5,3339.5,3980.5,4078.0,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,8fe99e1d4b27948fd5e99e3883f6e2954b653363a4874606a09becab762842ad,True,100,24
b2,b2-k4-andor_dom-tree-1-ea13a53017b8,4,4,andor_dom,tree,flat,2,2,3,5,5,5,4,4,4,1521.5,11520.0,1741.0,1512.0,0.8739230327398048,6.616886846639862,1.0062830687830688,7.619047619047619,1.1514550264550265,1343.5,1431.0,1661.0,1616.5,1317.0,1397.0,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,0d9ba34f231adf13041d4ad21fdfbf7209755748963a9c4683e00cef9a30f068,True,100,24
b2,b2-k4-andor_dom-tree-2-e674d60a6337,4,4,andor_dom,tree,flat,5,5,5,6,6,6,5,5,5,2004.5,12029.0,2251.5,1673.0,0.890295358649789,5.342660448589829,1.1981470412432755,7.190077704722056,1.3457860131500299,1835.0,1919.0,2221.0,2169.5,1485.0,1570.0,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,40b7b0acaa3a96600fe748a9adb72e7d390fff319c0a222f724ecd7159384a8d,True,100,24
