         676 function calls (604 primitive calls) in 0.002 seconds

   Ordered by: cumulative time
   List reduced from 37 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 cm_packed_mask_audit.py:180(session)
        4    0.000    0.000    0.002    0.000 cm_packed_mask_audit.py:181(step)
        1    0.000    0.000    0.002    0.002 cm_packed_mask_audit.py:195(execute)
        1    0.000    0.000    0.002    0.002 cm_packed_mask_audit.py:200(<lambda>)
        1    0.000    0.000    0.002    0.002 bitset_backend.py:52(build_bitset_env)
        1    0.001    0.001    0.001    0.001 baseline_bitset_backend.py:16(_build_bitset_env_cached)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:189(<lambda>)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:152(expr_from_json)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:202(_expr_from_json_dag)
  211/163    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       24    0.000    0.000    0.000    0.000 typing.py:1374(__instancecheck__)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:206(<lambda>)
       24    0.000    0.000    0.000    0.000 typing.py:1665(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:60(eval_expr_bitset)
     23/1    0.000    0.000    0.000    0.000 bitset_backend.py:72(rec)
       12    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
    25/24    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       22    0.000    0.000    0.000    0.000 cm_expr_serde.py:214(ref)
    25/24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       82    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       12    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       47    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}


