         3239 function calls (3145 primitive calls) in 0.002 seconds

   Ordered by: cumulative time
   List reduced from 107 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 cm_packed_mask_audit.py:180(session)
        4    0.000    0.000    0.002    0.000 cm_packed_mask_audit.py:181(step)
        1    0.000    0.000    0.001    0.001 cm_packed_mask_audit.py:191(<lambda>)
        1    0.000    0.000    0.001    0.001 cm_ir.py:1204(compile_expr_to_cm_ir)
        1    0.000    0.000    0.001    0.001 cm_ir.py:1238(compile_expr_to_cm_ir_cached)
        1    0.000    0.000    0.001    0.001 cm_ir.py:1124(build)
     31/1    0.000    0.000    0.001    0.001 cm_ir.py:1154(_build_rec)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:195(execute)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:214(<lambda>)
        1    0.000    0.000    0.000    0.000 cm_ir.py:2006(materialize_hybrid_no_reinflate)
        1    0.000    0.000    0.000    0.000 bitset_engine.py:58(evaluate_node)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:488(eval_cm_node_flat)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:189(<lambda>)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:152(expr_from_json)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:202(_expr_from_json_dag)
        1    0.000    0.000    0.000    0.000 cm_ir.py:1051(_shared_assoc_uids)
       31    0.000    0.000    0.000    0.000 cm_ir.py:635(_intern)
        5    0.000    0.000    0.000    0.000 cm_ir.py:895(make_xor)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:356(get_flat_program)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:324(compile_flat)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:369(_bind_flat_program)
       15    0.000    0.000    0.000    0.000 cm_ir.py:723(_live_vars_union)
        1    0.000    0.000    0.000    0.000 bitset_backend.py:52(build_bitset_env)
  491/427    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:49(periodic_env)


