         8848 function calls (8634 primitive calls) in 0.005 seconds

   Ordered by: cumulative time
   List reduced from 112 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 cm_packed_mask_audit.py:180(session)
        4    0.000    0.000    0.006    0.001 cm_packed_mask_audit.py:181(step)
        1    0.000    0.000    0.003    0.003 cm_packed_mask_audit.py:195(execute)
        1    0.000    0.000    0.003    0.003 cm_packed_mask_audit.py:214(<lambda>)
        1    0.000    0.000    0.003    0.003 cm_ir.py:2006(materialize_hybrid_no_reinflate)
        1    0.000    0.000    0.002    0.002 cm_packed_mask_audit.py:191(<lambda>)
        1    0.000    0.000    0.002    0.002 cm_ir.py:1204(compile_expr_to_cm_ir)
        1    0.000    0.000    0.002    0.002 cm_ir.py:1238(compile_expr_to_cm_ir_cached)
        1    0.000    0.000    0.002    0.002 cm_ir.py:1124(build)
        1    0.000    0.000    0.002    0.002 bitset_engine.py:58(evaluate_node)
        1    0.000    0.000    0.002    0.002 bitset_backend.py:488(eval_cm_node_flat)
     87/1    0.000    0.000    0.002    0.002 cm_ir.py:1154(_build_rec)
        1    0.000    0.000    0.002    0.002 bitset_backend.py:369(_bind_flat_program)
        1    0.000    0.000    0.002    0.002 bitset_backend.py:52(build_bitset_env)
        1    0.001    0.001    0.002    0.002 baseline_bitset_backend.py:16(_build_bitset_env_cached)
       39    0.000    0.000    0.001    0.000 cm_ir.py:723(_live_vars_union)
       39    0.000    0.000    0.001    0.000 cm_ir.py:455(_sorted_unique_vars)
       13    0.000    0.000    0.001    0.000 cm_ir.py:895(make_xor)
       88    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       13    0.000    0.000    0.001    0.000 cm_ir.py:836(make_or)
        1    0.000    0.000    0.000    0.000 cm_packed_mask_audit.py:189(<lambda>)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:152(expr_from_json)
        1    0.000    0.000    0.000    0.000 cm_expr_serde.py:202(_expr_from_json_dag)
       63    0.000    0.000    0.000    0.000 cm_ir.py:635(_intern)
        1    0.000    0.000    0.000    0.000 cm_ir.py:1051(_shared_assoc_uids)


