n_vars,trial,expr_style,operator_pair_style,operator_diff_mode,operator_a,operator_b,quotient_a_minus_b_name,quotient_b_minus_a_name,symmetric_delta_name,overlap_name,same_operator,basis_vars,row_vars,col_vars,basis_aligned,basis_alignment_note,dense_shape,dense_elements,quotient_a_minus_b_matrix,quotient_b_minus_a_matrix,symmetric_delta_matrix,cm_quotient_a_minus_b_time_s,cm_quotient_b_minus_a_time_s,cm_symmetric_delta_time_s,cm_quotient_total_time_s,features_a,features_b,overlap_features,a_minus_b_features,b_minus_a_features,symmetric_delta_features,a_contains_b,b_contains_a,jaccard_features,semantic_delta_density,semantic_equivalent,structural_same,opdiff_semantic_equivalent,opdiff_structural_same
2,0,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,True,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;00,00;00,0.0,0.0,0.0,0.0,4,4,4,0,0,0,True,True,1.0,,True,True,True,True
2,1,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,11;11,00;00,11;11,0.0,0.0,0.0,0.0,4,0,0,4,0,4,True,False,0.0,,False,False,False,False
2,2,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,EQV,XOR,FALSE,XOR,EQV,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;10,00;00,01;10,0.0,0.0,0.0,0.0,4,2,2,2,0,2,True,False,0.5,,False,False,False,False
2,3,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,XOR,EQV,FALSE,EQV,XOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;01,00;00,10;01,0.0,0.0,0.0,0.0,4,2,2,2,0,2,True,False,0.5,,False,False,False,False
2,4,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,AND,NAND,FALSE,NAND,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;11,00;00,01;11,0.0,0.0,0.0,0.0,4,1,1,3,0,3,True,False,0.25,,False,False,False,False
2,5,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,NOR,OR,FALSE,OR,NOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,11;10,00;00,11;10,0.0,0.0,0.0,0.0,4,1,1,3,0,3,True,False,0.25,,False,False,False,False
2,6,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,X_AND_NOT_Y,IMP,FALSE,IMP,X_AND_NOT_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;11,00;00,10;11,0.0,0.0,0.0,0.0,4,1,1,3,0,3,True,False,0.25,,False,False,False,False
2,7,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,NOT_X_AND_Y,RIMP,FALSE,RIMP,NOT_X_AND_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,11;01,00;00,11;01,0.0,0.0,0.0,0.0,4,1,1,3,0,3,True,False,0.25,,False,False,False,False
2,8,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,IMP,X_AND_NOT_Y,FALSE,X_AND_NOT_Y,IMP,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;00,00;00,01;00,0.0,0.0,0.0,0.0,4,3,3,1,0,1,True,False,0.75,,False,False,False,False
2,9,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,RIMP,NOT_X_AND_Y,FALSE,NOT_X_AND_Y,RIMP,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;10,00;00,00;10,0.0,0.0,0.0,0.0,4,3,3,1,0,1,True,False,0.75,,False,False,False,False
2,10,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,OR,NOR,FALSE,NOR,OR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;01,00;00,00;01,0.0,0.0,0.0,0.0,4,3,3,1,0,1,True,False,0.75,,False,False,False,False
2,11,operator_table_2x2,operator_table_2x2,cm_quotient,TRUE,NAND,AND,FALSE,AND,NAND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,00;00,10;00,0.0,0.0,0.0,0.0,4,3,3,1,0,1,True,False,0.75,,False,False,False,False
